,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C,Indiv Order
0,2025-08-15 20:00:00+02:00,90,Friendly,,,,,RomÃ¢nia,6.25,18.75,22.75,22.75,11.0,12.0,12.5,8.5,11.25,Counter-attacks,22,0,5-3-2,5,3,2,2,-10,12,ZUPUUQQEUEQTPE,2004301000,H,Ireland,7.5,18.25,18.5,16.25,11.5,12.0,4.75,8.75,9.75,Normal,0,0,4-4-2,4,4,2,2,-10,9,ZUEHZRUTPPEEQQ,0,A,Ire,2025-08-15,CA,F,,hardca,NDNNWMN-O-NNN-
1,2025-08-08 20:00:00+02:00,90,Friendly,,,,,RomÃ¢nia,7.75,21.5,23.5,23.5,12.0,11.5,12.0,8.25,11.75,Counter-attacks,16,0,4-4-2,4,4,2,2,-10,11,ZUQEQPHUEHTHEW,3443000000,A,Tahiti,7.0,10.5,13.75,14.0,4.5,7.25,11.5,6.5,8.0,Normal,0,0,3-5-2,3,5,2,0,-10,5,QEUEPUZHHUZEPZ,4013000104,H,Tah,2025-08-08,CA,F,,442ca,NMW-WMNN-NNN-N
2,2025-08-01 20:00:00+02:00,90,Friendly,,,,,RomÃ¢nia,8.75,16.75,17.25,18.0,14.0,17.5,16.0,9.5,11.5,Normal,0,0,3-4-3,3,4,3,1,1,11,ZHEQEPQEUUUPPT,3003000,H,USA,10.5,17.5,16.75,17.25,13.5,12.75,14.0,6.75,10.25,Normal,0,0,3-5-2,3,5,2,3,0,12,ZHEQETQUHQUQEU,0,A,USA,2025-08-01,N,F,,343,NN-N-NM-NNMNNN
3,2025-07-25 20:00:00+02:00,90,Friendly,,,,,RomÃ¢nia,10.25,11.25,13.75,13.75,12.75,21.0,18.0,9.5,11.0,Normal,0,0,2-5-3,2,5,3,2,10,12,ZEPEEPUHUUUWWT,30010000,A,England,7.0,22.5,24.5,26.0,13.25,10.25,16.25,8.5,11.5,Counter-attacks,26,0,5-3-2,5,3,2,2,-10,10,ZHHQUTQEEHQUQE,4004000,H,Eng,2025-07-25,N,F,,att,N-N--NMNNONNNN
4,2025-07-18 20:00:00+02:00,90,Friendly,,,,,RomÃ¢nia,9.5,24.5,28.5,24.0,8.5,7.25,8.5,8.25,12.5,Pressing,16,0,4-5-1,4,5,1,4,-10,11,ZPQEPHQQpUQEEP,302030,H,Portugal,5.5,8.0,10.5,7.25,6.25,4.25,7.5,8.5,8.75,Normal,0,0,4-4-2,4,4,2,0,0,9,UQPEHHUZEUPHEQ,0,A,Por,2025-07-18,Pr,F,,AoD,NNN-NNMNDNM--N
5,2025-07-11 20:00:00+02:00,90,World Cup,8.2753,17.0399,18.0277,8.6434,RomÃ¢nia,8.25,20.75,21.5,19.75,17.25,18.25,8.75,11.25,13.0,Counter-attacks,20,0,4-3-3,4,3,3,0,-4,16,UUQEHQHQUEEWHU,2010000,N,Belgium,17.25,18.75,18.75,18.75,14.0,15.0,13.75,10.5,13.0,Normal,0,0,3-5-2,3,5,2,3,0,16,UUEUEUUQHQQPQE,3000300,H,Bel,2025-07-11,CA,WC3,8.275337126064581,hardca,NNN-NDNON--NNN
6,2025-07-07 20:00:00+02:00,90,World Cup,12.0865,14.0455,16.5096,15.7703,RomÃ¢nia,11.0,16.25,15.5,17.0,14.25,16.75,16.0,10.25,12.5,Normal,0,0,3-5-2,3,5,2,1,4,15,UQEHEUHUUHTPHE,3000000,N,Colombia,8.25,23.25,27.25,23.5,14.75,5.5,5.75,8.25,12.0,Counter-attacks,18,0,4-5-1,4,5,1,1,-10,15,ZQHEHQQUpQHQEE,2002042034,A,Col,2025-07-07,N,WC3,12.08651995029322,bal,NN-N-NMNNNNNN-
7,2025-07-04 20:00:00+02:00,90,World Cup,11.8143,12.2973,15.2486,14.5108,RomÃ¢nia,13.0,17.5,17.25,17.5,12.5,15.5,14.75,10.0,12.5,Normal,0,0,3-5-2,3,5,2,1,3,16,UHEHEQHUUHHWHE,2003000000,N,ÄŒeskÃ¡ republika,9.0,21.25,23.25,21.0,14.25,13.25,14.25,10.5,12.75,Counter-attacks,18,0,4-4-2,4,4,2,1,-10,15,UQQEUUQUQEUUEU,100,H,ÄŒes,2025-07-04,N,WC3,11.814311371520397,bal,ND-N-NMNNNNNN-
8,2025-06-27 20:00:00+02:00,90,World Cup,7.8351,11.8053,11.8053,11.3235,RomÃ¢nia,10.5,21.5,26.0,21.75,12.25,12.25,11.75,10.0,13.0,Counter-attacks,18,0,4-4-2,4,4,2,3,-10,15,UQHEQUTTUEHEHW,3043000000,A,Prateh Kampuchea,16.25,14.0,11.25,13.5,15.75,19.0,15.5,8.0,10.0,Normal,0,0,2-5-3,2,5,3,2,10,14,ZTEEEZQTQHHTQP,30103000,H,Pra,2025-06-27,CA,WC2,7.835106194758135,442ca,NMN-WMNNN-N-NN
9,2025-06-20 20:00:00+02:00,90,World Cup,12.5396,10.772,11.9429,10.772,RomÃ¢nia,14.5,21.5,22.0,20.5,11.5,12.75,11.5,10.0,12.75,Normal,0,0,3-5-2,3,5,2,2,-10,16,UQEHEUTTHUHWHE,2003000300,A,Bulgaria,17.25,17.0,16.5,15.5,16.0,17.0,13.75,11.0,12.25,Normal,0,0,3-5-2,3,5,2,3,2,12,ZTETEUHQUHUETU,3100300,H,Bul,2025-06-20,N,WC2,12.539611021747774,AoD,ND-N-NMNNNMNN-
