,Unnamed: 0,Match Datetime,Match Type,Team name,sc_ra,sc_ca,sc_la,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,Midfielder_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,Midfielder_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
12,7.0,2024-12-20 20:00:00,Friendly match,Palestine,,,,,9.5,20.0,19.75,19.0,13.25,13.25,10.75,10.5,6.75,(no tactic),0,11.0,-30,2.2,2,3,5.0,2,,H,France,7.0,14.25,14.75,14.75,10.0,11.75,9.75,9.75,7.25,(no tactic),0.0,10.5,0.0,0.7,0,3.0,4.0,3.0,,A,F,Fra,2024-12-20,3-5.0-2,3.0-4.0-3.0,N,88,
13,8.0,2024-12-13 20:00:00,Friendly match,Palestine,,,,,9.0,17.75,18.0,18.75,12.75,13.25,13.5,10.5,6.75,(no tactic),0,10.5,-30,0.8,1,3,5.0,2,,A,México,10.75,17.75,20.75,16.75,9.5,8.75,7.75,11.0,7.5,(no tactic),0.0,10.0,0.0,0.7,0,4.0,5.0,1.0,,H,F,Méx,2024-12-13,3-5.0-2,4.0-5.0-1.0,N,88,
14,9.0,2024-12-06 20:00:00,Friendly match,Palestine,,,,,6.5,20.0,21.5,19.25,8.0,12.0,13.5,11.0,7.0,Counter-attacks,22,10.5,-10,1.7,2,5,3.0,2,,A,San Marino,7.5,14.75,14.25,14.25,11.25,14.0,11.25,10.5,8.75,Play creatively,19.0,13.25,0.0,1.4,1,3.0,4.0,3.0,,H,F,San,2024-12-06,5-3.0-2,3.0-4.0-3.0,CA,88,
15,10.0,2024-11-29 20:00:00,Friendly match,Palestine,,,,,4.25,19.25,19.75,20.0,13.25,13.0,14.5,10.25,7.75,Counter-attacks,22,10.5,-10,0.8,1,5,2.0,3,,A,Kenya,6.0,21.75,22.75,21.5,12.0,6.25,12.75,10.0,6.0,Counter-attacks,23.0,8.0,-100.0,1.0,0,5.0,3.0,2.0,,H,F,Ken,2024-11-29,5-2.0-3,5.0-3.0-2.0,CA,88,
16,11.0,2024-11-22 20:00:00,Friendly match,Palestine,,,,,7.5,13.5,15.75,14.75,13.25,15.5,13.5,10.25,8.0,(no tactic),0,10.5,-40,1.0,2,2,5.0,3,,H,RD Congo,9.0,18.75,18.25,16.0,11.75,12.0,10.75,11.0,8.75,(no tactic),0.0,15.0,0.0,1.8,2,4.0,4.0,2.0,,A,F,RD ,2024-11-22,2-5.0-3,4.0-4.0-2.0,N,88,
17,12.0,2024-11-15 20:00:00,Match 6 in round II of World Cup,Palestine,15.880711128260034,7.825277947258568,7.595122713515669,6.807604855733776,7.0,23.5,25.5,24.5,17.25,8.5,8.25,12.25,8.75,Counter-attacks,19,12.75,-100,0.9,1,5,3.0,2,,H,Eesti,17.75,18.25,18.75,18.75,11.5,11.75,11.5,11.25,7.75,Play creatively,23.0,16.5,0.0,2.0,4,3.0,5.0,2.0,,A,WC2,Ees,2024-11-15,5-3.0-2,3.0-5.0-2.0,CA,88,6.807604855733776
18,13.0,2024-11-08 20:00:00,Match 5 in round II of World Cup,Palestine,16.782116358630432,11.42116252184571,7.458718381613525,14.341375459237371,15.25,16.25,16.5,16.0,18.0,12.25,8.0,10.5,7.75,(no tactic),0,12.5,-10,1.6,2,3,5.0,2,,A,Al Iraq,14.0,18.5,18.5,14.5,14.0,14.75,10.25,11.25,9.25,(no tactic),0.0,15.0,-50.0,1.4,1,2.0,5.0,3.0,,H,WC2,Al ,2024-11-08,3-5.0-2,2.0-5.0-3.0,N,88,14.341375459237371
19,14.0,2024-11-04 20:00:00,Match 4 in round II of World Cup,Palestine,10.235135576625694,12.282162691950834,9.3253457475923,13.04349608042839,14.0,18.5,17.75,17.75,11.25,13.5,10.25,10.75,8.75,(no tactic),0,12.75,-100,0.8,0,3,5.0,2,,H,Oceania,6.75,25.75,23.75,25.5,14.5,7.0,16.75,12.25,8.5,Counter-attacks,24.0,14.0,-100.0,0.9,1,5.0,3.0,2.0,,A,WC2,Oce,2024-11-04,3-5.0-2,5.0-3.0-2.0,N,88,13.04349608042839
20,15.0,2024-11-01 20:00:00,Match 3 in round II of World Cup,Palestine,7.938450469045129,7.25801185741269,13.608772232648793,7.571347125143193,6.25,22.75,26.5,23.25,8.75,8.0,15.0,12.0,8.5,Counter-attacks,20,12.5,-100,0.9,2,5,3.0,2,,A,Oceania,15.25,15.0,12.0,15.25,20.25,18.5,17.75,11.5,10.0,(no tactic),0.0,16.0,40.0,2.4,2,2.0,5.0,3.0,,H,WC2,Oce,2024-11-01,5-3.0-2,2.0-5.0-3.0,CA,88,7.571347125143193
21,16.0,2024-10-28 20:00:00,Match 2 in round II of World Cup,Palestine,16.035773188136147,7.453246693077364,7.904958613869932,7.193093494047572,6.5,22.0,26.25,22.25,17.75,8.25,8.75,11.75,8.5,Counter-attacks,20,12.0,-100,0.9,0,5,3.0,2,,H,Al Iraq,12.5,17.25,15.75,17.25,14.75,15.75,12.75,11.0,8.75,(no tactic),0.0,15.75,0.0,1.4,0,2.0,5.0,3.0,,A,WC2,Al ,2024-10-28,5-3.0-2,2.0-5.0-3.0,CA,88,7.193093494047572
22,17.0,2024-10-25 20:00:00,Match 1 in round II of World Cup,Palestine,11.640532337273275,7.21713004910943,7.682751342600361,7.731771851715599,5.25,26.0,28.25,26.0,12.5,7.75,8.25,12.25,8.5,Counter-attacks,20,12.25,-100,1.0,2,5,3.0,2,,A,Eesti,11.5,13.5,11.0,13.5,17.5,21.5,17.75,10.25,8.5,(no tactic),0.0,15.75,100.0,2.8,0,2.0,5.0,3.0,,H,WC2,Ees,2024-10-25,5-3.0-2,2.0-5.0-3.0,CA,88,7.731771851715599
23,18.0,2024-10-18 20:00:00,Match 10 in round I of World Cup,Palestine,12.14863505583961,12.863260647359587,11.434009464319633,11.825741423263644,14.5,16.25,16.0,15.0,12.75,13.5,12.0,10.5,7.75,(no tactic),0,12.75,0,0.9,2,3,5.0,2,,H,Northern Ireland,6.5,26.5,25.0,26.25,14.5,6.75,13.75,13.0,9.0,Counter-attacks,22.0,15.75,-100.0,1.1,1,5.0,3.0,2.0,,A,WC1,Nor,2024-10-18,3-5.0-2,5.0-3.0-2.0,N,88,11.825741423263644
24,19.0,2024-10-11 20:00:00,Match 9 in round I of World Cup,Palestine,18.232545892746597,11.602529204475106,13.023247066247569,12.831566560287214,12.25,16.25,15.0,16.0,19.25,12.25,13.75,10.75,8.25,(no tactic),0,12.75,0,1.2,1,3,5.0,2,,A,Canada,9.0,23.75,26.25,19.0,11.75,12.0,12.0,12.25,9.0,Counter-attacks,22.0,13.75,-100.0,1.4,2,5.0,3.0,2.0,,H,WC1,Can,2024-10-11,3-5.0-2,5.0-3.0-2.0,N,88,12.831566560287214
25,20.0,2024-10-04 20:00:00,Match 8 in round I of World Cup,Palestine,9.19098468267732,9.432852700642512,15.479553149772325,12.916309363314161,15.75,17.5,17.5,17.25,9.5,9.75,16.0,11.5,7.75,(no tactic),0,13.0,0,1.1,2,3,5.0,2,,H,Andorra,10.5,22.25,25.0,22.0,10.75,10.5,13.25,12.25,9.25,Counter-attacks,18.0,16.25,-100.0,1.0,1,4.0,4.0,2.0,,A,WC1,And,2024-10-04,3-5.0-2,4.0-4.0-2.0,N,88,12.916309363314161
26,21.0,2024-09-27 20:00:00,Match 7 in round I of World Cup,Palestine,8.889321795776008,12.012597021318927,11.051589259613413,15.337741091448136,13.5,18.0,17.75,17.5,9.25,12.5,11.5,10.75,8.0,(no tactic),0,12.5,-70,1.3,0,3,5.0,2,,A,Suriname,13.5,17.0,17.5,16.75,13.25,13.75,14.25,12.0,9.5,(no tactic),0.0,15.0,50.0,2.0,1,3.0,5.0,2.0,,H,WC1,Sur,2024-09-27,3-5.0-2,3.0-5.0-2.0,N,88,15.337741091448136
27,22.0,2024-09-20 20:00:00,Match 6 in round I of World Cup,Palestine,7.137357554190488,11.41977208670478,11.41977208670478,13.654078809601144,14.25,19.25,18.25,18.75,7.5,12.0,12.0,10.75,7.75,(no tactic),0,12.75,-100,0.9,0,3,5.0,2,,H,Angola,13.5,18.25,19.25,18.0,14.0,14.0,13.75,12.5,9.75,(no tactic),0.0,17.75,0.0,1.6,1,3.0,5.0,2.0,,A,WC1,Ang,2024-09-20,3-5.0-2,3.0-5.0-2.0,N,88,13.654078809601144
28,23.0,2024-09-13 20:00:00,Match 5 in round I of World Cup,Palestine,9.380099546673724,9.873788996498659,8.39272064702386,15.977100828481753,13.5,19.5,19.5,19.75,9.5,10.0,8.5,11.0,7.5,(no tactic),0,14.75,-10,1.5,5,3,5.0,2,,A,Northern Ireland,16.5,11.25,11.75,8.5,17.75,21.75,13.75,10.25,8.75,Attack in the Middle,26.0,14.0,100.0,3.5,2,2.0,5.0,3.0,,H,WC1,Nor,2024-09-13,3-5.0-2,2.0-5.0-3.0,N,88,15.977100828481753
29,24.0,2024-09-06 20:00:00,Match 4 in round I of World Cup,Palestine,14.346071623639105,7.0514589336531195,14.832379136304837,9.198738341646914,8.75,21.0,22.75,21.5,14.75,7.25,15.25,12.0,8.25,Counter-attacks,18,17.0,-100,1.4,1,4,4.0,2,,H,Canada,16.25,11.25,12.75,9.25,17.25,22.25,13.75,10.5,9.0,Attack in the Middle,26.0,18.0,100.0,3.3,4,2.0,5.0,3.0,,A,WC1,Can,2024-09-06,4-4.0-2,2.0-5.0-3.0,CA,88,9.198738341646914
30,25.0,2024-08-30 20:00:00,Match 3 in round I of World Cup,Palestine,9.765660711301416,10.253943746866486,10.49808526464902,15.564215232533815,15.0,19.75,21.0,19.25,10.0,10.5,10.75,11.25,7.0,(no tactic),0,15.5,-30,2.1,2,3,5.0,2,,A,Andorra,13.75,15.5,14.75,15.75,15.0,16.75,14.25,11.5,10.0,Play creatively,26.0,15.25,10.0,2.3,3,3.0,5.0,2.0,,H,WC1,And,2024-08-30,3-5.0-2,3.0-5.0-2.0,N,88,15.564215232533815
31,26.0,2024-08-26 20:00:00,Match 2 in round I of World Cup,Palestine,15.274120713839153,6.618785642663633,5.8550796069716755,13.61447844519649,12.5,20.5,21.75,20.5,15.0,6.5,5.75,11.5,7.0,(no tactic),0,14.5,-50,1.2,3,3,5.0,2,,H,Suriname,12.0,17.25,15.75,16.5,13.25,14.5,13.25,12.0,10.25,(no tactic),0.0,15.0,-50.0,1.4,0,3.0,5.0,2.0,,A,WC1,Sur,2024-08-26,3-5.0-2,3.0-5.0-2.0,N,88,13.61447844519649
