,Unnamed: 0.1,Unnamed: 0,Match Datetime,Match Type,sc_ra,sc_ca,sc_la,Team name,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
12,12,7.0,2024-12-13 20:00:00,Friendly match,,,,Bahrain,,9.5,13.25,12.25,10.75,15.0,12.5,11.25,9.75,7.25,(no tactic),0,10.0,100,1.0,2,3,5,2,H,Al Urdun,10.0,21.25,19.5,20.25,11.0,7.75,8.75,10.75,7.0,(no tactic),0.0,9.75,0.0,1.4,1,4.0,5.0,1.0,A,F,Al ,2024-12-13,3-5-2,4.0-5.0-1.0,N,88,
13,13,8.0,2024-12-06 20:00:00,Friendly match,,,,Bahrain,,9.25,14.75,14.5,15.5,11.0,17.25,13.0,9.25,7.25,(no tactic),0,10.5,30,1.3,1,3,4,3,H,Crna Gora,7.75,19.5,22.0,20.5,10.0,10.5,10.5,10.75,8.25,Counter-attacks,17.0,11.0,-100.0,1.5,2,4.0,4.0,2.0,A,F,Crn,2024-12-06,3-4-3,4.0-4.0-2.0,N,88,
14,14,9.0,2024-11-29 20:00:00,Friendly match,,,,Bahrain,,9.75,14.75,15.0,14.0,10.25,11.75,11.25,10.0,7.0,(no tactic),0,11.75,0,0.8,1,3,5,2,A,South Africa,9.5,16.25,17.75,17.75,12.25,14.5,15.0,10.25,7.0,(no tactic),0.0,11.5,0.0,2.3,2,4.0,4.0,2.0,H,F,Sou,2024-11-29,3-5-2,4.0-4.0-2.0,N,88,
15,15,10.0,2024-11-22 20:00:00,Friendly match,,,,Bahrain,,11.25,14.25,15.75,13.5,9.5,11.25,11.75,8.75,6.25,(no tactic),0,8.0,50,3.6,5,3,5,2,A,Hayastan,5.75,11.0,14.5,17.25,9.0,14.0,7.75,9.5,9.5,(no tactic),0.0,11.75,0.0,0.8,0,5.0,3.0,2.0,H,F,Hay,2024-11-22,3-5-2,5.0-3.0-2.0,N,88,
16,16,11.0,2024-11-15 20:00:00,Friendly match,,,,Bahrain,,9.75,16.25,16.25,17.25,12.0,12.0,13.0,9.5,7.25,(no tactic),0,8.0,0,2.9,3,3,5,2,H,Saint Vincent and the Grenadines,5.0,17.75,15.0,13.5,8.25,8.75,8.0,9.75,8.75,Counter-attacks,18.0,10.5,-100.0,0.6,0,5.0,2.0,3.0,A,F,Sai,2024-11-15,3-5-2,5.0-2.0-3.0,N,88,
17,17,12.0,2024-11-08 20:00:00,Friendly match,,,,Bahrain,,9.75,8.0,11.0,7.0,12.0,17.25,12.25,8.75,6.5,Attack in the Middle,21,8.5,100,2.0,4,2,5,3,A,Cabo Verde,9.0,18.25,19.25,11.75,10.5,13.75,10.0,10.5,8.25,(no tactic),0.0,9.75,-50.0,3.1,4,3.0,4.0,3.0,H,F,Cab,2024-11-08,2-5-3,3.0-4.0-3.0,AIM,88,
18,18,13.0,2024-11-01 20:00:00,Friendly match,,,,Bahrain,,8.5,14.75,14.25,15.5,7.25,16.5,14.75,9.5,7.25,(no tactic),0,9.75,50,1.7,1,3,4,3,H,South Africa,8.5,21.25,18.0,15.5,13.5,13.75,14.25,10.25,7.25,(no tactic),0.0,10.0,0.0,2.1,3,3.0,4.0,3.0,A,F,Sou,2024-11-01,3-4-3,3.0-4.0-3.0,N,88,
19,19,14.0,2024-10-25 20:00:00,Friendly match,,,,Bahrain,,8.25,17.0,15.5,17.0,10.75,12.0,13.0,9.5,6.25,(no tactic),0,9.5,0,2.3,2,3,5,2,H,Osterreich,7.0,8.5,17.0,21.75,7.5,16.25,18.25,11.0,9.0,(no tactic),0.0,9.25,20.0,2.0,0,3.0,4.0,3.0,A,F,Ost,2024-10-25,3-5-2,3.0-4.0-3.0,N,88,
20,20,15.0,2024-10-18 20:00:00,Match 10 in round I of World Cup,16.52811475050048,18.594129094313047,15.495107578594205,Bahrain,13.536106411039295,15.0,15.25,14.5,16.0,16.0,18.0,15.0,10.25,8.25,(no tactic),0,13.25,50,1.5,1,3,4,3,H,Island,7.0,26.0,26.0,25.5,17.5,4.75,4.5,12.5,8.25,Counter-attacks,21.0,14.75,-100.0,0.7,1,5.0,4.0,1.0,A,WC1,Isl,2024-10-18,3-4-3,5.0-4.0-1.0,N,88,13.536106411039295
21,21,16.0,2024-10-11 20:00:00,Match 9 in round I of World Cup,8.351293872556298,6.83287680481879,7.33901582739796,Bahrain,13.237571121339977,9.25,26.0,25.5,26.0,8.25,6.75,7.25,11.75,7.0,Pressing,16,11.75,-100,0.2,2,4,5,1,A,Latvija,18.25,10.75,13.0,13.75,14.5,21.0,18.25,11.75,10.75,(no tactic),0.0,12.25,100.0,1.7,4,2.0,5.0,3.0,H,WC1,Lat,2024-10-11,4-5-1,2.0-5.0-3.0,Pr,88,13.237571121339977
