,Unnamed: 0.1,Unnamed: 0,Match Datetime,Match Type,sc_ra,sc_ca,sc_la,Team name,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
52,52,47.0,2024-04-05 20:00:00,Friendly match,,,,Bahrain,,9.75,14.0,11.0,14.0,16.5,18.75,16.25,9.75,8.0,(no tactic),0,13.25,30,3.4,2,2,5,3,H,São Tomé e Príncipe,6.5,17.25,20.5,15.5,8.0,8.5,16.0,10.25,7.75,Play creatively,20.0,9.5,-100.0,1.4,4,5.0,3.0,2.0,A,F,São,2024-04-05,2-5-3,5.0-3.0-2.0,N,86,
53,53,48.0,2024-03-29 20:00:00,Friendly match,,,,Bahrain,,7.75,21.0,20.0,22.0,11.0,11.0,12.5,10.5,7.25,Counter-attacks,18,15.25,-100,1.9,3,4,4,2,A,Moldova,10.0,13.5,11.5,14.25,15.5,18.0,14.75,8.75,7.5,(no tactic),0.0,10.0,20.0,1.9,3,2.0,5.0,3.0,H,F,Mol,2024-03-29,4-4-2,2.0-5.0-3.0,CA,86,
54,54,49.0,2024-03-22 20:00:00,Friendly match,,,,Bahrain,,8.25,17.25,16.5,17.5,12.25,14.25,13.25,9.75,7.25,(no tactic),0,14.5,0,2.0,3,3,4,3,H,Hong Kong,8.0,13.5,18.25,15.0,6.5,7.75,9.75,11.5,8.5,Long shots,8.0,8.75,-100.0,0.6,1,3.0,5.0,2.0,A,F,Hon,2024-03-22,3-4-3,3.0-5.0-2.0,N,86,
55,55,50.0,2024-03-15 20:00:00,Friendly match,,,,Bahrain,,8.75,16.25,17.0,17.0,12.75,12.5,13.0,10.0,6.75,(no tactic),0,15.5,0,2.1,3,3,5,2,H,Paraguay,8.25,14.75,15.75,16.5,9.5,15.25,16.5,11.0,9.0,(no tactic),0.0,13.0,30.0,1.7,0,3.0,4.0,3.0,A,F,Par,2024-03-15,3-5-2,3.0-4.0-3.0,N,86,
56,56,51.0,2024-03-08 20:00:00,Match 10 in round I of World Cup,13.039031215058735,19.691598161517273,21.820419584384005,Bahrain,15.352948440351332,15.75,8.75,11.0,13.0,12.25,18.5,20.5,9.75,8.75,(no tactic),0,14.5,100,3.0,6,2,5,3,H,RD Congo,15.75,7.75,12.75,15.25,8.75,17.75,17.5,10.5,8.25,(no tactic),0.0,13.5,100.0,3.2,3,2.0,5.0,3.0,A,WC1,RD ,2024-03-08,2-5-3,2.0-5.0-3.0,N,86,15.352948440351332
57,57,52.0,2024-03-01 20:00:00,Match 9 in round I of World Cup,6.861272672947169,10.291909009420753,15.833706168339619,Bahrain,12.124503722128917,9.75,23.0,22.5,24.75,6.5,9.75,15.0,10.75,7.5,Counter-attacks,21,15.75,-100,0.6,1,5,3,2,A,Bolivia,14.5,18.25,19.25,18.25,13.25,14.0,13.0,12.5,10.0,(no tactic),0.0,16.5,-30.0,1.5,3,3.0,5.0,2.0,H,WC1,Bol,2024-03-01,5-3-2,3.0-5.0-2.0,CA,86,12.124503722128917
58,58,53.0,2024-02-23 20:00:00,Match 8 in round I of World Cup,13.47683343007469,11.627071978887969,11.627071978887969,Bahrain,13.799041330978566,9.25,21.75,20.75,20.75,12.75,11.0,11.0,10.5,7.5,Counter-attacks,18,16.0,-100,1.3,1,4,4,2,A,Chinese Taipei,16.5,13.5,11.0,13.5,16.25,20.25,16.75,10.5,8.75,(no tactic),0.0,15.25,100.0,3.1,2,2.0,5.0,3.0,H,WC1,Chi,2024-02-23,4-4-2,2.0-5.0-3.0,CA,86,13.799041330978566
59,59,54.0,2024-02-16 20:00:00,Match 7 in round I of World Cup,12.07880544827691,17.983999222990064,16.641909728737073,Bahrain,17.02919972972961,16.75,10.0,13.0,15.0,11.25,16.75,15.5,9.75,8.0,(no tactic),0,12.75,60,1.1,2,2,5,3,H,Deutschland,11.0,23.5,25.25,23.5,13.5,11.75,13.0,12.0,8.0,Counter-attacks,19.0,14.25,-100.0,2.2,2,4.0,4.0,2.0,A,WC1,Deu,2024-02-16,2-5-3,4.0-4.0-2.0,N,86,17.02919972972961
60,60,55.0,2024-02-09 20:00:00,Match 6 in round I of World Cup,7.015676254037753,11.692793756729587,14.55103223059682,Bahrain,12.395628311524844,8.75,23.5,23.25,23.5,6.75,11.25,14.0,11.25,8.5,Counter-attacks,22,15.0,-100,0.5,0,5,3,2,A,Turkiye,16.25,18.75,18.75,18.25,14.25,13.0,15.25,12.0,8.0,(no tactic),0.0,16.25,30.0,1.9,3,3.0,5.0,2.0,H,WC1,Tur,2024-02-09,5-3-2,3.0-5.0-2.0,CA,86,12.395628311524844
61,61,56.0,2024-02-02 20:00:00,Match 5 in round I of World Cup,12.85704248207908,11.545099371662848,11.807487993746093,Bahrain,13.49984202863173,9.25,22.25,21.5,22.0,12.25,11.0,11.25,10.5,8.25,Counter-attacks,18,14.75,-100,0.7,1,4,4,2,A,RD Congo,15.75,17.5,19.0,18.75,14.25,9.5,5.75,11.5,7.75,(no tactic),0.0,14.0,0.0,1.4,1,3.0,5.0,2.0,H,WC1,RD ,2024-02-02,4-4-2,3.0-5.0-2.0,CA,86,13.49984202863173
62,62,57.0,2024-01-26 20:00:00,Match 4 in round I of World Cup,11.731465967094971,11.45864117716253,12.277115546959854,Bahrain,12.315911631585298,9.5,23.0,22.25,22.75,10.75,10.5,11.25,10.75,8.0,Counter-attacks,18,14.5,-100,0.5,2,4,4,2,H,Bolivia,9.25,22.75,21.75,23.0,13.75,12.75,13.0,12.75,10.5,Counter-attacks,16.0,15.0,-100.0,1.3,0,4.0,4.0,2.0,A,WC1,Bol,2024-01-26,4-4-2,4.0-4.0-2.0,CA,86,12.315911631585298
63,63,58.0,2024-01-19 20:00:00,Match 3 in round I of World Cup,10.34082455427912,18.725276895586518,17.886831661455776,Bahrain,14.674766793765254,13.75,14.75,14.75,15.25,9.25,16.75,16.0,10.0,8.75,(no tactic),0,13.25,20,1.3,1,3,4,3,H,Chinese Taipei,10.25,22.5,24.75,23.25,12.0,11.0,12.0,12.0,8.25,Counter-attacks,18.0,16.0,-100.0,1.8,2,4.0,4.0,2.0,A,WC1,Chi,2024-01-19,3-4-3,4.0-4.0-2.0,N,86,14.674766793765254
64,64,59.0,2024-01-15 20:00:00,Match 2 in round I of World Cup,6.295485178661904,10.754787180214086,16.001024829099006,Bahrain,11.674598496820114,7.25,23.0,22.75,23.5,6.0,10.25,15.25,11.0,8.0,Counter-attacks,20,13.0,-100,1.1,0,5,3,2,A,Deutschland,11.75,16.75,13.5,16.5,14.5,17.0,15.0,11.5,9.25,Play creatively,25.0,13.25,100.0,3.5,6,2.0,5.0,3.0,H,WC1,Deu,2024-01-15,5-3-2,2.0-5.0-3.0,CA,86,11.674598496820114
65,65,60.0,2024-01-12 20:00:00,Match 1 in round I of World Cup,12.655236150470154,15.186283380564184,12.402131427460752,Bahrain,16.001356826673604,10.75,16.75,14.75,10.25,12.5,15.0,12.25,9.75,8.25,(no tactic),0,10.75,0,1.5,0,3,5,2,H,Turkiye,10.75,17.75,17.75,18.75,14.25,13.25,12.5,11.75,8.5,(no tactic),0.0,14.75,0.0,2.3,2,3.0,5.0,2.0,A,WC1,Tur,2024-01-12,3-5-2,3.0-5.0-2.0,N,86,16.001356826673604
66,66,61.0,2024-01-01 12:00:00,Semi-finals in Asia and Oceania Cup,6.319804440605315,11.424261873401916,13.854955889019344,Bahrain,11.580118817203726,6.75,24.25,24.25,24.5,6.5,11.75,14.25,11.0,7.25,Counter-attacks,22,14.5,-100,1.2,0,5,3,2,N,Iran,13.0,14.25,14.75,15.0,16.75,18.25,18.25,11.5,9.0,(no tactic),0.0,12.5,100.0,2.6,4,3.0,4.0,3.0,H,CCSF,Ira,2024-01-01,5-3-2,3.0-4.0-3.0,CA,86,11.580118817203726
67,67,62.0,2023-12-29 12:00:00,Quarterfinals in Asia and Oceania Cup,13.51033318870032,21.12524825869505,13.019048345474856,Bahrain,19.832278170297982,17.0,6.75,10.5,7.25,13.75,21.5,13.25,9.5,8.75,Attack in the Middle,27,12.25,100,3.5,3,2,5,3,N,Azerbaycan,14.5,16.75,15.75,16.5,17.25,18.5,16.75,11.75,10.25,(no tactic),0.0,23.25,10.0,4.0,2,3.0,4.0,3.0,H,CCQF,Aze,2023-12-29,2-5-3,3.0-4.0-3.0,AIM,86,19.832278170297982
68,68,63.0,2023-12-22 12:00:00,Round 10 in Asia and Oceania Cup,13.386386578965526,19.2277189043323,16.550441588539197,Bahrain,16.301853812134983,15.75,13.0,12.75,13.75,13.75,19.75,17.0,9.5,7.5,(no tactic),0,14.25,20,1.9,1,2,5,3,H,Hong Kong,14.5,19.75,24.0,20.0,9.5,10.25,8.0,14.25,12.25,Long shots,17.0,13.5,-100.0,1.6,1,3.0,5.0,2.0,A,CC,Hon,2023-12-22,2-5-3,3.0-5.0-2.0,N,86,16.301853812134983
69,69,64.0,2023-12-15 12:00:00,Round 9 in Asia and Oceania Cup,6.6597828611593854,10.11300360398277,14.059541595780926,Bahrain,12.599099387651272,8.5,24.0,25.75,23.25,6.75,10.25,14.25,11.0,7.25,Counter-attacks,21,14.75,-100,0.7,1,5,3,2,A,Kyrgyz Republic,17.25,16.5,17.25,16.5,10.75,12.25,13.0,11.5,8.75,(no tactic),0.0,15.25,-20.0,0.8,0,3.0,5.0,2.0,H,CC,Kyr,2023-12-15,5-3-2,3.0-5.0-2.0,CA,86,12.599099387651272
70,70,65.0,2023-12-08 12:00:00,Round 8 in Asia and Oceania Cup,12.972648683456688,15.261939627596105,16.53376792989578,Bahrain,14.132060657779535,14.0,17.25,16.5,17.25,12.75,15.0,16.25,9.5,7.75,(no tactic),0,13.5,50,2.8,4,3,4,3,H,Prathet Thai,6.75,20.0,18.5,19.25,20.5,9.25,19.5,12.75,9.5,Counter-attacks,22.0,13.0,20.0,1.6,1,5.0,3.0,2.0,A,CC,Pra,2023-12-08,3-4-3,5.0-3.0-2.0,N,86,14.132060657779535
71,71,66.0,2023-12-01 12:00:00,Round 7 in Asia and Oceania Cup,11.534102961999913,11.534102961999913,11.534102961999913,Bahrain,13.245296141148206,9.5,22.0,21.75,23.0,11.5,11.5,11.5,10.0,6.25,Counter-attacks,16,12.75,-100,0.9,1,4,4,2,A,Sri Lanka,14.25,15.75,16.25,16.75,13.75,16.5,14.0,11.5,9.0,(no tactic),0.0,14.5,0.0,2.1,2,2.0,5.0,3.0,H,CC,Sri,2023-12-01,4-4-2,2.0-5.0-3.0,CA,86,13.245296141148206
72,72,67.0,2023-11-24 12:00:00,Round 6 in Asia and Oceania Cup,10.482565869623144,14.317650943875515,16.107357311859953,Bahrain,15.497804694112896,13.25,16.75,15.5,17.0,10.25,14.0,15.75,9.5,6.75,(no tactic),0,11.0,40,4.0,5,3,4,3,H,Mongol Uls,11.5,11.25,8.75,9.75,16.75,19.0,18.5,9.5,9.25,Play creatively,22.0,11.5,80.0,3.4,3,2.0,5.0,3.0,A,CC,Mon,2023-11-24,3-4-3,2.0-5.0-3.0,N,86,15.497804694112896
73,73,68.0,2023-11-17 12:00:00,Round 5 in Asia and Oceania Cup,11.026000222897713,12.780136621995076,9.77304565211388,Bahrain,19.180178258331047,13.5,18.5,18.5,16.0,11.0,12.75,9.75,10.0,7.0,Pressing,11,12.75,-100,0.7,0,3,5,2,A,Hong Kong,13.25,17.75,21.0,18.25,10.75,11.5,7.0,13.75,12.25,Long shots,17.0,13.25,-80.0,1.1,1,3.0,5.0,2.0,H,CC,Hon,2023-11-17,3-5-2,3.0-5.0-2.0,Pr,86,19.180178258331047
74,74,69.0,2023-11-13 12:00:00,Round 4 in Asia and Oceania Cup,15.504447955625565,17.029475623392013,13.979420287859117,Bahrain,14.894765853326405,15.0,17.25,16.25,15.75,15.25,16.75,13.75,10.0,7.75,(no tactic),0,11.75,10,1.8,2,3,4,3,H,Kyrgyz Republic,9.75,19.5,22.75,19.5,11.75,12.0,11.5,12.0,9.0,Counter-attacks,16.0,14.5,-100.0,1.3,1,4.0,4.0,2.0,A,CC,Kyr,2023-11-13,3-4-3,4.0-4.0-2.0,N,86,14.894765853326405
75,75,70.0,2023-11-10 12:00:00,Round 3 in Asia and Oceania Cup,12.873781638135192,11.902175476766498,12.145077017108672,Bahrain,14.707520505229708,10.0,21.0,21.0,22.75,13.25,12.25,12.5,10.0,6.75,Counter-attacks,18,12.75,-100,1.6,0,4,4,2,A,Prathet Thai,15.5,14.75,16.75,15.75,10.75,16.25,13.75,11.5,9.0,(no tactic),0.0,10.5,0.0,1.7,2,2.0,5.0,3.0,H,CC,Pra,2023-11-10,4-4-2,2.0-5.0-3.0,CA,86,14.707520505229708
76,76,71.0,2023-11-06 12:00:00,Round 2 in Asia and Oceania Cup,12.249191178640652,14.499042619615466,12.749158165523944,Bahrain,16.788958477601273,12.5,17.0,17.0,16.25,12.25,14.5,12.75,9.5,6.0,(no tactic),0,13.0,0,1.0,2,3,5,2,H,Sri Lanka,10.25,20.5,22.25,20.75,12.0,12.25,12.0,11.25,7.0,Counter-attacks,18.0,14.5,-100.0,1.4,0,4.0,4.0,2.0,A,CC,Sri,2023-11-06,3-5-2,4.0-4.0-2.0,N,86,16.788958477601273
77,77,72.0,2023-11-03 12:00:00,Round 1 in Asia and Oceania Cup,12.655236150470154,12.149026704451348,12.655236150470154,Bahrain,14.276723145403176,8.0,21.0,20.75,20.5,12.5,12.0,12.5,10.5,7.25,Counter-attacks,17,14.25,-100,1.8,3,4,4,2,A,Mongol Uls,10.5,16.25,14.5,6.75,16.25,19.75,12.0,9.5,9.0,(no tactic),0.0,10.5,50.0,2.1,2,2.0,5.0,3.0,H,CC,Mon,2023-11-03,4-4-2,2.0-5.0-3.0,CA,86,14.276723145403176
78,78,73.0,2023-10-27 20:00:00,Friendly match,,,,Bahrain,,5.75,15.0,12.0,12.0,15.25,15.5,13.0,8.75,7.75,(no tactic),0,8.25,70,2.2,0,3,4,3,A,Venezuela,3.5,15.0,14.5,14.25,5.25,5.0,4.0,11.0,8.75,Pressing,9.0,6.5,-100.0,0.2,0,5.0,4.0,1.0,H,F,Ven,2023-10-27,3-4-3,5.0-4.0-1.0,N,86,
79,79,74.0,2023-10-20 20:00:00,Friendly match,,,,Bahrain,,9.75,14.25,16.5,14.5,11.75,17.0,15.75,9.25,7.5,(no tactic),0,11.75,30,2.4,2,3,4,3,A,Suriyah,10.0,14.5,15.25,13.5,15.25,15.75,13.25,10.75,9.75,(no tactic),0.0,12.75,100.0,2.7,1,3.0,5.0,2.0,H,F,Sur,2023-10-20,3-4-3,3.0-5.0-2.0,N,86,
80,80,75.0,2023-10-13 20:00:00,Friendly match,,,,Bahrain,,10.5,14.25,14.5,11.0,17.75,15.75,8.75,9.5,8.25,(no tactic),0,14.0,0,3.0,3,2,5,3,H,Nicaragua,6.5,20.0,21.0,15.0,6.25,11.75,13.0,10.0,8.25,Counter-attacks,19.0,10.0,-100.0,1.1,1,5.0,2.0,3.0,A,F,Nic,2023-10-13,2-5-3,5.0-2.0-3.0,N,84,
81,81,76.0,2023-10-06 20:00:00,Friendly match,,,,Bahrain,,11.0,20.0,23.25,20.0,5.75,6.25,8.0,10.75,7.0,Pressing,14,13.5,-100,0.4,0,4,5,1,A,Moldova,12.25,14.5,14.5,13.75,14.0,13.5,12.0,9.75,6.5,(no tactic),0.0,10.75,40.0,0.6,1,3.0,5.0,2.0,H,F,Mol,2023-10-06,4-5-1,3.0-5.0-2.0,Pr,84,
82,82,77.0,2023-09-29 20:00:00,Friendly match,,,,Bahrain,,12.0,17.25,17.5,15.25,10.75,12.5,9.5,9.75,8.5,(no tactic),0,14.5,-100,2.0,3,3,5,2,A,Oceania,5.5,20.25,16.75,23.25,20.25,13.5,11.25,11.5,8.75,Counter-attacks,18.0,11.0,0.0,1.4,2,4.0,3.0,3.0,H,F,Oce,2023-09-29,3-5-2,4.0-3.0-3.0,N,84,
83,83,78.0,2023-09-22 20:00:00,Friendly match,,,,Bahrain,,13.0,6.5,10.0,6.75,13.25,20.5,12.25,9.25,9.25,Attack in the Middle,26,13.75,100,3.2,3,2,5,3,H,România,3.0,23.25,21.5,24.5,15.0,12.75,12.0,12.5,9.25,Counter-attacks,17.0,11.25,-30.0,2.1,2,4.0,4.0,2.0,A,F,Rom,2023-09-22,2-5-3,4.0-4.0-2.0,AIM,84,
84,84,79.0,2023-09-15 20:00:00,Friendly match,,,,Bahrain,,6.5,24.0,26.25,25.25,12.5,4.25,10.75,10.0,7.0,Counter-attacks,20,12.25,-80,4.9,7,5,4,1,H,Česká republika,5.0,7.25,7.75,5.75,7.25,5.75,7.0,9.25,9.5,Play creatively,25.0,12.75,100.0,1.0,0,5.0,3.0,2.0,A,F,Čes,2023-09-15,5-4-1,5.0-3.0-2.0,CA,84,
85,85,80.0,2023-09-08 20:00:00,Friendly match,,,,Bahrain,,10.75,15.0,15.75,16.25,13.75,13.25,12.75,10.0,8.5,(no tactic),0,11.5,30,1.3,0,3,5,2,H,Bangladesh,6.75,20.5,24.5,21.0,11.25,9.75,10.75,10.75,7.5,Counter-attacks,23.0,11.75,-80.0,1.1,0,5.0,3.0,2.0,A,F,Ban,2023-09-08,3-5-2,5.0-3.0-2.0,N,84,
86,86,81.0,2023-09-01 20:00:00,Friendly match,,,,Bahrain,,8.5,11.25,11.5,12.25,15.75,18.0,16.25,9.0,7.75,Play creatively,23,13.25,70,4.4,5,3,4,3,H,Nigeria,7.5,12.0,15.5,12.0,12.25,11.5,7.5,8.0,6.25,(no tactic),0.0,8.0,0.0,1.4,2,3.0,4.0,3.0,A,F,Nig,2023-09-01,3-4-3,3.0-4.0-3.0,PC,84,
87,87,82.0,2023-08-25 20:00:00,Friendly match,,,,Bahrain,,6.0,19.25,20.25,20.0,6.0,13.75,14.5,9.0,7.0,Counter-attacks,20,11.75,-100,1.8,1,5,3,2,A,Venezuela,8.75,15.0,15.0,14.75,13.0,16.75,13.75,10.0,8.0,Play creatively,21.0,10.0,0.0,2.4,1,3.0,4.0,3.0,H,F,Ven,2023-08-25,5-3-2,3.0-4.0-3.0,CA,84,
88,88,83.0,2023-08-18 20:00:00,Friendly match,,,,Bahrain,,10.25,19.75,22.0,19.75,4.0,5.0,14.0,10.0,7.0,Pressing,12,12.0,-100,0.7,2,4,5,1,A,Portugal,9.0,18.75,19.5,16.25,18.0,15.0,10.25,12.5,10.0,(no tactic),0.0,11.75,50.0,0.8,0,4.0,3.0,3.0,H,F,Por,2023-08-18,4-5-1,4.0-3.0-3.0,Pr,84,
89,89,84.0,2023-08-11 20:00:00,Friendly match,,,,Bahrain,,8.25,12.75,14.5,12.75,11.0,17.5,15.75,8.75,7.5,(no tactic),0,11.5,0,1.7,1,3,4,3,A,Việt Nam,7.5,18.0,19.5,17.75,11.5,12.25,11.5,10.75,8.5,(no tactic),0.0,9.75,0.0,2.2,3,4.0,4.0,2.0,H,F,Việ,2023-08-11,3-4-3,4.0-4.0-2.0,N,84,
90,90,85.0,2023-08-04 20:00:00,Friendly match,,,,Bahrain,,5.0,22.5,24.0,23.25,16.25,4.75,4.25,9.5,5.0,Counter-attacks,20,11.0,-100,0.5,1,5,4,1,A,Magyarország,7.75,17.25,17.0,17.5,13.75,13.75,14.75,10.0,7.25,(no tactic),0.0,10.5,0.0,1.4,1,3.0,5.0,2.0,H,F,Mag,2023-08-04,5-4-1,3.0-5.0-2.0,CA,84,
91,91,86.0,2023-07-28 20:00:00,Match 10 in round I of World Cup,17.699246118789397,17.43107572305016,8.31328226791623,Bahrain,15.497067652124324,13.0,14.75,15.25,12.5,16.5,16.25,7.75,10.5,9.75,(no tactic),0,15.0,20,1.7,3,2,5,3,H,Comoros,6.75,23.5,24.75,22.5,6.0,12.5,13.5,11.0,7.25,Counter-attacks,23.0,12.75,-100.0,1.2,2,5.0,2.0,3.0,A,WC1,Com,2023-07-28,2-5-3,5.0-2.0-3.0,N,84,15.497067652124324
92,92,87.0,2023-07-21 20:00:00,Match 9 in round I of World Cup,10.755647348258899,17.051636039922645,14.69064028054874,Bahrain,18.921493958835214,17.5,12.5,14.0,14.75,10.25,16.25,14.0,10.75,8.25,(no tactic),0,15.5,50,2.6,3,3,5,2,A,Ecuador,15.75,13.75,10.5,13.5,15.75,20.5,16.75,10.25,8.75,(no tactic),0.0,15.0,100.0,2.7,7,2.0,5.0,3.0,H,WC1,Ecu,2023-07-21,3-5-2,2.0-5.0-3.0,N,84,18.921493958835214
93,93,88.0,2023-07-14 20:00:00,Match 8 in round I of World Cup,8.06406052579284,5.644842368054988,16.934527104164964,Bahrain,9.641920529941912,6.75,25.5,26.5,25.75,7.5,5.25,15.75,12.25,7.5,Counter-attacks,21,18.0,-100,0.9,3,5,3,2,A,Nippon,13.5,18.75,22.0,18.75,9.25,8.75,6.0,12.75,10.5,Play creatively,27.0,20.5,-100.0,1.5,2,4.0,5.0,1.0,H,WC1,Nip,2023-07-14,5-3-2,4.0-5.0-1.0,CA,84,9.641920529941912
94,94,89.0,2023-07-07 20:00:00,Match 7 in round I of World Cup,13.687471188862533,15.029380128947096,14.760998340930183,Bahrain,16.137358309207908,13.0,16.5,17.5,17.25,12.75,14.0,13.75,11.5,8.75,(no tactic),0,18.0,-10,1.2,1,3,5,2,H,Ireland,8.25,25.0,23.5,26.25,13.5,11.0,13.25,11.5,8.25,Counter-attacks,22.0,16.25,-100.0,1.4,3,5.0,3.0,2.0,A,WC1,Ire,2023-07-07,3-5-2,5.0-3.0-2.0,N,84,16.137358309207908
95,95,90.0,2023-06-30 20:00:00,Match 6 in round I of World Cup,5.119394854554964,7.544371364607317,9.161022371308883,Bahrain,17.856496801574472,11.25,21.5,23.75,23.5,4.75,7.0,8.5,12.25,8.5,Pressing,14,17.5,-100,0.4,0,4,5,1,A,Slovensko,12.5,17.0,15.75,16.5,20.25,21.25,19.5,13.0,11.0,(no tactic),0.0,16.75,60.0,1.7,1,3.0,4.0,3.0,H,WC1,Slo,2023-06-30,4-5-1,3.0-4.0-3.0,Pr,84,17.856496801574472
96,96,91.0,2023-06-23 20:00:00,Match 5 in round I of World Cup,8.205666955961147,15.86428944819155,15.043722752595437,Bahrain,19.707353216084538,15.0,13.5,15.0,14.75,7.5,14.5,13.75,11.5,10.0,(no tactic),0,18.5,0,1.3,3,3,5,2,A,Comoros,16.0,18.25,20.0,16.75,12.0,13.0,7.5,10.5,7.0,(no tactic),0.0,11.0,0.0,1.5,4,3.0,5.0,2.0,H,WC1,Com,2023-06-23,3-5-2,3.0-5.0-2.0,N,84,19.707353216084538
97,97,92.0,2023-06-16 20:00:00,Match 4 in round I of World Cup,8.801130609469908,18.669064929178592,18.135663074059202,Bahrain,15.980104551725825,15.5,13.25,15.0,14.0,8.25,17.5,17.0,11.0,9.25,(no tactic),0,19.5,30,1.6,0,3,4,3,H,Ecuador,14.5,22.25,23.0,22.0,9.25,11.0,9.75,10.75,8.0,(no tactic),0.0,15.75,-100.0,1.1,4,3.0,5.0,2.0,A,WC1,Ecu,2023-06-16,3-4-3,3.0-5.0-2.0,N,84,15.980104551725825
98,98,93.0,2023-06-09 20:00:00,Match 3 in round I of World Cup,10.441509809305492,16.486594435745513,15.662264713958239,Bahrain,16.25418265558116,13.25,10.5,14.0,15.75,9.5,15.0,14.25,10.75,9.25,(no tactic),0,18.25,60,2.5,3,2,5,3,H,Nippon,12.25,15.75,14.75,14.75,17.0,15.75,13.0,12.0,11.0,Play creatively,25.0,17.0,-30.0,3.5,2,3.0,5.0,2.0,A,WC1,Nip,2023-06-09,2-5-3,3.0-5.0-2.0,N,84,16.25418265558116
99,99,94.0,2023-06-05 20:00:00,Match 2 in round I of World Cup,15.377892116072092,7.176349654166976,15.121593914137556,Bahrain,7.246302515267656,4.5,22.25,22.0,22.0,15.0,7.0,14.75,11.25,8.25,Counter-attacks,20,18.0,-100,1.0,0,5,3,2,A,Ireland,12.5,15.75,13.0,15.75,16.25,15.75,16.25,10.5,8.75,(no tactic),0.0,15.25,100.0,2.9,5,2.0,5.0,3.0,H,WC1,Ire,2023-06-05,5-3-2,2.0-5.0-3.0,CA,84,7.246302515267656
100,100,95.0,2023-06-02 20:00:00,Match 1 in round I of World Cup,5.568303906206868,9.111770028338512,14.68007393454538,Bahrain,14.512858517215593,9.75,17.5,19.0,19.0,5.5,9.0,14.5,12.0,8.5,Pressing,14,17.25,-10,0.5,2,4,5,1,H,Slovensko,7.75,25.25,27.5,24.75,10.5,8.5,15.5,14.0,9.5,Counter-attacks,19.0,15.75,-60.0,1.3,3,4.0,4.0,2.0,A,WC1,Slo,2023-06-02,4-5-1,4.0-4.0-2.0,Pr,84,14.512858517215593
101,101,96.0,2023-05-22 12:00:00,Semi-finals in Asia and Oceania Cup,11.284338230337752,13.98276693759243,10.793714829018718,Bahrain,18.97325840441357,13.25,18.25,17.25,16.0,11.5,14.25,11.0,11.25,8.0,(no tactic),0,16.5,-100,2.3,2,3,5,2,N,Al Iraq,14.5,13.25,11.25,13.0,16.0,20.0,17.25,11.5,9.25,Play creatively,22.0,19.0,100.0,3.6,5,2.0,5.0,3.0,H,CCSF,Al ,2023-05-22,3-5-2,2.0-5.0-3.0,N,84,18.97325840441357
102,102,97.0,2023-05-19 12:00:00,Quarterfinals in Asia and Oceania Cup,14.035691782587039,15.288878548889453,11.779955603242692,Bahrain,18.20999164955897,17.0,15.25,16.75,15.0,14.0,15.25,11.75,11.75,9.0,(no tactic),0,17.75,10,2.7,4,3,5,2,N,Pilipinas,13.75,17.5,16.25,14.0,14.0,13.25,10.75,11.75,9.25,Play creatively,22.0,14.75,-30.0,2.2,2,3.0,5.0,2.0,H,CCQF,Pil,2023-05-19,3-5-2,3.0-5.0-2.0,N,84,18.20999164955897
103,103,98.0,2023-05-12 12:00:00,Round 10 in Asia and Oceania Cup,6.569813516120122,14.112932738332114,15.572891297469917,Bahrain,10.811149177628943,7.75,20.5,21.75,21.5,6.75,14.5,16.0,10.5,8.5,Counter-attacks,20,13.25,-100,1.3,0,5,3,2,A,Mongol Uls,14.0,16.25,15.25,16.5,13.5,17.0,14.25,10.5,7.5,(no tactic),0.0,16.5,0.0,1.8,1,3.0,5.0,2.0,H,CC,Mon,2023-05-12,5-3-2,3.0-5.0-2.0,CA,84,10.811149177628943
104,104,99.0,2023-05-05 12:00:00,Round 9 in Asia and Oceania Cup,17.631332195393966,20.653846286032927,19.39446541493336,Bahrain,12.29450716662584,10.5,12.0,12.0,13.5,17.5,20.5,19.25,10.0,9.25,(no tactic),0,15.25,100,2.3,3,3,4,3,H,Myanmar,3.75,24.5,25.5,26.0,4.75,1.5,3.25,11.5,5.75,Pressing,11.0,6.0,-100.0,0.1,0,5.0,5.0,0.0,A,CC,Mya,2023-05-05,3-4-3,5.0-5.0-0.0,N,84,12.29450716662584
105,105,100.0,2023-04-28 12:00:00,Round 8 in Asia and Oceania Cup,6.952681096411705,13.665614568809216,11.02839070465305,Bahrain,19.972291732183745,14.0,16.25,19.0,18.0,7.25,14.25,11.5,11.75,9.0,(no tactic),0,16.25,-100,2.1,0,3,5,2,A,Brunei,13.5,10.75,11.5,12.75,15.25,15.75,15.0,10.25,8.0,Play creatively,22.0,13.5,100.0,2.1,2,2.0,5.0,3.0,H,CC,Bru,2023-04-28,3-5-2,2.0-5.0-3.0,N,84,19.972291732183745
