,Match Datetime,campaign,Competition,Team name,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,id,scaled midfield,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C,Indiv Order
0,2025-09-26 20:00:00,92,Europe Cup,Cyprus,4.5213,5.2749,16.5782,8.75,25.5,27.0,25.0,4.5,5.25,16.5,6.75,11.75,Counter-attacks,22,0,5-4-1,5,4,1,0,-10,14,ZZPHQHUEpQTEEU,2004032414,A,Osterreich,14.75,14.5,12.5,10.5,18.5,19.5,18.5,9.5,11.5,Normal,0,0,2-5-3,2,5,3,2,10,13,ZQEEUEQHUUHQQU,131113004,H,38539518,12.9945,Ost,2025-09-26,CA,CC,12.994463450539616,hardca,NDNNWNM-DWO--W
1,2025-09-19 20:00:00,92,Europe Cup,Cyprus,5.2511,8.0016,18.5037,6.75,23.5,26.0,24.0,5.25,8.0,18.5,6.75,10.75,Counter-attacks,23,0,5-3-2,5,3,2,0,-10,12,ZZHPHZEpETQEUU,2004024104,A,Suomi,15.75,10.75,12.75,12.75,11.5,18.0,19.25,14.25,14.0,Play creatively,20,0,2-5-3,2,5,3,4,10,12,ZEHEEHTHHTQQQP,131140000,H,38539494,10.6758,Suo,2025-09-19,CA,CC,10.675796377734038,hardca,NDNNWN-D-WO-NW
2,2025-09-15 20:00:00,92,Europe Cup,Cyprus,11.8652,13.3484,13.5956,14.5,16.5,17.5,17.5,12.0,13.5,13.75,7.0,10.75,Normal,0,0,3-5-2,3,5,2,0,0,15,ZHEPEZUPUZUUEU,0,H,Ukraina,15.25,17.5,18.0,16.5,11.75,12.25,10.75,9.0,12.25,Play creatively,21,0,3-5-2,3,5,2,2,5,12,ZUEQEHHQQHQTEW,300,A,38539469,15.5814,Ukr,2025-09-15,N,CC,15.58137464634758,bal,NN-N-NNNNNNN-N
3,2025-09-12 20:00:00,92,Europe Cup,Cyprus,11.8741,18.0585,9.6477,16.25,8.0,13.5,8.75,12.0,18.25,9.75,7.25,9.75,Attack in the middle,24,0,2-5-3,2,5,3,3,10,12,ZEUEPEUZPPHUUW,1130103000,A,Schweiz,12.75,16.0,14.5,15.75,17.25,18.25,17.0,9.75,12.0,Play creatively,27,0,3-4-3,3,4,3,4,3,16,UUEUEUQHEHQUPU,100000000,H,38539446,20.4163,Sch,2025-09-12,AIM,CC,20.41629223262293,AoA,N-O-O-MNONMNNN
4,2025-09-08 20:00:00,92,Europe Cup,Cyprus,7.7718,7.2861,7.5289,10.75,23.25,27.0,22.5,8.0,7.5,7.75,6.25,11.25,Pressing,14,0,4-5-1,4,5,1,0,-10,14,ZZHEPHUZUpUEQE,2020300230,A,England,11.25,15.0,15.0,14.75,17.0,19.75,17.5,11.5,12.75,Play creatively,25,0,3-4-3,3,4,3,2,8,12,ZUEHEUUUEUHUQQ,3003000,H,38539423,17.6147,Eng,2025-09-08,Pr,CC,17.614720497446974,AoD,NDN-DNMNNDM-N-
5,2025-09-05 20:00:00,92,Europe Cup,Cyprus,11.5192,13.823,13.5926,11.0,16.5,18.25,17.5,12.5,15.0,14.75,7.5,11.0,Normal,0,0,3-5-2,3,5,2,0,0,14,ZZEPEZQZUPUUEU,3000300,H,Osterreich,11.25,17.75,18.0,20.0,14.0,14.0,13.75,9.25,12.25,Normal,0,0,3-5-2,3,5,2,3,-2,12,ZQEUEUQUHQHEQW,103000300,A,38539399,16.6611,Ost,2025-09-05,N,CC,16.66112704521102,bal,NN-N-NMNNNMN-N
6,2025-08-29 20:00:00,92,Friendly,Cyprus,,,,8.0,14.25,18.5,14.5,10.75,12.25,11.75,7.25,10.75,Play creatively,22,0,4-5-1,4,5,1,2,0,13,ZHHEPZUUTHUPEE,3000000000,H,Uganda,8.5,16.0,16.75,17.0,12.0,12.25,12.0,7.25,10.0,Normal,0,0,3-5-2,3,5,2,3,0,9,ZUEQETQZUQHUEU,0,A,38557542,,Uga,2025-08-29,PC,F,,PC,NMN-NNNNNNNN--
7,2025-08-22 20:00:00,92,Friendly,Cyprus,,,,6.75,15.5,15.0,12.75,6.75,9.0,8.75,5.25,8.75,Pressing,7,0,3-5-2,3,5,2,0,0,5,ZHEQEQHQUUHEWQ,2020000000,A,Barbados,8.75,17.5,16.75,16.5,11.0,11.25,11.0,7.0,10.0,Normal,0,0,3-5-2,3,5,2,2,0,10,ZUEPEUQQHQQQPE,0,H,38516485,,Bar,2025-08-22,Pr,F,,AoD,ND-N-DNNNNN-NN
8,2025-08-15 20:00:00,90,Friendly,Cyprus,,,,7.0,15.0,15.5,13.5,7.25,11.0,9.5,6.0,8.5,Normal,0,0,3-4-3,3,4,3,0,0,6,ZHEQEQETUUHWWQ,2002000000,A,Tahiti,7.75,16.0,17.25,15.75,3.75,5.75,6.25,6.25,8.75,Counter-attacks,13,0,4-5-1,4,5,1,0,-10,5,QUHEPUZUHQZEEU,2012300030,H,38410759,,Tah,2025-08-15,N,F,,343,ND-N-N-DNNNNNN
9,2025-08-08 20:00:00,90,Friendly,Cyprus,,,,6.25,12.5,13.75,12.5,8.0,11.75,11.5,6.0,8.0,Normal,0,0,3-4-3,3,4,3,0,0,6,ZHEQEQETUUHWWQ,0,A,Slovensko,9.25,17.0,16.5,18.25,13.5,14.0,7.25,9.0,11.5,Play creatively,21,0,3-4-3,3,4,3,5,0,10,ZUEHEHHQQEQQPU,201103000,H,38151387,,Slo,2025-08-08,N,F,,343,NN-N-N-NNNNNNN
