,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
0,2024-10-18 20:00:00,Match 10 in round I of World Cup,Espa̱a,12.805200361027815,13.412929200259182,13.909704355824337,13.164541622476603,10.0,18.5,17.75,18.5,13.5,14.0,13.25,12.75,10.5,Play creatively,26,20.25,-100,3.0,2,3,5,2,A,Rom̢nia,9.75,15.0,14.25,15.25,15.5,18.5,14.25,12.25,10.5,(no tactic),0,16.25,60,2.0,2,2,5,3,H,WC1,Rom,2024-10-18,3-5-2,2-5-3,PC,88,12.805200361027815
1,2024-10-11 20:00:00,Match 9 in round I of World Cup,Espa̱a,10.882816357792032,18.502340170759393,23.002909401484647,14.501834187892495,16.5,12.75,11.25,9.75,18.5,23.0,14.5,12.25,11.25,Play creatively,28,20.5,100,2.6,3,2,5,3,H,Cameroon,12.75,21.75,25.0,21.75,8.75,8.75,8.5,10.75,7.75,Pressing,11,13.5,-100,0.9,2,4,5,1,A,WC1,Cam,2024-10-11,2-5-3,4-5-1,PC,88,10.882816357792032
2,2024-10-04 20:00:00,Match 8 in round I of World Cup,Espa̱a,13.972632480610631,14.905690011171252,17.638399846552648,15.899402678582668,16.5,14.0,15.0,16.75,15.0,17.75,16.0,12.75,10.75,Play creatively,27,20.25,0,4.0,3,3,5,2,A,Kazakhstan,14.25,15.25,12.5,13.5,18.75,19.25,15.75,9.25,8.25,(no tactic),0,14.0,30,2.3,3,2,5,3,H,WC1,Kaz,2024-10-04,3-5-2,2-5-3,PC,88,13.972632480610631
3,2024-09-27 20:00:00,Match 7 in round I of World Cup,Espa̱a,12.594633123021037,14.163684210562025,14.421205741663153,13.648641148359768,19.0,17.25,16.75,17.25,13.75,14.0,13.25,12.75,10.5,Play creatively,26,19.5,0,1.6,3,3,5,2,H,Venezuela,11.5,25.0,24.25,23.0,16.75,6.0,7.25,12.25,8.75,Pressing,14,14.75,-100,0.7,0,4,5,1,A,WC1,Ven,2024-09-27,3-5-2,4-5-1,PC,88,12.594633123021037
4,2024-09-20 20:00:00,Match 6 in round I of World Cup,Espa̱a,13.504687868677843,13.482785124806078,13.991569469138382,13.228392952639926,14.75,18.75,18.0,18.5,13.25,13.75,13.0,13.0,11.0,Play creatively,25,19.5,-100,1.9,1,3,5,2,A,Slovensko,11.5,21.75,23.5,22.0,14.0,12.5,16.5,13.5,10.25,Counter-attacks,19,15.0,-100,1.6,2,4,4,2,H,WC1,Slo,2024-09-20,3-5-2,4-4-2,PC,88,13.504687868677843
5,2024-09-13 20:00:00,Match 5 in round I of World Cup,Espa̱a,12.289345412938248,14.994973757084942,16.011582147395785,14.740821659507231,16.0,16.25,15.75,16.0,14.75,15.75,14.5,13.0,11.0,Play creatively,25,19.75,0,2.4,1,3,5,2,H,Rom̢nia,9.75,22.25,23.75,21.5,14.25,11.25,15.5,13.25,10.5,Counter-attacks,22,16.0,-100,1.5,1,4,4,2,A,WC1,Rom,2024-09-13,3-5-2,4-4-2,PC,88,12.289345412938248
6,2024-09-06 20:00:00,Match 4 in round I of World Cup,Espa̱a,10.962540234222457,13.19914477735861,13.19914477735861,11.422336826560334,11.75,21.75,25.0,21.75,13.0,13.0,11.25,13.5,10.75,Counter-attacks,19,18.5,-100,1.5,0,4,4,2,A,Cameroon,13.75,19.0,18.25,18.25,11.5,15.0,14.75,10.5,8.75,(no tactic),0,13.0,-30,1.1,0,3,5,2,H,WC1,Cam,2024-09-06,4-4-2,3-5-2,CA,88,10.962540234222457
7,2024-08-30 20:00:00,Match 3 in round I of World Cup,Espa̱a,11.882169433752807,13.658143178753779,14.446112977528037,13.658143178753779,14.75,16.5,16.25,16.75,13.0,13.75,13.0,13.25,11.0,Play creatively,26,19.0,0,3.7,4,3,5,2,H,Kazakhstan,11.5,16.75,16.0,17.5,13.75,13.25,14.5,10.5,8.75,(no tactic),0,13.75,0,1.5,1,3,5,2,A,WC1,Kaz,2024-08-30,3-5-2,3-5-2,PC,88,11.882169433752807
8,2024-08-26 20:00:00,Match 2 in round I of World Cup,Espa̱a,10.310103517217208,13.431365271933936,12.914774299936477,11.106705897945371,9.75,22.25,24.0,20.5,13.0,12.5,10.75,13.0,10.5,Counter-attacks,18,19.0,-100,1.0,0,4,4,2,A,Venezuela,14.25,18.75,20.0,19.25,11.75,12.0,11.5,12.25,8.75,(no tactic),0,12.5,-30,1.2,1,3,5,2,H,WC1,Ven,2024-08-26,4-4-2,3-5-2,CA,88,10.310103517217208
9,2024-08-23 20:00:00,Match 1 in round I of World Cup,Espa̱a,11.240888736685323,14.284318769740064,15.049550132404711,14.53939589062828,11.5,15.75,15.5,15.75,14.0,14.75,14.25,13.0,10.5,Play creatively,27,18.75,0,1.8,2,3,5,2,H,Slovensko,8.0,23.25,25.25,23.75,12.75,10.5,14.25,13.5,10.0,Counter-attacks,19,15.0,-100,2.0,3,4,4,2,A,WC1,Slo,2024-08-23,3-5-2,4-4-2,PC,88,11.240888736685323
