,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C
0,2025-08-15 20:00:00+02:00,90,Friendly,,,,,Lietuva,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,Normal,0,0,3-5-2,3,5,2,5,10,18,UQEUEHQHpUQPEQ,00000020000None,H,India,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,Normal,0,0,0-4-2,0,4,2,0,0,8,ZEEEEEQQHUEQEH,,A,Ind,2025-08-15,N,F,,att
1,2025-08-08 20:00:00+02:00,90,Friendly,,,,,Lietuva,10.25,15.75,16.5,15.75,15.5,14.5,13.5,8.0,11.75,Normal,0,0,3-5-2,3,5,2,1,10,17,UQEUEHQHpUQPEQ,00000020000None,H,United Arab Emirates,9.75,13.25,13.25,13.75,12.0,14.0,13.25,7.75,9.5,Normal,0,0,3-5-2,3,5,2,2,0,9,ZHEQEQHUTHQWEH,,A,Uni,2025-08-08,N,F,,AoA
2,2025-08-01 20:00:00+02:00,90,Friendly,,,,,Lietuva,9.25,16.25,16.5,15.5,16.0,14.25,13.75,8.0,11.75,Normal,0,0,3-5-2,3,5,2,1,10,17,UQEUEHQHpQQPEQ,00000020000None,H,Honduras,10.0,18.5,17.5,17.25,10.25,11.75,10.5,8.5,11.25,Normal,0,0,3-5-2,3,5,2,4,0,15,UUEUEUUQQPQWEQ,,A,Hon,2025-08-01,N,F,,AoA
3,2025-07-25 20:00:00+02:00,90,World Cup,12.3794,14.8663,17.3034,15.5974,Lietuva,17.5,15.5,16.5,16.5,15.25,17.75,16.0,10.25,12.5,Normal,0,0,3-5-2,3,5,2,2,5,19,ZHEUEHUHHHQEUP,00003000300None,N,Nederland,16.25,20.5,21.5,20.0,13.0,13.25,13.0,10.5,13.25,Normal,0,0,3-5-2,3,5,2,5,-3,16,UZEUEHUUpQUWQE,,A,Ned,2025-07-25,N,WC4,12.379397667391752,AoA
4,2025-07-21 20:00:00+02:00,90,World Cup,12.7278,15.0578,15.7864,15.0578,Lietuva,16.75,17.25,16.25,16.5,15.5,16.25,15.5,10.0,12.75,Normal,0,0,3-5-2,3,5,2,2,5,19,ZHEUEHQHUHQEQU,,N,Polska,10.5,23.25,26.25,22.75,12.5,12.0,12.5,8.0,11.5,Counter-attacks,21,0,4-4-2,4,4,2,2,-10,14,ZUPEHTUUEHQQEH,00000300300None,H,Pol,2025-07-21,N,WC4,12.727831814031608,AoA
5,2025-07-18 20:00:00+02:00,90,World Cup,8.8715,17.1928,7.2646,17.6771,Lietuva,9.0,23.0,24.25,22.75,17.75,7.5,18.25,9.0,12.25,Counter-attacks,20,0,4-4-2,4,4,2,0,-10,19,ZHUEUHQQEQUUEQ,,N,Chile,11.0,21.5,20.75,22.25,10.0,11.0,22.0,10.5,13.25,Counter-attacks,17,0,4-4-2,4,4,2,0,-5,17,ZTUEHUHEHHQEHH,02040304304None,H,Chi,2025-07-18,CA,WC4,8.871460058809731,442ca
6,2025-07-11 20:00:00+02:00,90,World Cup,10.0377,13.364,12.6727,13.5944,Lietuva,11.25,22.5,25.25,23.25,14.5,13.75,14.75,9.5,12.75,Counter-attacks,18,0,4-4-2,4,4,2,1,-10,20,ZHUEUHQHEHUUQE,,N,Uruguay,10.0,22.25,25.25,22.5,15.25,9.5,15.25,7.25,11.25,Counter-attacks,19,0,4-4-2,4,4,2,2,-7,17,ZUHEUQUQEHQEPU,00000042004,H,Uru,2025-07-11,CA,WC3,10.037679045568693,442ca
7,2025-07-07 20:00:00+02:00,90,World Cup,12.2967,12.7044,12.9441,12.7044,Lietuva,13.25,19.0,18.5,19.25,13.25,13.5,13.25,9.25,12.5,Normal,0,0,3-5-2,3,5,2,3,4,19,ZHEUEHQHHPUUQE,00103000300None,N,Hayastan,8.75,21.0,23.5,21.25,12.0,12.25,12.5,8.25,11.5,Counter-attacks,18,0,4-4-2,4,4,2,0,-10,16,ZQQEPHHQEHQWHE,,A,Hay,2025-07-07,N,WC3,12.296743497068327,AoA
8,2025-07-04 20:00:00+02:00,90,World Cup,12.3041,14.8131,15.056,14.8131,Lietuva,12.0,17.0,16.5,17.25,15.25,15.5,15.25,9.5,12.5,Normal,0,0,3-5-2,3,5,2,2,4,18,ZHEUEHQHHHUUPE,00103000300None,N,M̩xico,13.5,16.0,15.75,17.0,14.0,16.75,14.5,10.25,12.5,Normal,0,0,3-5-2,3,5,2,1,0,17,ZUEHEUHHQHQEWU,,A,M̩x,2025-07-04,N,WC3,12.304121370160653,AoA
9,2025-06-27 20:00:00+02:00,90,World Cup,9.3653,13.3163,11.8895,13.0785,Lietuva,10.75,23.0,25.0,22.5,14.0,12.5,13.75,9.0,12.25,Counter-attacks,20,0,4-4-2,4,4,2,3,-10,19,ZHUEUQQHEHUQQE,,A,Uruguay,14.75,17.75,17.75,18.0,14.25,15.25,15.75,8.25,11.25,Normal,0,0,3-5-2,3,5,2,1,1,15,ZPEUEUQHUHUPQE,02000000000None,H,Uru,2025-06-27,CA,WC2,9.36527254405827,442ca
10,2025-06-20 20:00:00+02:00,90,World Cup,9.5405,13.8096,12.6588,13.8096,Lietuva,11.25,22.5,24.75,22.5,15.0,13.75,15.0,9.5,12.75,Counter-attacks,20,0,4-4-2,4,4,2,1,-10,19,ZHUEUHQHEHUUQE,,A,Andorra,15.0,19.0,19.0,19.25,10.75,11.75,10.0,8.75,11.0,Play creatively,24,0,3-5-2,3,5,2,2,-10,15,UHEHEUUUUQQQQE,02023000300None,H,And,2025-06-20,CA,WC2,9.540521726980542,442ca
11,2025-06-16 20:00:00+02:00,90,World Cup,11.4229,14.6062,14.8457,14.6062,Lietuva,15.75,17.5,17.75,17.5,15.25,15.5,15.25,9.75,12.75,Normal,0,0,3-5-2,3,5,2,3,10,18,ZHEUEHQHHHUQUE,00003000300None,H,Ghana,13.0,16.75,15.0,17.0,16.25,10.5,16.25,8.5,11.0,Normal,0,0,3-5-2,3,5,2,0,1,15,ZUESETQQUHQUEP,,A,Gha,2025-06-16,N,WC2,11.422904747473492,AoA
12,2025-06-13 20:00:00+02:00,90,World Cup,9.8805,13.3489,12.157,13.5873,Lietuva,10.75,22.25,24.5,22.25,14.0,12.75,14.25,9.25,12.75,Counter-attacks,19,0,4-4-2,4,4,2,1,-10,17,ZHUEUHQHEHUUQE,,A,Ghana,12.0,19.25,18.25,19.25,17.5,8.0,14.25,8.25,11.75,Normal,0,0,3-5-2,3,5,2,1,0,15,ZUEQETQUUHQUEp,00000404044None,H,Gha,2025-06-13,CA,WC2,9.880491642254524,442ca
13,2025-06-09 20:00:00+02:00,90,World Cup,11.4474,15.6659,15.9069,15.6659,Lietuva,13.75,16.75,17.0,16.5,16.25,16.5,16.25,9.5,12.5,Normal,0,0,3-5-2,3,5,2,2,10,19,ZHEUEHQHHHUPQE,00003000300None,H,Andorra,12.5,20.0,20.0,20.5,12.25,12.75,12.0,10.0,12.5,Normal,0,0,3-5-2,3,5,2,1,-10,20,UUEHEUQpUUUWQE,,A,And,2025-06-09,N,WC2,11.44737003155881,AoA
14,2025-06-06 20:00:00+02:00,90,World Cup,11.0376,16.3639,15.1427,15.8754,Lietuva,12.0,16.5,15.5,16.0,16.75,15.5,16.25,9.5,12.5,Normal,0,0,3-5-2,3,5,2,2,10,19,ZHEUEQQHHHQPEQ,00100000000None,H,Uruguay,11.25,20.0,19.25,19.25,12.5,11.75,12.5,7.25,10.75,Normal,0,0,3-5-2,3,5,2,1,-8,14,ZUEUEQUHUHHTWE,,A,Uru,2025-06-06,N,WC2,11.037581522885024,AoA
15,2025-05-30 20:00:00+02:00,90,World Cup,11.2074,14.224,14.224,13.9946,Lietuva,14.75,17.5,18.25,18.25,15.5,15.5,15.25,10.0,12.75,Normal,0,0,3-5-2,3,5,2,1,0,19,ZHEUEQQHpHQPEQ,00103020300None,H,Schweiz,12.75,21.0,21.75,20.25,9.75,8.25,10.25,8.75,12.75,Pressing,12,0,4-5-1,4,5,1,0,-10,14,ZUQEQUQUHUHEWE,,A,Sch,2025-05-30,N,WC1,11.207372987772253,bal
16,2025-05-23 20:00:00+02:00,90,World Cup,12.0708,12.9869,13.4507,12.755,Lietuva,13.25,17.75,18.5,18.25,14.0,14.5,13.75,9.75,12.75,Normal,0,0,3-5-2,3,5,2,3,0,18,UHEUEQQHpHQWEQ,,A,Comoros,8.25,21.75,22.5,19.75,15.5,7.5,16.0,7.5,11.25,Counter-attacks,18,0,4-4-2,4,4,2,1,-10,13,ZUQEHQQUEUQUEH,02002044044None,H,Com,2025-05-23,N,WC1,12.070803307702189,bal
17,2025-05-16 20:00:00+02:00,90,World Cup,9.1197,15.2329,15.4709,15.2329,Lietuva,12.0,17.25,17.25,18.0,16.0,16.25,16.0,10.25,12.0,Normal,0,0,3-4-3,3,4,3,4,10,18,UHEUEQQHEHUPQQ,00000000000None,H,Nicaragua,6.5,22.5,24.5,21.5,16.25,5.5,5.25,7.75,11.75,Counter-attacks,21,0,5-4-1,5,4,1,1,-10,13,ZSQHPQUTHEQQEE,,A,Nic,2025-05-16,N,WC1,9.119735072908645,343
18,2025-05-09 20:00:00+02:00,90,World Cup,9.1173,13.2344,11.8653,13.4626,Lietuva,10.0,22.5,24.5,21.75,14.5,13.0,14.75,9.25,12.5,Counter-attacks,19,0,4-4-2,4,4,2,0,-10,18,ZHUEUQQHEHUEQQ,,A,Hong Kong,13.75,20.75,21.75,21.0,4.75,7.75,8.0,12.0,14.5,Long shots,15,0,4-5-1,4,5,1,1,-10,14,UTPEHPHQTPZEPE,02012300030None,H,Hon,2025-05-09,CA,WC1,9.11727667565868,442ca
