,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C
54,2024-10-04 20:00:00+02:00,88,World Cup,10.5352,14.6242,13.893,14.868,Lietuva,13.5,18.0,17.75,18.75,15.0,14.25,15.25,8.75,11.5,Normal,0,0,3-5-2,3,5,2,4,0,15,UHEUEHUHUHQQEQ,00000000000None,H,Bolivia,10.75,21.75,23.25,21.75,13.25,15.75,14.0,10.25,12.25,Counter-attacks,18,0,4-4-2,4,4,2,3,-10,17,ZHHEHQUEHTQEQU,,A,Bol,2024-10-04,N,WC1,10.535152906246594,bal
55,2024-09-27 20:00:00+02:00,88,World Cup,10.2217,12.9285,11.934,12.9285,Lietuva,10.5,22.25,24.5,22.5,13.0,12.0,13.0,8.75,12.0,Counter-attacks,17,0,4-4-2,4,4,2,3,-10,15,ZHUEPHUHEHQQEW,,A,Botswana,13.75,16.75,16.75,16.25,12.0,12.5,11.5,7.5,10.25,Normal,0,0,3-5-2,3,5,2,1,0,13,ZQEHEUQHUQQPEQ,00003000300None,H,Bot,2024-09-27,CA,WC1,10.221656817754576,442ca
56,2024-09-20 20:00:00+02:00,88,World Cup,11.1976,18.6114,19.1012,13.9586,Lietuva,17.5,14.25,14.5,12.5,19.0,19.5,14.25,9.5,11.75,Normal,0,0,2-5-3,2,5,3,2,10,15,ZHEEUEQHHHQQPQ,00000003000None,H,Hayastan,10.25,22.5,23.75,21.25,12.75,12.5,13.25,9.5,12.0,Counter-attacks,19,0,4-4-2,4,4,2,3,-10,16,ZQTEQUUQEHQHEU,,A,Hay,2024-09-20,N,WC1,11.197558403887845,AoA
57,2024-09-13 20:00:00+02:00,88,World Cup,9.191,18.5035,7.354,18.2663,Lietuva,10.0,21.25,22.0,22.0,19.5,7.75,19.25,8.25,11.75,Counter-attacks,18,0,4-4-2,4,4,2,0,-10,15,ZHPEUHQUEQQQEQ,,A,Hellas,11.25,22.5,25.0,22.25,13.25,11.5,13.0,6.75,10.75,Counter-attacks,18,0,4-4-2,4,4,2,1,-10,13,ZTPEPUQUEHUHUE,00000000000None,H,Hel,2024-09-13,CA,WC1,9.190967596098387,442ca
58,2024-09-06 20:00:00+02:00,88,World Cup,10.8736,18.9577,19.8939,14.2768,Lietuva,14.0,14.5,14.25,11.0,20.25,21.25,15.25,9.5,11.0,Normal,0,0,2-5-3,2,5,3,2,10,14,ZHEEUEUHHHQQQP,00000003000None,H,Nicaragua,5.75,24.75,23.25,21.5,17.5,15.75,7.0,9.0,11.5,Counter-attacks,24,0,5-2-3,5,2,3,2,-10,12,ZZHTPHZTEEEQWU,,A,Nic,2024-09-06,N,WC1,10.873601830402734,AoA
59,2024-08-30 20:00:00+02:00,88,World Cup,9.3985,15.5424,8.369,15.5424,Lietuva,9.75,22.0,24.5,22.0,16.25,8.75,16.25,8.0,11.75,Counter-attacks,19,0,4-4-2,4,4,2,2,-10,15,ZHUEQHQUEQQQEQ,,A,Bolivia,12.5,17.75,15.0,17.75,19.0,10.0,18.5,9.75,12.0,Attack in wings,23,0,3-5-2,3,5,2,0,0,15,ZHEHEHUQQQUQEU,00003404344None,H,Bol,2024-08-30,CA,WC1,9.39854884683302,442ca
60,2024-08-26 20:00:00+02:00,88,World Cup,11.0037,15.9152,14.6719,15.9152,Lietuva,12.5,16.0,15.0,16.0,16.0,14.75,16.0,8.75,11.75,Normal,0,0,3-5-2,3,5,2,3,10,13,ZHEUEUUHHHQQEP,00100000000None,H,Botswana,14.25,13.75,15.0,16.25,13.5,15.0,14.0,8.0,10.5,Normal,0,0,3-5-2,3,5,2,0,0,12,ZUEHEUZHUQZWEQ,,A,Bot,2024-08-26,N,WC1,11.003744040986946,AoA
61,2024-08-23 20:00:00+02:00,88,World Cup,9.6496,13.2054,11.9827,13.4499,Lietuva,8.25,22.0,23.75,21.5,13.5,12.25,13.75,8.5,11.75,Counter-attacks,20,0,4-4-2,4,4,2,1,-10,15,ZHQEUUQHEHQQEQ,,A,Hayastan,11.25,14.5,14.25,15.5,13.5,16.25,17.5,9.75,11.5,Normal,0,0,3-5-2,3,5,2,2,4,17,ZUETEQQQHQUUQE,00103014300None,H,Hay,2024-08-23,CA,WC1,9.649598063412684,442ca
62,2024-08-16 20:00:00+02:00,88,Friendly,,,,,Lietuva,10.5,17.0,16.75,17.5,16.0,13.5,15.25,8.0,11.25,Normal,0,0,3-5-2,3,5,2,0,0,12,UQEUEHQHHHQPTE,00000000002None,H,Hayastan,7.0,21.75,25.25,21.0,10.25,9.0,10.75,7.5,11.25,Counter-attacks,18,0,5-4-1,5,4,1,1,-10,11,ZHPQTTQHETUEUE,,A,Hay,2024-08-16,N,F,,bal
63,2024-08-09 20:00:00+02:00,88,Friendly,,,,,Lietuva,9.25,18.25,18.0,18.75,15.0,12.5,14.0,7.75,11.0,Normal,0,0,3-5-2,3,5,2,4,0,12,UQEUEHQHHHQWTE,,A,Costa Rica,4.75,15.75,19.75,16.5,10.75,8.5,10.75,7.25,10.75,Attack in the middle,22,0,4-5-1,4,5,1,1,0,9,ZHHEUUUUUUUEHE,00000000000None,H,Cos,2024-08-09,N,F,,bal
