,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Midfielder_number,Forward_number,Mid_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Midfielder_number_,Forward_number_,Mid_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
12,2024-11-04 20:00:00,Match 4 in round II of World Cup,Al Urdun,13.925481520512635,12.170155163568506,13.75756670664266,12.170155163568506,13.75,16.0,16.75,17.5,11.5,13.0,11.5,11.0,8.0,(no tactic),0,16.0,0,0.6,0,3,,2,5.0,H,Chile,8.75,25.5,25.5,22.75,15.5,5.0,17.25,12.75,9.75,Counter-attacks,23,18.5,-100,1.4,2,5,,1,4.0,A,WC2,Chi,2024-11-04,3-5.0-2,5-4.0-1,N,88,13.925481520512635
13,2024-11-01 20:00:00,Match 3 in round II of World Cup,Al Urdun,8.38441745078601,5.279394325153965,9.050390271692512,19.60917892200044,6.25,26.25,25.75,25.75,5.25,9.0,19.5,12.5,8.75,Counter-attacks,21,14.5,-100,0.9,0,5,,2,3.0,A,Chile,12.25,18.0,19.5,20.0,15.0,10.0,21.25,12.5,10.5,(no tactic),0,18.75,50,2.3,3,3,,3,4.0,H,WC2,Chi,2024-11-01,5-3.0-2,3-4.0-3,CA,88,8.38441745078601
14,2024-10-28 20:00:00,Match 2 in round II of World Cup,Al Urdun,11.112465437367447,19.885260693244717,11.830471551677237,6.544516177523578,11.75,16.0,16.75,16.25,19.75,11.75,6.5,11.0,8.5,(no tactic),0,17.5,10,1.6,0,3,,2,5.0,H,Ukraina,6.25,16.75,20.0,23.75,11.5,5.5,16.0,10.75,6.75,Counter-attacks,21,11.0,-40,1.1,0,5,,1,4.0,A,WC2,Ukr,2024-10-28,3-5.0-2,5-4.0-1,N,88,11.112465437367447
15,2024-10-25 20:00:00,Match 1 in round II of World Cup,Al Urdun,7.559489486372844,20.15917600909318,8.819639503978266,5.039794002273295,5.25,26.0,26.0,26.0,20.0,8.75,5.0,12.25,8.5,Counter-attacks,23,12.5,-100,1.3,1,5,,2,3.0,A,Island,10.75,14.0,11.5,14.0,18.0,20.0,18.0,10.5,9.25,(no tactic),0,13.75,100,2.4,1,2,,3,5.0,H,WC2,Isl,2024-10-25,5-3.0-2,2-5.0-3,CA,88,7.559489486372844
16,2024-10-18 20:00:00,Match 10 in round I of World Cup,Al Urdun,14.881727407842495,18.952352628594497,16.8168762760768,19.486221716723918,15.0,13.5,10.5,12.0,17.75,15.75,18.25,11.0,8.75,(no tactic),0,17.25,100,2.6,4,2,,3,5.0,H,Italia,17.75,13.5,14.5,15.75,14.25,17.25,15.25,11.0,9.0,Play creatively,24,15.25,0,4.5,3,3,,2,5.0,A,WC1,Ita,2024-10-18,2-5.0-3,3-5.0-2,N,88,14.881727407842495
17,2024-10-11 20:00:00,Match 9 in round I of World Cup,Al Urdun,8.029238317212817,5.0413894813464974,8.49076123174147,18.30820390594254,6.75,22.5,26.0,27.0,4.75,8.0,17.25,11.75,7.0,Counter-attacks,19,16.5,-100,0.5,0,5,,2,3.0,A,México,9.5,23.75,25.75,24.75,12.25,10.75,12.0,12.0,8.25,Counter-attacks,18,14.25,-100,1.0,2,4,,2,4.0,H,WC1,Méx,2024-10-11,5-3.0-2,4-4.0-2,CA,88,8.029238317212817
18,2024-10-04 20:00:00,Match 8 in round I of World Cup,Al Urdun,15.877102175020774,13.64260333341732,16.003823141124165,13.64260333341732,16.0,16.25,14.25,15.5,13.0,15.25,13.0,11.25,8.5,(no tactic),0,17.75,0,1.2,0,3,,2,5.0,H,Danmark,10.5,22.25,25.25,23.5,13.0,12.0,14.0,12.25,9.0,Counter-attacks,19,16.5,-100,1.9,2,4,,2,4.0,A,WC1,Dan,2024-10-04,3-5.0-2,4-4.0-2,N,88,15.877102175020774
19,2024-09-27 20:00:00,Match 7 in round I of World Cup,Al Urdun,8.035616239526256,18.62952644129729,9.314763220648645,6.293758932870706,6.75,26.0,24.25,25.75,18.5,9.25,6.25,12.0,7.75,Counter-attacks,21,15.5,-100,0.7,0,5,,2,3.0,A,Bénin,16.0,19.75,18.25,19.75,13.0,12.75,12.25,11.75,9.0,(no tactic),0,15.0,-10,1.6,3,3,,2,5.0,H,WC1,Bén,2024-09-27,5-3.0-2,3-5.0-2,CA,88,8.035616239526256
20,2024-09-20 20:00:00,Match 6 in round I of World Cup,Al Urdun,14.928154696797394,14.046879370622612,18.729172494163482,14.827261557879424,15.0,14.5,14.25,14.25,13.5,18.0,14.25,10.75,9.0,(no tactic),0,16.25,0,1.7,2,2,,3,5.0,H,Cabo Verde,15.25,17.0,19.75,17.75,11.0,11.75,9.0,12.75,9.75,(no tactic),0,21.25,-100,1.5,0,3,,2,5.0,A,WC1,Cab,2024-09-20,2-5.0-3,3-5.0-2,N,88,14.928154696797394
21,2024-09-13 20:00:00,Match 5 in round I of World Cup,Al Urdun,6.300439114985382,19.77852751484422,8.327801058881777,7.807313492701667,5.25,25.5,24.25,25.75,19.0,8.0,7.5,11.75,7.0,Counter-attacks,22,15.0,-100,1.3,1,5,,2,3.0,A,Italia,15.25,12.25,11.75,9.25,17.25,20.5,13.75,10.75,9.0,Play creatively,22,12.5,100,2.9,2,2,,3,5.0,H,WC1,Ita,2024-09-13,5-3.0-2,2-5.0-3,CA,88,6.300439114985382
