,Match Datetime,Match Type,Team name,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,scaled_midfield
0,2024-01-26 20:00:00,Match 4 in round I of World Cup,Kyrgyz Republic,12.397583721008784,15.5,5.75,11.75,12.75,8.25,17.25,15.0,10.25,9.25,Attack in the Middle,21,15.0,100,3.0,2,5,3,H,Guatemala,14.5,17.5,16.75,17.75,12.0,14.25,11.5,11.0,8.75,(no tactic),0,11.75,0,3.0,2,5,3,A,WC1,Gua,2024-01-26,2-5-3,2-5-3,AIM,12.397583721008784
1,2024-01-19 20:00:00,Match 3 in round I of World Cup,Kyrgyz Republic,6.433684212128507,5.5,25.5,27.25,25.0,16.5,4.5,4.0,11.75,8.0,Counter-attacks,21,14.25,-100,0.7,5,4,1,A,Suomi,13.0,14.5,11.75,14.5,20.25,22.5,20.5,12.0,10.5,(no tactic),0,12.5,100,2.6,3,4,3,H,WC1,Suo,2024-01-19,5-4-1,3-4-3,CA,6.433684212128507
2,2024-01-15 20:00:00,Match 2 in round I of World Cup,Kyrgyz Republic,12.07676017868332,14.5,8.75,12.0,10.75,7.25,18.5,14.75,10.5,10.0,Attack in the Middle,21,15.0,100,2.0,2,5,3,H,Indonesia,8.0,24.0,23.75,20.25,16.75,11.25,7.25,11.5,7.75,Counter-attacks,22,11.25,-100,1.9,5,3,2,A,WC1,Ind,2024-01-15,2-5-3,5-3-2,AIM,12.07676017868332
3,2024-01-12 20:00:00,Match 1 in round I of World Cup,Kyrgyz Republic,12.914003496921804,10.25,17.5,18.75,19.0,10.75,11.0,8.5,10.5,7.75,(no tactic),0,15.25,-100,0.7,3,5,2,A,Angola,10.0,18.0,19.0,19.0,14.0,14.25,14.75,12.0,9.25,(no tactic),0,16.25,40,1.8,3,4,3,H,WC1,Ang,2024-01-12,3-5-2,3-4-3,N,12.914003496921804
4,2024-01-05 20:00:00,Friendly match,Kyrgyz Republic,,8.0,20.0,23.0,20.0,3.0,5.5,4.25,13.25,12.25,Long shots,18,12.0,-100,2.5,4,5,1,H,Chinese Taipei,5.75,15.25,14.0,11.25,14.0,2.75,4.75,8.5,5.75,Play creatively,17,7.0,-100,0.4,5,4,1,A,F,Chi,2024-01-05,4-5-1,5-4-1,LS,
5,2023-12-29 20:00:00,Friendly match,Kyrgyz Republic,,7.5,18.25,19.25,18.5,5.25,10.0,6.5,12.75,12.25,Long shots,18,10.5,-100,1.5,3,5,2,A,Suriyah,8.0,16.0,15.25,15.5,12.0,10.5,12.25,10.0,8.0,(no tactic),0,7.5,-50,0.8,3,5,2,H,F,Sur,2023-12-29,3-5-2,3-5-2,LS,
6,2023-12-22 12:00:00,Round 10 in Asia and Oceania Cup,Kyrgyz Republic,13.296331685989273,16.25,12.25,12.25,9.5,16.0,18.0,12.25,10.25,8.25,(no tactic),0,14.75,100,1.6,2,5,3,A,Mongol Uls,5.75,22.25,26.25,22.75,12.5,6.25,13.5,11.25,8.0,Counter-attacks,23,11.0,-100,1.2,5,3,2,H,CC,Mon,2023-12-22,2-5-3,5-3-2,N,13.296331685989273
7,2023-12-15 12:00:00,Round 9 in Asia and Oceania Cup,Kyrgyz Republic,12.509531346027988,17.25,16.5,17.25,16.5,10.75,12.25,13.0,11.5,8.75,(no tactic),0,15.25,-20,0.8,3,5,2,H,Bahrain,8.5,24.0,25.75,23.25,6.75,10.25,14.25,11.0,7.25,Counter-attacks,21,14.75,-100,0.7,5,3,2,A,CC,Bah,2023-12-15,3-5-2,5-3-2,N,12.509531346027988
8,2023-12-08 12:00:00,Round 8 in Asia and Oceania Cup,Kyrgyz Republic,12.707325471658143,15.0,18.25,19.0,16.5,11.5,11.25,12.25,12.0,8.75,(no tactic),0,16.0,-10,0.9,3,5,2,H,Hong Kong,6.5,23.5,25.25,23.0,14.25,7.0,14.5,12.75,9.75,Counter-attacks,20,12.25,-100,0.7,5,3,2,A,CC,Hon,2023-12-08,3-5-2,5-3-2,N,12.707325471658143
9,2023-12-01 12:00:00,Round 7 in Asia and Oceania Cup,Kyrgyz Republic,10.042656799570834,9.5,20.0,23.25,20.25,12.25,12.25,12.75,12.25,9.25,Counter-attacks,16,16.0,-100,0.8,4,4,2,A,Prathet Thai,15.5,15.0,14.5,16.5,16.0,16.0,16.25,11.25,9.25,(no tactic),0,11.75,70,2.0,3,5,2,H,CC,Pra,2023-12-01,4-4-2,3-5-2,CA,10.042656799570834
