,Match Datetime,Match Type,Team name,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,scaled_midfield
0,2023-11-13 20:00:00,Round 4 in Europe Cup,San Marino,14.530897246027836,14.5,12.5,13.5,15.0,10.75,12.75,11.75,9.25,7.25,(no tactic),0,11.25,0,1.1,3,5,2,H,Andorra,9.25,19.75,22.0,19.75,14.5,7.75,14.0,11.25,8.5,Counter-attacks,16,11.75,-100,1.4,4,4,2,A,CC,And,2023-11-13,3-5-2,4-4-2,N,14.530897246027836
1,2023-11-10 20:00:00,Round 3 in Europe Cup,San Marino,16.24027645274363,12.5,18.5,20.0,19.25,8.75,7.0,7.0,10.25,7.0,(no tactic),0,10.25,-100,0.8,4,5,1,A,Slovensko,13.75,15.5,13.0,15.5,16.0,18.5,16.0,12.5,10.75,(no tactic),0,15.25,30,2.5,2,5,3,H,CC,Slo,2023-11-10,4-5-1,2-5-3,N,16.24027645274363
2,2023-11-06 20:00:00,Round 2 in Europe Cup,San Marino,15.83935833338669,11.25,15.75,15.5,16.5,10.5,11.5,10.0,9.25,7.0,(no tactic),0,11.0,-100,1.2,3,5,2,A,Belarus,11.5,16.0,14.75,16.75,14.5,18.25,15.0,11.5,9.25,(no tactic),0,11.5,50,2.8,3,5,2,H,CC,Bel,2023-11-06,3-5-2,3-5-2,N,15.83935833338669
3,2023-11-03 20:00:00,Round 1 in Europe Cup,San Marino,14.50210418782577,11.25,15.75,15.0,16.0,11.25,11.75,10.25,9.5,7.0,(no tactic),0,11.25,-50,0.9,3,5,2,H,Rossiya,6.0,23.75,21.25,23.75,19.0,9.0,18.75,11.25,7.5,Counter-attacks,24,15.0,0,1.8,5,3,2,A,CC,Ros,2023-11-03,3-5-2,5-3-2,N,14.50210418782577
4,2023-10-27 20:00:00,Friendly match,San Marino,,6.75,19.5,20.75,18.5,9.5,9.0,9.25,8.75,5.25,Counter-attacks,15,8.0,-100,3.6,4,4,2,H,Barbados,2.75,7.75,13.25,11.25,4.0,5.75,7.25,10.75,7.0,Play creatively,18,8.75,0,0.1,4,3,3,A,F,Bar,2023-10-27,4-4-2,4-3-3,CA,
5,2023-10-20 20:00:00,Friendly match,San Marino,,10.25,13.5,13.0,14.25,10.0,10.0,10.0,8.25,5.25,Play creatively,18,7.75,-50,0.9,3,5,2,H,Botswana,8.0,19.75,22.25,19.75,10.5,6.0,5.5,9.75,6.25,Pressing,10,7.25,-100,0.6,4,5,1,A,F,Bot,2023-10-20,3-5-2,4-5-1,PC,
6,2023-10-13 20:00:00,Friendly match,San Marino,,9.25,13.25,14.25,11.5,12.5,13.25,9.5,9.0,7.25,(no tactic),0,8.0,0,5.7,2,5,3,H,Chinese Taipei,5.75,5.0,10.25,10.25,7.75,10.0,9.25,6.25,7.0,Counter-attacks,10,7.5,-100,0.4,3,4,3,A,F,Chi,2023-10-13,2-5-3,3-4-3,N,
7,2023-10-06 20:00:00,Friendly match,San Marino,,7.5,16.25,14.75,15.25,8.5,8.75,8.75,8.75,6.5,Play creatively,16,7.25,-100,0.9,3,5,2,A,Italia,10.0,21.0,20.0,18.0,10.0,8.25,9.5,11.0,7.5,Play creatively,24,10.75,-100,2.9,5,3,2,H,F,Ita,2023-10-06,3-5-2,5-3-2,PC,
8,2023-09-29 20:00:00,Friendly match,San Marino,,3.5,21.75,17.0,19.75,11.25,8.25,10.75,9.5,6.75,Counter-attacks,13,7.75,-100,0.6,4,4,2,H,Guatemala,6.5,18.75,15.5,16.25,14.75,7.0,14.75,9.25,6.5,Counter-attacks,17,9.75,0,1.6,4,4,2,A,F,Gua,2023-09-29,4-4-2,4-4-2,CA,
9,2023-09-22 20:00:00,Round 17 in Nations Cup,San Marino,13.489070872369464,12.0,13.0,11.75,13.0,11.25,12.0,11.25,8.0,5.5,Play creatively,17,8.5,0,2.3,3,5,2,H,Suriyah,14.5,11.75,13.0,12.75,12.5,18.5,15.75,11.0,10.75,(no tactic),0,11.75,100,4.9,2,5,3,A,CC,Sur,2023-09-22,3-5-2,2-5-3,PC,13.489070872369464
