,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,id,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C,Indiv Order
0,2025-10-17 20:00:00+02:00,92,Europe Cup,13.9985,16.2125,18.2712,12.6097,Ukraina,13.0,13.5,12.75,10.75,15.75,17.75,12.25,10.0,11.5,Play creatively,22,0,2-5-3,2,5,3,2,10,12,ZUEEHEQQHQHTQH,100103000,H,Cyprus,5.5,25.5,27.0,24.25,17.5,5.25,4.5,5.75,11.0,Counter-attacks,22,0,5-4-1,5,4,1,0,-10,13,ZZHHHZUTUEHUEE,400214234,A,38539591,Cyp,2025-10-17,PC,CC,13.998483146846276,AoA,NN--O-NNONMNNN
1,2025-10-10 20:00:00+02:00,92,Europe Cup,15.8188,10.1545,12.2374,11.1959,Ukraina,15.5,18.25,20.5,19.5,9.75,11.75,10.75,9.5,12.5,Normal,0,0,3-5-2,3,5,2,3,-10,12,ZUEHEUHQHHQEWT,3103000300,A,Osterreich,17.0,12.5,10.5,12.5,18.5,20.25,18.25,10.0,11.75,Normal,0,0,2-5-3,2,5,3,2,10,13,ZQEEEUHHUHQPQQ,30103000,H,38539566,Ost,2025-10-10,N,CC,15.818799537526916,AoD,NM-O-NMNNNM-NN
2,2025-10-03 20:00:00+02:00,92,Europe Cup,15.5519,13.0938,14.3775,11.2966,Ukraina,12.25,18.75,19.25,18.75,12.75,14.0,11.0,9.5,12.0,Normal,0,0,3-5-2,3,5,2,1,-10,12,ZUEHEUQHHQHTQE,23000300,A,Schweiz,14.25,17.75,17.5,17.5,13.75,14.75,13.75,8.25,11.5,Play creatively,25,0,3-5-2,3,5,2,2,-3,15,UQEUEUQHUHHEQU,3010000,H,38539541,Sch,2025-10-03,N,CC,15.55186498000158,AoD,NN-N-DMNNNMNN-
3,2025-09-26 20:00:00+02:00,92,Europe Cup,14.6117,15.0874,16.6481,12.226,Ukraina,17.5,14.75,14.5,12.0,14.5,16.0,11.75,9.0,11.5,Play creatively,23,0,2-5-3,2,5,3,2,10,12,ZUEEHEUQHHQHQT,130003000,H,Suomi,15.5,20.25,27.0,20.25,6.75,7.0,4.0,15.0,16.5,Long shots,21,0,4-5-1,4,5,1,1,-10,15,ZQHEHQTHHpTEWE,3131300230,A,38539516,Suo,2025-09-26,PC,CC,14.61173785448196,att,NN--O-MNNNMNNN
4,2025-09-19 20:00:00+02:00,92,Europe Cup,13.3516,13.0321,15.8992,16.6811,Ukraina,13.25,15.75,16.75,16.0,12.5,15.25,16.0,8.75,11.25,Normal,0,0,2-5-3,2,5,3,1,0,12,ZUEEEHUHQHHPHQ,3030003004,H,England,14.0,18.25,18.5,19.0,13.5,13.75,14.0,10.0,12.5,Normal,0,0,3-5-2,3,5,2,1,-4,12,ZUEQEHUHpUHUEW,103020300,A,38539492,Eng,2025-09-19,N,CC,13.351601495678525,bal,NM---NMNNNMNNW
5,2025-09-15 20:00:00+02:00,92,Europe Cup,14.8968,12.6419,13.1799,11.566,Ukraina,15.25,17.5,18.0,16.5,11.75,12.25,10.75,9.0,12.25,Play creatively,21,0,3-5-2,3,5,2,2,5,12,ZUEQEHHQQHQTEW,300,A,Cyprus,14.5,16.5,17.5,17.5,12.0,13.5,13.75,7.0,10.75,Normal,0,0,3-5-2,3,5,2,0,0,15,ZHEPEZUPUZUUEU,0,H,38539469,Cyp,2025-09-15,PC,CC,14.896791372763657,PC,NN-N-NNNNNMN-N
6,2025-09-12 20:00:00+02:00,92,Europe Cup,13.2999,12.5852,15.5947,14.7739,Ukraina,12.75,16.75,19.25,19.25,11.5,14.25,13.5,9.25,12.25,Normal,0,0,3-5-2,3,5,2,3,0,11,ZHEUEUHHQHUTEP,3000000,H,Osterreich,13.75,16.75,17.5,18.5,13.5,14.0,14.25,8.0,11.5,Normal,0,0,3-5-2,3,5,2,2,-4,13,ZQEUEUUUHUHUEQ,103000300,A,38539445,Ost,2025-09-12,N,CC,13.299896457850506,bal,NN-N-NMNNNNN-N
7,2025-09-08 20:00:00+02:00,92,Europe Cup,14.5617,12.7227,15.4885,12.9993,Ukraina,12.75,16.75,16.5,17.5,11.5,14.0,11.75,9.0,11.75,Normal,0,0,3-5-2,3,5,2,0,0,12,ZHEHEUQHQQHTEP,103000300,H,Schweiz,8.0,20.75,21.75,21.25,15.0,15.75,15.0,9.5,12.25,Counter-attacks,18,0,4-3-3,4,3,3,0,-8,16,UUUEUUQEHEQUWU,10000,A,38539422,Sch,2025-09-08,N,CC,14.561722294243566,bal,NN-O-NMNNNMN-N
8,2025-09-05 20:00:00+02:00,92,Europe Cup,12.14,12.4278,12.6867,13.2045,Ukraina,8.0,22.0,24.5,23.75,12.0,12.25,12.75,9.0,12.25,Counter-attacks,18,0,4-4-2,4,4,2,0,-10,12,ZHQEUUHHEHUHET,43000000,A,Suomi,13.0,23.0,30.5,23.25,5.5,6.0,5.25,15.0,16.25,Long shots,23,0,3-5-2,3,5,2,4,-10,13,ZQEHEQTTHHTPEP,3133000300,H,38539397,Suo,2025-09-05,CA,CC,12.139962783588656,442ca,NNN-WMNN-NNN-N
9,2025-08-29 20:00:00+02:00,92,Friendly,,,,,Ukraina,8.75,13.25,12.0,12.75,16.0,11.5,21.0,9.0,12.5,Play creatively,20,0,3-5-2,3,5,2,1,10,11,ZUEHEHTTQZTPEQ,1111414104,H,Cuba,6.25,19.0,18.0,17.25,12.5,11.25,10.0,6.25,9.75,Counter-attacks,17,0,4-3-3,4,3,3,1,-7,11,ZUUUEPUEQEQQQU,2000,A,38567506,Cub,2025-08-29,PC,F,,AoA,NO-O-OOWOWON-W
