,Match Datetime,campaign,Competition,Team name,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,id,scaled midfield,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C,Indiv Order
0,2025-09-08 12:00:00,92,Asia and Oceania Cup,Myanmar,15.9733,18.7187,15.9733,12.25,13.5,12.0,14.5,16.0,18.75,16.0,8.75,10.5,Play creatively,23,0,2-5-3,2,5,3,3,10,11,ZHEEEHQZHHUUQU,31000000.0,H,Malaysia,7.0,23.25,21.5,22.0,12.75,12.75,15.0,8.25,11.5,Counter-attacks,18,0,4-4-2,4,4,2,3,-9,13,ZZUETQQQEUUHEH,2040000000,A,38537401,13.4433,Mal,2025-09-08,PC,CC,13.44331954434069,att,NN---NMONNNNNN
1,2025-09-05 12:00:00,92,Asia and Oceania Cup,Myanmar,10.3806,12.9125,12.1529,10.75,17.5,20.75,18.5,10.25,12.75,12.0,8.5,11.25,Play creatively,21,0,3-5-2,3,5,2,2,-10,12,ZUEUEHQHHHQEQW,3003000300.0,A,Hong Kong,10.75,15.0,15.0,15.75,14.25,16.0,15.75,10.0,11.75,Normal,0,0,3-5-2,3,5,2,1,0,13,ZQEHEPHTPHQQEU,1000,H,38537379,15.6749,Hon,2025-09-05,PC,CC,15.674861281637936,PC,NM-N-NMNNNM-NN
2,2025-08-29 20:00:00,92,Friendly,Myanmar,,,,9.25,15.0,15.0,15.25,14.0,14.25,15.0,8.0,10.5,Normal,0,0,3-5-2,3,5,2,1,10,9,ZHETEZQZHHPWEW,0.0,A,Suomi,9.5,12.5,10.0,12.0,16.25,19.25,16.25,11.5,12.5,Play creatively,21,0,2-5-3,2,5,3,7,10,11,ZHEEEHQQHHQQQQ,1131113000,H,38556239,,Suo,2025-08-29,N,F,,att,NN-N-NNNNNNN-N
3,2025-08-22 20:00:00,92,Friendly,Myanmar,,,,7.5,14.5,14.75,15.25,15.25,11.75,10.75,6.5,9.25,Normal,0,0,3-5-2,3,5,2,4,0,8,ZUEHEZQHHUUUEW,340.0,A,LÃ«tzebuerg,8.0,11.75,9.75,13.25,14.5,15.5,15.0,7.75,10.0,Counter-attacks,8,0,2-5-3,2,5,3,2,6,10,ZTEEEUHQUHQZHP,200101000,H,38523239,,LÃ«t,2025-08-22,N,F,,bal,NN-N-NNNNNMW-N
4,2025-08-15 20:00:00,90,Friendly,Myanmar,,,,8.75,9.0,11.25,13.25,9.75,17.0,16.25,6.75,8.0,Normal,0,0,2-5-3,2,5,3,2,0,9,UEUEEZQUZUUWTH,30110000.0,A,PerÃº,5.0,22.75,20.25,21.5,16.0,6.5,13.75,7.0,10.25,Counter-attacks,20,0,5-3-2,5,3,2,2,-10,10,ZQUUQHQUEEQQEU,404014144,H,38382126,,Per,2025-08-15,N,F,,bal,N-N--NMNOONNNN
5,2025-08-08 20:00:00,90,Friendly,Myanmar,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,Normal,0,0,0-0-0,0,0,0,0,0,0,EEEEEEEEEEEEEE,,A,Osterreich,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,Play creatively,0,0,4-5-1,4,5,1,5,-9,11,ZUUEUUQQQQQEQE,2002300030,H,38151574,,Ost,2025-08-08,N,F,,bal,--------------
6,2025-08-01 20:00:00,90,Friendly,Myanmar,,,,8.0,9.75,12.0,13.75,9.5,16.5,15.5,6.75,8.25,Normal,0,0,2-5-3,2,5,3,3,0,8,ZEUEEZQUZUUWTH,30110000.0,A,Tahiti,5.0,13.75,14.0,14.0,12.25,6.25,4.0,6.5,9.0,Counter-attacks,12,0,4-4-2,4,4,2,0,-10,4,ZTHEQUQHEZQZTE,1402100340,H,37946365,,Tah,2025-08-01,N,F,,bal,N-N--NMNOONNNN
7,2025-07-25 20:00:00,90,Friendly,Myanmar,,,,9.0,11.0,13.5,13.25,11.5,15.0,14.0,7.0,9.0,Normal,0,0,2-5-3,2,5,3,2,0,7,UEHEEQUUZTQWQH,0.0,A,Cameroon,5.75,19.5,21.0,18.25,12.75,9.5,12.25,7.75,9.75,Counter-attacks,15,0,4-3-3,4,3,3,1,-10,11,ZTHEHHQEpEQUHZ,2002020404,H,37919417,,Cam,2025-07-25,N,F,,bal,N-N--NNNNNNNNN
8,2025-07-18 20:00:00,90,Friendly,Myanmar,,,,8.0,11.25,14.0,14.0,11.0,15.25,14.25,7.0,9.0,Normal,0,0,2-5-3,2,5,3,1,0,7,ZEHEEQUUZTUPQH,0.0,H,Israel,10.5,18.25,17.75,19.25,14.25,12.75,16.25,9.25,12.25,Normal,0,0,3-5-2,3,5,2,3,0,15,ZUEUEZUUHHUQEQ,4000,A,37891975,,Isr,2025-07-18,N,F,,bal,N-N--NNNNNNNNN
9,2025-07-11 20:00:00,90,Friendly,Myanmar,,,,7.75,20.0,21.25,19.5,10.5,10.5,11.5,7.0,9.25,Counter-attacks,16,0,4-4-2,4,4,2,0,-10,7,QHHEUQHHEZQWEQ,0.0,A,Kyrgyz Republic,11.25,13.25,19.0,17.75,6.25,15.0,13.5,7.75,9.75,Normal,0,0,3-4-3,3,4,3,4,0,11,UEHPEQEQHQQPQH,100000000,H,37842220,,Kyr,2025-07-11,CA,F,,442ca,NNN-NNNN-NNN-N
