,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
10,2024-11-22 20:00:00,Friendly match,Bahrain,,,,,11.25,14.25,15.75,13.5,9.5,11.25,11.75,8.75,6.25,(no tactic),0,8,50,3.6,5,3,5,2,A,Hayastan,5.75,11,14.5,17.25,9,14,7.75,9.5,9.5,(no tactic),0,11.75,0,0.8,0,5,3,2,H,F,Hay,2024-11-22,3-5-2,5-3-2,N,88,
11,2024-11-15 20:00:00,Friendly match,Bahrain,,,,,9.75,16.25,16.25,17.25,12,12,13,9.5,7.25,(no tactic),0,8,0,2.9,3,3,5,2,H,Saint Vincent and the Grenadines,5,17.75,15,13.5,8.25,8.75,8,9.75,8.75,Counter-attacks,18,10.5,-100,0.6,0,5,2,3,A,F,Sai,2024-11-15,3-5-2,5-2-3,N,88,
12,2024-11-08 20:00:00,Friendly match,Bahrain,,,,,9.75,8,11,7,12,17.25,12.25,8.75,6.5,Attack in the Middle,21,8.5,100,2,4,2,5,3,A,Cabo Verde,9,18.25,19.25,11.75,10.5,13.75,10,10.5,8.25,(no tactic),0,9.75,-50,3.1,4,3,4,3,H,F,Cab,2024-11-08,2-5-3,3-4-3,AIM,88,
13,2024-11-01 20:00:00,Friendly match,Bahrain,,,,,8.5,14.75,14.25,15.5,7.25,16.5,14.75,9.5,7.25,(no tactic),0,9.75,50,1.7,1,3,4,3,H,South Africa,8.5,21.25,18,15.5,13.5,13.75,14.25,10.25,7.25,(no tactic),0,10,0,2.1,3,3,4,3,A,F,Sou,2024-11-01,3-4-3,3-4-3,N,88,
14,2024-10-25 20:00:00,Friendly match,Bahrain,,,,,8.25,17,15.5,17,10.75,12,13,9.5,6.25,(no tactic),0,9.5,0,2.3,2,3,5,2,H,Osterreich,7,8.5,17,21.75,7.5,16.25,18.25,11,9,(no tactic),0,9.25,20,2,0,3,4,3,A,F,Ost,2024-10-25,3-5-2,3-4-3,N,88,
15,2024-10-18 20:00:00,Match 10 in round I of World Cup,Bahrain,10.5787668258985,16.3431544547736,18.3860487616203,15.3217073013503,15,15.25,14.5,16,16,18,15,10.25,8.25,(no tactic),0,13.25,50,1.5,1,3,4,3,H,Island,7,26,26,25.5,17.5,4.75,4.5,12.5,8.25,Counter-attacks,21,14.75,-100,0.7,1,5,4,1,A,WC1,Isl,2024-10-18,3-4-3,5-4-1,N,88,10.5787668258985
16,2024-10-11 20:00:00,Match 9 in round I of World Cup,Bahrain,10.3454548879504,8.25783749185667,6.75641249333728,7.25688749284374,9.25,26,25.5,26,8.25,6.75,7.25,11.75,7,Pressing,16,11.75,-100,0.2,2,4,5,1,A,Latvija,18.25,10.75,13,13.75,14.5,21,18.25,11.75,10.75,(no tactic),0,12.25,100,1.7,4,2,5,3,H,WC1,Lat,2024-10-11,4-5-1,2-5-3,Pr,88,10.3454548879504
17,2024-10-04 20:00:00,Match 8 in round I of World Cup,Bahrain,9.52056028875144,11.2601297627352,11.0099046568967,11.2601297627352,9.75,23.25,23,22,11.25,11,11.25,11.5,8.25,Counter-attacks,18,12.25,-100,0.8,2,4,4,2,H,Al Maghrib,15.5,14.75,16,17,14.25,16,14,12.75,10.25,(no tactic),0,15.75,60,1.4,2,3,5,2,A,WC1,Al ,2024-10-04,4-4-2,3-5-2,CA,88,9.52056028875144
18,2024-09-27 20:00:00,Match 7 in round I of World Cup,Bahrain,11.9741818691822,13.6945005460279,16.4841210276261,13.6945005460279,15,15.5,15,15.5,13.5,16.25,13.5,10.5,8.25,(no tactic),0,11.25,0,2,3,3,4,3,H,Dhivehi Raajje,15.5,16,14.5,16.25,14.5,17,16,11.25,8.75,(no tactic),0,16.25,30,2.9,2,3,5,2,A,WC1,Dhi,2024-09-27,3-4-3,3-5-2,N,88,11.9741818691822
19,2024-09-20 20:00:00,Match 6 in round I of World Cup,Bahrain,10.1047566695104,12.1575274495482,9.3121486847603,13.7095522303416,9,22,21.25,21.75,11.75,9,13.25,11,7.5,Counter-attacks,18,12.25,-90,0.8,2,4,4,2,A,Trinidad & Tobago,16.25,16.5,15.75,16.75,14.25,15.25,13.75,9.75,6.75,(no tactic),0,11.75,0,1.9,1,3,5,2,H,WC1,Tri,2024-09-20,4-4-2,3-5-2,CA,88,10.1047566695104
20,2024-09-13 20:00:00,Match 5 in round I of World Cup,Bahrain,10.0317800007164,11.6286699230422,10.3365954871486,11.3702550358635,8.5,22.5,22.5,22.25,11.25,10,11,10.5,7.5,Counter-attacks,19,12,-100,1.4,2,4,4,2,A,Island,13.25,13,10.25,13,18.75,21,18.5,11,9.25,(no tactic),0,12.5,100,2.9,3,2,5,3,H,WC1,Isl,2024-09-13,4-4-2,2-5-3,CA,88,10.0317800007164
21,2024-09-06 20:00:00,Match 4 in round I of World Cup,Bahrain,11.8845084393893,12.8144949480286,12.8144949480286,13.0814635927792,14.75,16.5,17.25,16.25,12,12,12.25,10,7.5,(no tactic),0,12.5,0,1.4,3,3,5,2,H,Latvija,10.75,19.5,21.5,20.25,15.75,14.75,15.75,12,9.25,Counter-attacks,19,12.5,0,2.4,1,4,4,2,A,WC1,Lat,2024-09-06,3-5-2,4-4-2,N,88,11.8845084393893
22,2024-08-30 20:00:00,Match 3 in round I of World Cup,Bahrain,12.0689655172414,7.80721188480255,6.99956927602988,9.69171130527214,10.5,24,23.75,23.25,7.25,6.5,9,11,7.5,Pressing,13,15,-100,0.2,0,4,5,1,A,Al Maghrib,7,30.25,32.5,29,10.25,4.5,11,13.75,8,Counter-attacks,26,12.75,-100,0.4,1,5,3,2,H,WC1,Al ,2024-08-30,4-5-1,5-3-2,Pr,88,12.0689655172414
23,2024-08-26 20:00:00,Match 2 in round I of World Cup,Bahrain,10.3824340328845,12.1906928114115,11.4125634830235,12.1906928114115,8.25,22,21.75,21.75,11.75,11,11.75,10.5,8,Counter-attacks,18,15.25,-100,1,0,4,4,2,A,Dhivehi Raajje,11.75,18,16.5,17.5,13.75,15,14.25,11.75,9.25,(no tactic),0,14.75,20,1.9,3,3,5,2,H,WC1,Dhi,2024-08-26,4-4-2,3-5-2,CA,88,10.3824340328845
24,2024-08-23 20:00:00,Match 1 in round I of World Cup,Bahrain,12.5054146020401,14.0152497761432,14.2655220935743,12.2633435541253,10.75,17,17.25,16.5,14,14.25,12.25,11,8.75,(no tactic),0,14.75,0,1.1,0,3,5,2,H,Trinidad & Tobago,7.5,20.75,23.25,22,11.5,10.25,10.25,10.25,6.75,Counter-attacks,16,11,-100,0.8,2,4,4,2,A,WC1,Tri,2024-08-23,3-5-2,4-4-2,N,88,12.5054146020401
25,2024-08-16 20:00:00,Wildcard match 2 in World Cup,Bahrain,10.2010352904888,12.8363998152571,11.3552767596505,12.589545972656,9.5,22,22,22,13,11.5,12.75,10.75,8.25,Counter-attacks,18,15,-100,2,2,4,4,2,A,United Arab Emirates,15,8.5,11.25,12.5,16,19,16.5,11,10,(no tactic),0,17.5,100,2.5,2,2,5,3,H,Q,Uni,2024-08-16,4-4-2,2-5-3,CA,88,10.2010352904888
26,2024-08-12 20:00:00,Wildcard match 1 in World Cup,Bahrain,12.3978098717435,13.5147051412809,15.2666113632988,13.5147051412809,12.25,16.25,16.75,17,13.5,15.25,13.5,10.75,8.25,(no tactic),0,11.75,0,1.2,2,3,5,2,H,United Arab Emirates,10.25,21,24,20,11.75,11.5,11,11.75,8,Counter-attacks,17,14,-100,1.1,1,4,4,2,A,Q,Uni,2024-08-12,3-5-2,4-4-2,N,88,12.3978098717435
27,2024-08-09 20:00:00,Friendly match,Bahrain,,,,,8,13,14.25,14,5.75,12.25,10.75,9,6.25,(no tactic),0,7.25,0,0.3,0,4,4,2,H,Moçambique,12.25,17,18.75,15,8,10.5,12,11,8,(no tactic),0,12,20,2,2,4,4,2,A,F,Moç,2024-08-09,4-4-2,4-4-2,N,88,
