,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C,Indiv Order
10,2025-06-27 20:00:00,90,World Cup,10.1671,13.0654,11.2633,12.1644,Schweiz,7.5,24.25,26.75,23.75,14.5,12.5,13.5,9.0,12.5,Counter-attacks,21,0,5-3-2,5,3,2,2,-10,14,ZUUQQUQEHEQHUE,3404311100,A,Cameroon,13.75,15.5,14.25,15.0,14.25,14.75,14.75,8.25,11.5,Normal,0,0,3-5-2,3,5,2,0,10,14,ZUEZEQUUpQQQEU,100021000,H,Cam,2025-06-27,CA,WC2,10.167063289457518,hardca,NMWNWMO-O-ONN-
11,2025-06-20 20:00:00,90,World Cup,20.1612,15.8167,16.2819,13.9559,Schweiz,16.25,18.5,16.75,15.25,17.0,17.5,15.0,8.75,11.5,Normal,0,0,3-5-2,3,5,2,5,1,15,ZUEQEUQHHUQPUE,0,H,Italia,18.5,17.0,16.25,16.25,15.75,17.25,15.75,8.5,11.0,Normal,0,0,3-5-2,3,5,2,1,0,13,ZUEUEUQHHHQQWE,103000300,A,Ita,2025-06-20,N,WC2,20.161175285367168,bal,NN-N-NNNNNNNN-
12,2025-06-16 20:00:00,90,World Cup,21.1316,10.2861,9.3293,10.0469,Schweiz,12.5,22.5,25.5,23.5,10.75,9.75,10.5,8.75,12.25,Counter-attacks,16,0,4-4-2,4,4,2,2,-10,14,ZUQEQUQUEHQUEH,0,A,Bosna i Hercegovina,17.25,11.75,14.25,14.25,12.75,20.25,17.5,9.0,10.25,Normal,0,0,2-5-3,2,5,3,0,5,16,ZEUEEQQHQHQUQH,30000000,H,Bos,2025-06-16,CA,WC2,21.13158813894832,442ca,NNN-NNNN-NNN-N
13,2025-06-13 20:00:00,90,World Cup,18.9962,18.2978,20.4935,18.2978,Schweiz,14.0,14.75,11.75,13.5,18.75,21.0,18.75,9.0,11.0,Normal,0,0,2-5-3,2,5,3,1,10,14,ZUEEEUQHUUQUPH,0,H,Bosna i Hercegovina,12.0,23.0,26.75,23.0,8.75,7.75,8.75,8.25,12.0,Pressing,14,0,4-5-1,4,5,1,0,-10,16,ZQPEUQQHpHQEWE,2002302030,A,Bos,2025-06-13,N,WC2,18.9962442199756,att,NN---NNNNNNNNN
14,2025-06-09 20:00:00,90,World Cup,14.0139,13.3626,12.3908,12.6337,Schweiz,9.5,22.5,22.75,21.75,13.75,12.75,13.0,8.5,11.75,Counter-attacks,18,0,4-4-2,4,4,2,1,-10,13,ZQUEQUQUEHQUEU,3400000000,A,Italia,13.75,17.25,16.75,17.5,14.0,15.25,14.5,8.5,11.25,Normal,0,0,3-5-2,3,5,2,1,0,14,ZUEUEUQHHHQEPP,103000300,H,Ita,2025-06-09,CA,WC2,14.01386772856084,442ca,NMW-NNNN-NNN-N
15,2025-06-06 20:00:00,90,World Cup,14.0799,15.0263,14.7758,14.5254,Schweiz,11.75,18.25,18.25,18.75,15.0,14.75,14.5,8.5,11.5,Normal,0,0,3-5-2,3,5,2,2,0,14,ZQEQEUQUQHQUPE,0,H,Cameroon,8.25,22.25,24.5,22.25,9.5,9.0,10.0,7.75,11.25,Counter-attacks,18,0,4-4-2,4,4,2,0,-10,14,UUUEUZUUEQQQEU,2002300000,A,Cam,2025-06-06,N,WC2,14.079932533794237,bal,NN-N-NNNNNNNN-
16,2025-05-30 20:00:00,90,World Cup,21.3539,9.6349,8.1526,10.129,Schweiz,12.75,21.0,21.75,20.25,9.75,8.25,10.25,8.75,12.75,Pressing,12,0,4-5-1,4,5,1,0,-10,14,ZUQEQUQUHUHEWE,110300030,A,Lietuva,14.75,17.5,18.25,18.25,15.5,15.5,15.25,10.0,12.75,Normal,0,0,3-5-2,3,5,2,1,0,19,ZHEUEQQHpHQPEQ,103020300,H,Lie,2025-05-30,Pr,WC1,21.353875625144127,AoD,NNO-ONMNNNM-N-
17,2025-05-23 20:00:00,90,World Cup,14.5262,12.5854,12.3337,13.3405,Schweiz,10.0,21.5,23.25,21.25,12.5,12.25,13.25,9.25,12.0,Counter-attacks,16,0,4-4-2,4,4,2,1,-10,13,UUQEQUQUEHHUEU,0,H,Hong Kong,11.5,19.75,19.75,20.0,10.75,12.5,11.75,9.75,12.75,Pressing,14,0,3-5-2,3,5,2,0,-10,15,ZPEPEPZHQTHQEW,2023000300,A,Hon,2025-05-23,CA,WC1,14.526206099363286,442ca,NNN-NNNN-NNN-N
18,2025-05-16 20:00:00,90,World Cup,8.4762,13.9176,10.7434,13.9176,Schweiz,6.0,25.75,24.75,26.25,14.25,11.0,14.25,8.25,12.0,Counter-attacks,21,0,5-3-2,5,3,2,1,-10,13,ZUUQUQHEUEQUEU,2404212100,A,Comoros,15.0,16.0,14.25,14.5,16.0,16.25,15.75,8.75,11.5,Normal,0,0,3-5-2,3,5,2,3,9,14,ZUEQEZQQHQQUHE,11000,H,Com,2025-05-16,CA,WC1,8.476234323590095,hardca,NDWNWDO-D-ON-N
19,2025-05-09 20:00:00,90,World Cup,20.6346,13.7733,14.5111,13.7733,Schweiz,15.75,18.5,18.5,17.75,14.0,14.75,14.0,8.75,11.75,Normal,0,0,3-5-2,3,5,2,3,-1,13,UUEQEQQUUHHEUW,3000300,A,Myanmar,16.0,13.75,11.25,14.0,16.5,18.75,17.25,8.25,10.0,Normal,0,0,2-5-3,2,5,3,2,9,11,ZHEEEQHZHQQQTP,31000000,H,Mya,2025-05-09,N,WC1,20.63457097170059,bal,NN-N-NMNNNM-NN
