,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Central attack,Central defence,Left attack,Left defence,Right attack,Right defence,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,HomeOrAway,Team name_,Midfield_,Central attack_,Central defence_,Left attack_,Left defence_,Right attack_,Right defence_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield
11,2025-01-27 20:00:00+01:00,90,Europe Cup,15.485407980941035,12.41221855899316,12.65091506974303,12.173522048243292,England,13.0,13.25,19.75,12.75,19.25,13.0,19.25,8.75,12.0,Normal,0,0,3-5-2,3,5,2,3,3,15,ZHEUEUQQZUHPEU,H,Espana,9.75,14.0,23.75,13.75,21.0,15.25,22.25,10.5,13.0,Counter-attacks,20,0,4-4-2,4,4,2,1,-8,17,UUHEHHHUQEQEQU,A,Esp,2025-01-27,N,CC,15.485407980941035
12,2025-01-24 20:00:00+01:00,90,Europe Cup,13.453120555479074,13.317816684562521,12.349248198412518,13.55995880610002,England,8.5,12.75,23.5,14.0,21.0,13.75,21.25,9.5,12.5,Counter-attacks,18,0,4-4-2,4,4,2,2,-6,15,ZHPEUUUQEUQWEU,A,San Marino,11.75,15.5,16.0,14.25,16.5,14.5,16.5,8.25,10.5,Normal,0,0,3-5-2,3,5,2,1,5,16,ZHEUEUQQUQHPEH,H,San,2025-01-24,CA,CC,13.453120555479074
13,2025-01-17 20:00:00+01:00,90,Friendly,,,,,England,10.0,13.5,19.25,12.75,19.25,12.5,21.25,9.5,11.75,Normal,0,0,3-4-3,3,4,3,7,5,11,ZUEPEPHUHEHWQQ,A,Rom̢nia,6.0,15.75,16.5,9.25,14.75,12.25,13.75,8.5,11.5,Attack in the middle,21,0,3-5-2,3,5,2,1,10,11,ZQEHEUQUUUPQEU,H,Rom,2025-01-17,N,F,
14,2025-01-10 20:00:00+01:00,90,Friendly,,,,,England,8.25,11.0,23.75,12.75,22.5,13.0,22.25,8.0,11.75,Counter-attacks,20,0,4-3-3,4,3,3,0,-5,10,ZUUQETHEEUQQQW,A,Turkiye,4.5,8.5,27.75,11.0,23.75,11.25,22.75,7.25,12.0,Counter-attacks,19,0,4-5-1,4,5,1,0,-10,12,ZUTEQUQPQPUPEE,H,Tur,2025-01-10,CA,F,
15,2025-01-03 20:00:00+01:00,88,Friendly,,,,,England,6.75,7.0,24.5,13.25,26.75,13.25,26.5,8.25,11.5,Counter-attacks,23,0,5-3-2,5,3,2,3,-3,10,ZUHQTPHEHEHQEQ,A,Cymru,8.0,12.0,11.75,7.5,12.25,12.75,11.5,7.75,6.25,Play creatively,19,0,4-4-2,4,4,2,0,-10,10,ZZQEPZQHTUEQEH,H,Cym,2025-01-03,CA,F,
16,2024-12-27 20:00:00+01:00,88,Friendly,,,,,England,7.0,12.0,23.0,13.5,23.0,14.75,25.0,7.25,10.5,Counter-attacks,21,0,4-3-3,4,3,3,1,-10,9,ZUTEUUHEEHQQQQ,A,Iran,7.25,11.0,23.25,17.0,24.25,4.75,20.75,6.75,10.25,Counter-attacks,23,0,5-3-2,5,3,2,0,-10,11,ZHUUQHEEHUQUEP,H,Ira,2024-12-27,CA,F,
17,2024-12-20 20:00:00+01:00,88,Friendly,,,,,England,10.75,14.5,19.0,12.75,19.25,12.75,19.5,8.0,10.25,Normal,0,0,3-4-3,3,4,3,5,0,11,ZUEUEUHHETHPQQ,H,Nippon,6.75,10.25,15.5,11.75,14.5,10.0,14.25,5.75,8.75,Counter-attacks,16,0,5-3-2,5,3,2,1,0,8,ZQHPPQUETEHQEQ,A,Nip,2024-12-20,N,F,
18,2024-12-13 20:00:00+01:00,88,Friendly,,,,,England,9.25,11.75,22.5,12.25,24.25,12.5,23.0,8.0,11.25,Counter-attacks,19,0,4-4-2,4,4,2,4,-5,10,ZUPETUHTEHHWQE,A,Cyprus,8.0,8.25,17.5,8.75,18.0,5.5,12.75,6.25,8.75,Counter-attacks,21,0,5-4-1,5,4,1,0,-2,7,ZUUUPZZQEQTPEE,H,Cyp,2024-12-13,CA,F,
19,2024-12-06 20:00:00+01:00,88,Friendly,,,,,England,7.5,14.5,20.75,14.5,20.25,14.25,20.0,7.25,10.5,Counter-attacks,20,0,4-3-3,4,3,3,1,0,10,ZUTEQUHEETQQQW,A,Hayastan,8.75,15.75,17.0,13.75,17.0,12.75,15.25,7.0,10.0,Normal,0,0,3-4-3,3,4,3,2,0,9,ZQEPEUQQETUHPQ,H,Hay,2024-12-06,CA,F,
20,2024-11-29 20:00:00+01:00,88,Friendly,,,,,England,6.75,6.5,21.5,13.5,23.25,14.0,23.5,7.5,11.25,Counter-attacks,22,0,5-4-1,5,4,1,1,-3,9,ZHUQUPQQEQHEPE,H,Rep̼blica Dominicana,9.5,11.25,14.25,10.0,14.25,10.5,12.75,6.75,9.5,Play creatively,23,0,3-5-2,3,5,2,2,0,11,UUEUEHUQHHQETU,A,Rep,2024-11-29,CA,F,
