,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield
0,2025-06-20 20:00:00,90,World Cup,12.0678,13.1809,21.3879,13.1809,Ireland,21.5,8.25,12.5,8.25,13.25,21.5,13.25,10.0,11.25,Attack in the middle,22,0,2-5-3,2,5,3,1,10,15,UETEHEQHQUUUPT,H,Suomi,10.0,26.0,27.0,24.75,11.5,10.5,11.75,12.25,14.5,Counter-attacks,20,0,4-4-2,4,4,2,3,-10,13,ZQEQHQQHHEQEQQ,A,Suo,2025-06-20,AIM,WC2,12.067823971532171
1,2025-06-16 20:00:00,90,World Cup,10.4312,15.3785,5.953,8.6814,Ireland,11.0,24.0,23.0,22.75,15.5,6.0,8.75,8.5,12.75,Counter-attacks,17,0,4-5-1,4,5,1,2,-10,14,UZUEHHQUQQQQEE,A,India,15.0,14.0,12.5,14.25,15.25,21.25,17.0,9.25,10.75,Normal,0,0,2-5-3,2,5,3,3,5,18,UUEEEQHUHUUPHU,H,Ind,2025-06-16,CA,WC2,10.43121106991785
2,2025-06-13 20:00:00,90,World Cup,10.1776,15.5132,17.9757,14.5283,Ireland,15.75,13.75,12.75,12.5,15.75,18.25,14.75,10.5,11.5,Play creatively,25,0,3-4-3,3,4,3,1,9,18,UUETEHQUUEQQTU,H,India,10.75,22.75,25.0,23.0,11.0,11.5,11.25,8.5,12.0,Counter-attacks,19,0,4-4-2,4,4,2,2,-10,16,UQTEUUUEHUHEWH,A,Ind,2025-06-13,PC,WC2,10.177594996247594
3,2025-06-09 20:00:00,90,World Cup,6.5657,14.3291,7.0431,14.8148,Ireland,6.5,23.25,24.5,22.75,14.75,7.25,15.25,9.5,12.5,Counter-attacks,19,0,5-3-2,5,3,2,0,-10,13,UHHTUHQUEEUTEQ,A,Suomi,15.25,19.25,24.5,21.75,6.75,5.25,4.75,14.0,16.0,Long shots,20,0,4-5-1,4,5,1,1,-10,12,ZQEQHQTHHHTEPE,H,Suo,2025-06-09,CA,WC2,6.565657126416336
4,2025-06-06 20:00:00,90,World Cup,11.1788,13.0852,15.8891,14.0198,Ireland,12.0,14.0,14.5,15.0,14.0,17.0,15.0,10.5,12.0,Normal,0,0,3-5-2,3,5,2,0,5,16,UUETEHUHUUQUET,H,Hayastan,8.75,23.25,26.0,23.5,10.25,8.75,10.25,8.0,12.0,Counter-attacks,19,0,4-4-2,4,4,2,2,-10,18,ZHQETTQQEHQHQE,A,Hay,2025-06-06,N,WC2,11.17879190942236
5,2025-05-30 20:00:00,90,World Cup,9.7548,13.4031,6.1336,9.7683,Ireland,9.25,23.25,21.25,21.0,14.75,6.75,10.75,9.25,12.25,Counter-attacks,17,0,4-5-1,4,5,1,2,-10,16,UHUETHQUUHQQEE,A,Al Yaman,16.0,15.5,16.25,16.5,12.25,16.0,15.5,9.5,12.25,Normal,0,0,3-5-2,3,5,2,0,0,20,ZQEQETHHHHQQQE,H,Al ,2025-05-30,CA,WC1,9.754823654823264
6,2025-05-23 20:00:00,90,World Cup,11.325,14.5916,14.5916,13.4516,Ireland,16.0,14.75,14.5,14.75,16.0,16.0,14.75,10.0,12.0,Normal,0,0,3-5-2,3,5,2,3,9,17,UHETEUUUUHQTEH,H,Kyrgyz Republic,18.25,7.5,11.5,8.0,10.0,21.0,12.0,9.25,10.0,Attack in the middle,24,0,2-5-3,2,5,3,2,10,15,UEQEUEQUUQUUHW,A,Kyr,2025-05-23,N,WC1,11.325021399975748
7,2025-05-16 20:00:00,90,World Cup,12.053,14.8697,16.6452,13.0942,Ireland,15.0,16.25,15.0,14.5,16.75,18.75,14.75,10.5,11.75,Normal,0,0,3-4-3,3,4,3,3,0,18,UPETEUUHEUQWHQ,A,Saint Vincent and the Grenadines,13.25,17.75,17.0,17.75,14.75,16.5,14.5,10.25,12.25,Normal,0,0,3-4-3,3,4,3,4,0,16,ZQEUEQQHEPQPQT,H,Sai,2025-05-16,N,WC1,12.053038523240659
8,2025-05-09 20:00:00,90,World Cup,10.2022,9.4418,8.7674,9.6666,Ireland,10.0,24.0,23.0,23.5,10.5,9.75,10.75,8.75,12.0,Counter-attacks,19,0,4-4-2,4,4,2,3,-10,17,UHUETPQEUHQWEQ,A,Botswana,13.0,11.75,9.75,12.25,16.75,21.25,20.25,8.5,10.0,Play creatively,24,0,2-5-3,2,5,3,1,10,17,ZUEEEUQQHHZPQQ,H,Bot,2025-05-09,CA,WC1,10.202187781234239
9,2025-05-02 20:00:00,90,World Cup,10.5091,14.8449,15.5096,15.0665,Ireland,15.5,15.25,14.25,15.5,16.75,17.5,17.0,9.5,11.75,Normal,0,0,3-5-2,3,5,2,3,8,17,UHETEPQUHUHUEH,H,Scotland,13.5,19.0,19.25,19.5,12.0,12.5,11.5,8.0,11.5,Normal,0,0,3-5-2,3,5,2,3,-10,12,ZHEPEQUUpHUWEU,A,Sco,2025-05-02,N,WC1,10.509093008248117
