,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,Midfielder_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,Midfielder_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
0,2024-08-30 20:00:00,Match 3 in round I of World Cup,Bolivia,12.405696361490932,18.495144967328017,9.734286824909484,18.008430626082543,12.5,17.75,15.0,17.75,19.0,10.0,18.5,12.0,9.75,Attack on wings,23,15.0,0,2.0,0,3,5.0,2,,H,Lietuva,9.75,22.0,24.5,22.0,16.25,8.75,16.25,11.75,8.0,Counter-attacks,19,15.25,-100,1.4,2,4,4.0,2,,A,WC1,Lie,2024-08-30,3-5.0-2,4-4.0-2,AOW,88,12.405696361490932
1,2024-08-26 20:00:00,Match 2 in round I of World Cup,Bolivia,12.050569075737954,10.943519346883038,10.467714157888123,9.991908968893208,9.25,21.25,23.75,21.25,11.5,11.0,10.5,11.75,8.75,Counter-attacks,18,14.5,-100,1.3,0,4,4.0,2,,A,Nicaragua,13.0,16.25,17.25,16.0,16.5,18.25,13.75,11.25,9.0,(no tactic),0,13.5,30,1.8,1,3,4.0,3,,H,WC1,Nic,2024-08-26,4-4.0-2,3-4.0-3,CA,88,12.050569075737954
2,2024-08-23 20:00:00,Match 1 in round I of World Cup,Bolivia,13.246553798620242,12.308173995781829,12.790847485812488,15.204214935965789,11.0,18.25,19.25,18.5,12.75,13.25,15.75,12.25,9.5,(no tactic),0,15.25,0,1.7,2,3,5.0,2,,H,Hellas,11.25,17.0,19.0,20.0,16.0,11.25,13.5,10.75,7.0,(no tactic),0,13.25,0,1.4,1,3,5.0,2,,A,WC1,Hel,2024-08-23,3-5.0-2,3-5.0-2,N,88,13.246553798620242
3,2024-08-16 23:30:00,Final in America Cup,Bolivia,12.696283113751186,11.012932688078388,10.778614971310763,10.544297254543137,9.25,22.5,26.25,22.25,11.75,11.5,11.25,12.0,8.0,Counter-attacks,21,14.5,-100,3.9,4,4,4.0,2,,A,Cuba,11.0,7.75,12.0,8.0,13.5,20.25,12.5,10.0,9.0,Attack in the Middle,26,11.75,100,1.8,1,2,5.0,3,,H,CCF,Cub,2024-08-16,4-4.0-2,2-5.0-3,CA,88,12.696283113751186
4,2024-08-12 23:30:00,Semi-finals in America Cup,Bolivia,12.671614377118281,11.097425058900598,12.062418542283257,10.614928317209266,10.75,22.75,25.5,22.0,11.5,12.5,11.0,12.25,8.75,Counter-attacks,19,14.5,-100,1.5,2,4,4.0,2,,N,Argentina,14.25,10.0,13.25,12.25,18.5,21.0,14.75,9.75,7.5,(no tactic),0,15.25,0,2.6,0,2,5.0,3,,H,CCSF,Arg,2024-08-12,4-4.0-2,2-5.0-3,CA,88,12.671614377118281
5,2024-08-09 23:30:00,Quarterfinals in America Cup,Bolivia,14.205096143497242,13.964604888337977,16.169542502286077,12.494646479039243,16.0,16.75,16.25,13.75,14.25,16.5,12.75,11.25,8.25,(no tactic),0,16.5,0,2.5,2,3,5.0,2,,N,Colombia,16.0,17.0,16.0,17.0,14.5,16.25,15.0,10.75,8.5,(no tactic),0,15.5,-40,2.3,1,3,5.0,2,,H,CCQF,Col,2024-08-09,3-5.0-2,3-5.0-2,N,88,14.205096143497242
6,2024-08-02 23:30:00,Round 10 in America Cup,Bolivia,13.482122110970547,13.751287384805924,16.001498047774167,13.751287384805924,13.5,17.5,17.5,17.25,13.75,16.0,13.75,11.75,9.0,(no tactic),0,14.5,0,1.6,2,3,5.0,2,,H,Uruguay,13.5,17.25,18.5,18.0,14.5,15.0,14.5,11.5,8.5,(no tactic),0,13.0,-10,1.9,1,3,5.0,2,,A,CC,Uru,2024-08-02,3-5.0-2,3-5.0-2,N,88,13.482122110970547
7,2024-07-26 23:30:00,Round 9 in America Cup,Bolivia,12.462492052384103,13.551571030931152,13.313824170739377,12.362836729972278,12.75,20.75,22.5,20.25,14.25,14.0,13.0,12.25,9.25,Counter-attacks,19,14.5,-80,2.6,1,4,4.0,2,,A,Per̼,16.5,13.5,13.25,12.5,17.25,21.75,10.0,12.25,11.0,(no tactic),0,17.75,100,2.3,5,2,5.0,3,,H,CC,Per,2024-07-26,4-4.0-2,2-5.0-3,CA,88,12.462492052384103
8,2024-07-19 23:30:00,Round 8 in America Cup,Bolivia,11.210417132245903,15.969756144889928,7.756738698946536,15.513477397893071,10.0,20.25,22.25,20.0,17.5,8.5,17.0,12.25,9.25,Counter-attacks,19,14.5,-100,1.6,1,4,4.0,2,,A,El Salvador,12.0,17.0,18.75,18.0,16.25,6.75,16.5,12.0,9.0,(no tactic),0,15.5,0,1.4,3,4,4.0,2,,H,CC,El ,2024-07-19,4-4.0-2,4-4.0-2,CA,88,11.210417132245903
9,2024-07-12 23:30:00,Round 7 in America Cup,Bolivia,12.322303914485934,16.556310930074577,7.928374248204728,15.157186062744334,13.25,19.0,16.75,18.5,17.75,8.5,16.25,12.25,8.75,Attack on wings,23,14.0,0,1.8,2,3,5.0,2,,H,Ecuador,6.75,25.0,23.0,25.5,13.0,11.75,12.75,12.0,8.75,Counter-attacks,23,16.75,-100,1.0,0,5,3.0,2,,A,CC,Ecu,2024-07-12,3-5.0-2,5-3.0-2,AOW,88,12.322303914485934
