,Match Datetime,Match Type,Team name,scaled midfield,sc_la,sc_ca,sc_ra,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
12,2023-12-08 23:30:00,Round 8 in America Cup,Guatemala,5.362838107934297,11.465202755204533,11.714446293361155,8.972767373638332,9.25,27.75,26.0,29.5,16.5,5.5,8.75,12.5,8.25,Counter-attacks,18,15.25,-100,0.9,1,4,4,2,H,Chile,7.25,23.75,25.5,24.75,18.5,6.0,15.5,14.0,10.75,Counter-attacks,23,15.25,-100,0.9,1,5,3,2,A,CC,Chi,2023-12-08,4-4-2,5-3-2,CA,86,5.362838107934297
13,2023-12-01 23:30:00,Round 7 in America Cup,Guatemala,6.7706109154434655,7.056413451996379,14.112826903992758,11.844694008708208,9.25,19.25,18.75,19.25,18.75,9.25,15.5,11.5,8.75,Counter-attacks,17,15.25,20,0.7,0,4,4,2,A,Haiti,13.25,20.0,23.5,19.75,3.75,3.5,3.25,10.25,6.0,Pressing,17,8.5,-100,0.1,0,5,5,0,H,CC,Hai,2023-12-01,4-4-2,5-5-0,CA,86,6.7706109154434655
14,2023-11-24 23:30:00,Round 6 in America Cup,Guatemala,8.644566269799686,19.007214405221394,8.363174338297412,6.5891676604767495,17.25,17.75,23.5,17.75,9.0,12.25,9.25,11.25,8.0,(no tactic),0,14.25,-100,1.2,2,3,5,2,H,Canada,17.0,17.0,16.75,17.5,15.25,16.25,15.25,11.0,8.0,(no tactic),0,17.0,0,1.6,2,3,5,2,A,CC,Can,2023-11-24,3-5-2,3-5-2,N,86,8.644566269799686
15,2023-11-17 23:30:00,Round 5 in America Cup,Guatemala,7.727421780877884,14.509351752710202,16.291201967955317,15.52755187570741,13.75,18.75,19.5,18.0,16.0,14.0,10.75,11.75,10.0,(no tactic),0,15.75,-10,3.1,0,3,4,3,A,Saint Vincent and the Grenadines,17.5,7.25,11.0,7.25,8.0,17.75,11.5,8.75,8.0,Attack in the Middle,20,9.25,100,2.3,0,2,5,3,H,CC,Sai,2023-11-17,3-4-3,2-5-3,N,86,7.727421780877884
16,2023-11-13 23:30:00,Round 4 in America Cup,Guatemala,5.245944910273493,4.894172950194237,4.378996850173792,17.00081130067472,9.5,22.75,20.5,20.75,15.5,7.25,16.0,12.0,9.25,Counter-attacks,19,15.25,-80,1.0,1,4,4,2,H,Suriname,6.75,25.75,24.75,25.5,15.75,7.0,15.5,14.0,10.25,Counter-attacks,23,18.0,-90,1.1,1,5,3,2,A,CC,Sur,2023-11-13,4-4-2,5-3-2,CA,86,5.245944910273493
17,2023-11-10 23:30:00,Round 3 in America Cup,Guatemala,7.875022091735507,10.780105162351532,12.094752133370013,11.831822739166316,11.0,25.0,25.5,25.0,12.75,6.5,5.5,12.75,8.5,Pressing,16,15.0,-100,0.5,2,4,5,1,A,Chile,13.25,16.75,15.75,17.75,12.5,15.0,19.75,13.0,11.25,(no tactic),0,16.25,30,1.3,2,3,5,2,H,CC,Chi,2023-11-10,4-5-1,3-5-2,Pr,86,7.875022091735507
18,2023-11-06 23:30:00,Round 2 in America Cup,Guatemala,7.2798607096494,,,,11.25,13.75,13.75,11.5,17.75,17.5,12.5,10.75,9.75,Play creatively,22,14.0,30,2.0,1,2,5,3,H,Haiti,8.5,21.25,25.25,18.75,4.25,4.0,3.0,10.75,6.25,Pressing,17,10.5,-100,0.1,1,5,5,0,A,CC,Hai,2023-11-06,2-5-3,5-5-0,PC,86,7.2798607096494
19,2023-11-03 23:30:00,Round 1 in America Cup,Guatemala,7.025841415694095,,,,8.25,23.75,24.0,23.5,3.75,5.25,17.0,12.0,8.0,Counter-attacks,17,14.0,-80,1.1,0,4,5,1,A,Canada,12.25,10.5,13.0,14.0,13.75,20.75,17.5,10.5,8.25,(no tactic),0,15.0,100,1.9,0,2,5,3,H,CC,Can,2023-11-03,4-5-1,2-5-3,CA,86,7.025841415694095
20,2023-10-27 20:00:00,Friendly match,Guatemala,,,,,8.0,17.5,12.75,16.5,8.5,13.0,13.75,8.5,7.0,Counter-attacks,7,9.5,0,5.4,0,2,5,3,A,Cymru,5.75,8.0,10.0,7.0,2.75,3.25,3.75,6.5,7.5,Long shots,9,10.25,-40,0.1,0,5,4,1,H,F,Cym,2023-10-27,2-5-3,5-4-1,CA,86,
21,2023-10-20 20:00:00,Friendly match,Guatemala,,,,,8.0,16.25,17.25,19.0,11.75,13.5,8.75,9.5,6.5,Counter-attacks,12,10.5,0,0.6,1,3,4,3,H,Malta,9.0,24.25,22.75,22.5,14.0,7.0,9.25,11.75,7.75,Counter-attacks,16,12.5,-100,0.8,1,4,5,1,A,F,Mal,2023-10-20,3-4-3,4-5-1,CA,86,
22,2023-10-13 20:00:00,Friendly match,Guatemala,,,,,7.75,16.0,17.0,18.0,11.5,13.5,8.0,9.5,6.75,Counter-attacks,13,10.25,0,1.4,4,3,4,3,A,MÃ©xico,11.0,14.75,11.5,14.5,16.0,16.75,15.5,11.0,9.25,Play creatively,23,17.5,40,3.7,4,2,5,3,H,F,MÃ©x,2023-10-13,3-4-3,2-5-3,CA,84,
23,2023-10-06 20:00:00,Friendly match,Guatemala,,,,,7.25,18.0,17.75,18.0,12.5,8.75,5.75,9.75,6.5,Counter-attacks,17,9.5,0,1.0,1,4,5,1,H,Belize,6.5,15.75,16.5,19.0,8.75,10.0,9.25,8.75,6.75,(no tactic),0,7.5,-100,0.5,1,3,5,2,A,F,Bel,2023-10-06,4-5-1,3-5-2,CA,84,
24,2023-09-29 20:00:00,Friendly match,Guatemala,,,,,6.5,18.75,15.5,16.25,14.75,7.0,14.75,9.25,6.5,Counter-attacks,17,9.75,0,1.6,0,4,4,2,A,San Marino,3.5,21.75,17.0,19.75,11.25,8.25,10.75,9.5,6.75,Counter-attacks,13,7.75,-100,0.6,0,4,4,2,H,F,San,2023-09-29,4-4-2,4-4-2,CA,84,
25,2023-09-22 20:00:00,Friendly match,Guatemala,,,,,7.25,19.75,16.5,16.75,14.5,8.0,15.0,9.75,6.5,Counter-attacks,17,11.5,0,0.8,0,4,4,2,H,Srbija,7.5,21.0,22.25,19.25,10.25,9.75,9.5,9.5,7.0,Counter-attacks,20,9.75,-100,1.1,0,5,3,2,A,F,Srb,2023-09-22,4-4-2,5-3-2,CA,84,
26,2023-09-15 20:00:00,Friendly match,Guatemala,,,,,6.25,17.0,18.5,19.25,4.5,9.0,15.0,9.25,7.25,Counter-attacks,22,12.0,0,1.2,2,5,3,2,H,Mongol Uls,7.75,16.25,14.0,14.0,13.75,15.5,12.75,10.0,8.75,(no tactic),0,8.25,0,2.2,2,3,5,2,A,F,Mon,2023-09-15,5-3-2,3-5-2,CA,84,
27,2023-09-08 20:00:00,Friendly match,Guatemala,,15.369870946404067,6.197528607420994,12.14715607054515,9.0,18.0,18.25,17.25,8.75,11.75,11.25,9.75,6.5,(no tactic),0,10.5,0,0.9,1,3,5,2,H,Kyrgyz Republic,6.5,18.25,20.75,18.5,10.5,13.25,11.25,10.5,8.75,Counter-attacks,15,12.75,-100,0.8,1,4,3,3,A,F,Kyr,2023-09-08,3-5-2,4-3-3,N,84,
28,2023-09-01 20:00:00,Friendly match,Guatemala,,16.58652226683253,16.58652226683253,8.417041150332926,8.0,19.75,19.0,17.5,7.5,12.0,11.5,10.5,6.75,(no tactic),0,11.25,0,0.8,0,3,5,2,H,Viá»‡t Nam,9.25,18.75,20.75,19.0,12.0,11.0,11.0,10.5,8.0,(no tactic),0,9.25,0,1.6,0,4,4,2,A,F,Viá»‡,2023-09-01,3-5-2,4-4-2,N,84,
29,2023-08-25 20:00:00,Match 6 in round II of World Cup,Guatemala,7.344365355291729,11.883098696916845,11.883098696916845,10.15014680361647,12.75,16.75,18.25,18.0,10.25,12.0,12.0,10.5,8.25,(no tactic),0,12.25,-10,1.1,0,3,5,2,H,MoÃ§ambique,11.0,19.75,20.25,18.75,11.75,12.5,13.5,13.0,10.5,(no tactic),0,27.75,0,1.4,0,3,4,3,A,WC2,MoÃ§,2023-08-25,3-5-2,3-4-3,N,84,7.344365355291729
30,2023-08-18 20:00:00,Match 5 in round II of World Cup,Guatemala,8.725967992000111,11.353850878377775,11.847496568742029,7.4046853554637675,16.5,8.5,14.5,19.5,8.5,16.75,16.75,10.75,9.75,(no tactic),0,14.0,0,1.8,3,2,5,3,A,Nippon,16.5,18.5,19.5,20.5,10.5,12.5,11.25,12.5,10.5,(no tactic),0,19.25,-50,2.3,3,3,5,2,H,WC2,Nip,2023-08-18,2-5-3,3-5-2,N,84,8.725967992000111
31,2023-08-14 20:00:00,Match 4 in round II of World Cup,Guatemala,4.187382236481071,11.296682342649541,11.798757113433963,8.786308488727421,6.75,23.75,22.75,22.75,12.25,6.25,15.5,12.5,9.0,Counter-attacks,22,15.75,0,1.2,2,5,3,2,H,Cameroon,16.5,13.25,15.0,16.5,12.0,17.5,16.75,10.25,8.0,(no tactic),0,17.0,30,1.7,2,3,5,2,A,WC2,Cam,2023-08-14,5-3-2,3-5-2,CA,84,4.187382236481071
32,2023-08-11 20:00:00,Match 3 in round II of World Cup,Guatemala,9.178886044993403,15.193287025804258,9.115972215482554,4.557986107741277,14.5,6.75,16.0,15.75,8.25,18.25,13.75,10.25,9.75,Attack in the Middle,20,13.25,0,2.1,4,2,5,3,A,Cameroon,15.0,17.25,16.75,14.0,14.0,13.5,9.0,11.0,8.75,(no tactic),0,20.75,10,2.7,4,3,5,2,H,WC2,Cam,2023-08-11,2-5-3,3-5-2,AIM,84,9.178886044993403
33,2023-08-07 20:00:00,Match 2 in round II of World Cup,Guatemala,7.5688210651118855,15.367440733977082,8.195968391454443,14.85519270951118,11.5,21.0,19.75,20.0,16.75,5.75,4.25,11.75,8.25,Play creatively,22,15.0,-30,0.9,0,4,5,1,H,Nippon,11.0,15.75,20.25,22.0,8.25,10.5,13.75,12.5,11.0,(no tactic),0,23.0,0,1.7,0,3,5,2,A,WC2,Nip,2023-08-07,4-5-1,3-5-2,PC,84,7.5688210651118855
34,2023-08-04 20:00:00,Match 1 in round II of World Cup,Guatemala,5.2070855190331065,15.317660844351696,7.269398366810975,15.317660844351696,6.0,26.25,26.25,23.0,3.25,4.5,16.25,12.25,8.5,Counter-attacks,23,14.5,-100,0.8,3,5,4,1,A,MoÃ§ambique,12.25,18.5,19.25,18.5,13.25,13.5,10.0,12.75,10.5,(no tactic),0,29.0,-10,1.3,3,3,5,2,H,WC2,MoÃ§,2023-08-04,5-4-1,3-5-2,CA,84,5.2070855190331065
35,2023-07-28 20:00:00,Match 10 in round I of World Cup,Guatemala,7.764870134546263,5.6933134334629205,8.663737833530533,12.376768333615047,13.25,17.75,17.5,18.25,7.0,14.25,13.75,10.75,8.5,Play creatively,22,14.75,-40,2.7,1,3,4,3,A,Hayastan,14.25,16.25,13.0,7.0,18.0,18.0,12.25,11.0,9.5,(no tactic),0,20.25,100,2.4,1,2,5,3,H,WC1,Hay,2023-07-28,3-4-3,2-5-3,PC,84,7.764870134546263
36,2023-07-21 20:00:00,Match 9 in round I of World Cup,Guatemala,7.762216114370802,8.001080563396915,13.501823450732294,11.501553309883064,14.75,20.25,19.75,20.0,16.0,5.75,3.75,11.25,7.75,Play creatively,21,14.25,-50,1.6,1,4,5,1,H,Slovenija,17.0,13.0,11.25,9.0,19.5,19.5,9.5,10.5,9.5,(no tactic),0,13.25,100,2.1,1,2,5,3,A,WC1,Slo,2023-07-21,4-5-1,2-5-3,PC,84,7.762216114370802
37,2023-07-14 20:00:00,Match 8 in round I of World Cup,Guatemala,7.682337449673527,8.766915042843177,13.526097494672333,11.772714486103697,15.5,14.5,16.75,19.25,9.25,16.5,17.5,10.75,8.5,(no tactic),0,12.25,-50,1.7,1,3,4,3,H,ÄŒeskÃ¡ republika,16.75,17.0,18.0,17.75,12.25,13.5,13.25,13.0,11.0,(no tactic),0,14.0,0,2.3,1,3,5,2,A,WC1,ÄŒes,2023-07-14,3-4-3,3-5-2,N,84,7.682337449673527
