,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,Midfielder_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,Midfielder_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
11,2024-04-19 20:00:00,Round 15 in Nations Cup,Viá»‡t Nam,10.422876097485826,16.26663538585465,19.41501642827813,16.791365559591895,12.5,15.75,15.25,15.75,15.5,18.5,16.0,11.0,8.25,(no tactic),0,11.0,100,2.3,0,3,4.0,3,,A,Comoros,12.0,18.25,17.25,17.25,15.5,15.0,14.25,11.25,8.75,(no tactic),0,13.0,0,2.4,2,3,4.0,3,,H,NC,Com,2024-04-19,3-4.0-3,3-4.0-3,N,86,10.422876097485826
12,2024-04-12 20:00:00,Round 14 in Nations Cup,Viá»‡t Nam,8.897374645225517,14.111815632264275,13.046772943036782,14.111815632264275,9.75,17.25,18.5,16.5,13.25,12.25,13.25,11.0,7.25,(no tactic),0,12.0,100,1.6,2,4,4.0,2,,H,Äªtyoppya,14.0,10.75,13.5,13.0,12.75,16.5,14.75,9.75,8.25,(no tactic),0,13.0,100,2.4,1,2,5.0,3,,A,NC,Äªty,2024-04-12,4-4.0-2,2-5.0-3,N,86,8.897374645225517
13,2024-04-05 20:00:00,Round 13 in Nations Cup,Viá»‡t Nam,7.954110882040957,10.97238229242715,8.621157515478474,11.23362948986589,8.5,20.25,24.25,20.0,10.5,8.25,10.75,12.0,8.25,Counter-attacks,23,12.0,0,0.6,0,5,4.0,1,,H,Brunei,7.0,23.25,23.5,23.25,11.5,7.75,15.25,11.0,7.75,Counter-attacks,20,13.0,-100,0.9,1,5,3.0,2,,A,NC,Bru,2024-04-05,5-4.0-1,5-3.0-2,CA,86,7.954110882040957
14,2024-03-29 20:00:00,Round 12 in Nations Cup,Viá»‡t Nam,10.04497986448262,12.106447926235896,11.837415750097323,11.568383573958746,8.5,20.75,22.75,21.0,11.25,11.0,10.75,11.25,8.5,Counter-attacks,18,12.0,-100,1.2,2,4,4.0,2,,A,Severna Makedonija,5.25,19.25,21.5,17.25,14.25,7.75,17.5,9.75,5.75,Counter-attacks,20,10.25,-30,0.9,0,5,3.0,2,,H,NC,Sev,2024-03-29,4-4.0-2,5-3.0-2,CA,86,10.04497986448262
15,2024-03-22 20:00:00,Round 11 in Nations Cup,Viá»‡t Nam,9.714310660505994,15.784655059053991,18.152353317912088,16.047732643371557,12.0,14.25,14.25,14.75,15.0,17.25,15.25,11.0,9.5,(no tactic),0,11.75,100,2.8,1,3,4.0,3,,H,Saint Vincent and the Grenadines,11.5,17.25,18.5,17.25,9.25,12.0,12.25,10.0,7.75,(no tactic),0,11.5,0,1.8,3,3,5.0,2,,A,NC,Sai,2024-03-22,3-4.0-3,3-5.0-2,N,86,9.714310660505994
16,2024-03-15 20:00:00,Round 10 in Nations Cup,Viá»‡t Nam,8.804706304526713,10.420706857373158,9.619114022190608,10.955102080828192,7.5,22.25,27.0,23.5,9.75,9.0,10.25,11.5,7.5,Counter-attacks,23,11.75,-90,0.9,2,5,3.0,2,,A,Kazakhstan,12.5,14.5,11.5,14.5,15.75,17.0,15.5,9.75,8.25,(no tactic),0,10.5,0,1.5,1,2,5.0,3,,H,NC,Kaz,2024-03-15,5-3.0-2,2-5.0-3,CA,86,8.804706304526713
17,2024-03-08 20:00:00,Round 9 in Nations Cup,Viá»‡t Nam,10.098895908423307,11.55430296450081,10.24131399126208,11.55430296450081,9.75,17.5,19.5,17.0,11.0,9.75,11.0,11.75,9.0,(no tactic),0,11.25,50,1.0,0,4,5.0,1,,H,Cymru,11.0,16.0,16.25,16.75,15.0,15.0,9.0,9.75,6.25,(no tactic),0,12.25,0,1.5,1,3,4.0,3,,A,NC,Cym,2024-03-08,4-5.0-1,3-4.0-3,N,86,10.098895908423307
18,2024-03-01 20:00:00,Round 8 in Nations Cup,Viá»‡t Nam,10.953339483524474,11.285567834052287,11.285567834052287,11.54802289996048,8.25,20.25,23.0,21.75,10.75,10.75,11.0,11.5,8.75,Counter-attacks,19,10.5,-100,1.5,2,4,4.0,2,,A,Saudi Arabia,9.5,13.0,13.0,14.5,22.0,11.0,22.0,10.0,7.5,(no tactic),0,13.25,100,1.7,2,3,5.0,2,,H,NC,Sau,2024-03-01,4-4.0-2,3-5.0-2,CA,86,10.953339483524474
19,2024-02-23 20:00:00,Round 7 in Nations Cup,Viá»‡t Nam,7.884075748410378,10.185475217219006,8.309203466678662,10.185475217219006,6.5,23.0,25.25,21.25,9.5,7.75,9.5,11.5,8.25,Counter-attacks,23,11.25,-100,0.9,1,5,4.0,1,,H,Misr,12.25,16.25,15.25,14.75,14.75,14.0,13.5,9.0,6.5,(no tactic),0,11.25,0,1.4,0,3,5.0,2,,A,NC,Mis,2024-02-23,5-4.0-1,3-5.0-2,CA,86,7.884075748410378
20,2024-02-16 20:00:00,Round 6 in Nations Cup,Viá»‡t Nam,11.228909295669563,16.217690566400346,16.483554346177403,15.685963006846237,13.0,15.75,15.0,15.25,15.25,15.5,14.75,11.0,9.25,(no tactic),0,10.75,100,1.8,1,3,4.0,3,,A,Al Maghrib,14.0,18.75,19.0,18.5,12.75,11.75,12.75,12.0,8.75,(no tactic),0,11.75,0,1.9,2,3,5.0,2,,H,NC,Al ,2024-02-16,3-4.0-3,3-5.0-2,N,86,11.228909295669563
