,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
0,2024-03-29 20:00:00,Match 5 in round II of World Cup,Bosna i Hercegovina,12.189987138967682,18.202463446638582,18.45527543895301,14.915907546551061,15.5,16.25,14.25,12.5,18.0,18.25,14.75,10.5,8.75,(no tactic),0,14.0,40,1.2,2,3,4,3,H,Nederland,9.25,26.75,26.75,25.5,13.75,12.0,14.75,14.0,10.75,Counter-attacks,25,15.25,-100,1.9,2,5,3,2,A,WC2,Ned,2024-03-29,3-4-3,5-3-2,N,86,12.189987138967682
1,2024-03-25 20:00:00,Match 4 in round II of World Cup,Bosna i Hercegovina,8.801388626504151,16.694318521452995,8.970081593616534,9.468419459928564,7.5,23.25,26.25,23.0,16.75,9.0,9.5,11.25,7.5,Counter-attacks,22,13.75,-100,1.0,3,5,3,2,A,Honduras,14.25,14.0,16.75,17.0,7.25,15.25,17.75,12.25,9.75,Play creatively,25,17.25,50,2.5,5,3,4,3,H,WC2,Hon,2024-03-25,5-3-2,3-4-3,CA,86,8.801388626504151
2,2024-03-22 20:00:00,Match 3 in round II of World Cup,Bosna i Hercegovina,13.33175191064921,13.15122160114774,16.944843216863433,14.921578355148394,16.0,13.75,15.75,15.75,13.0,16.75,14.75,10.75,8.75,(no tactic),0,14.0,0,2.4,4,2,5,3,H,Honduras,11.25,19.75,19.0,18.75,12.0,12.75,10.0,12.25,10.0,Play creatively,25,18.5,-100,1.2,3,4,4,2,A,WC2,Hon,2024-03-22,2-5-3,4-4-2,N,86,13.33175191064921
3,2024-03-18 20:00:00,Match 2 in round II of World Cup,Bosna i Hercegovina,13.699042733261292,9.301323753570557,7.541613854246399,10.558259395944958,11.0,20.5,26.25,21.5,9.25,7.5,10.5,11.75,7.5,Pressing,14,14.0,-100,0.5,1,4,5,1,A,Nederland,12.25,14.25,15.75,15.25,17.75,19.0,15.5,12.75,11.25,Play creatively,26,15.5,0,2.1,2,3,4,3,H,WC2,Ned,2024-03-18,4-5-1,3-4-3,Pr,86,13.699042733261292
4,2024-03-15 20:00:00,Match 1 in round II of World Cup,Bosna i Hercegovina,9.427237147594663,15.282905822391587,14.5551484022777,15.525491629096214,8.25,19.0,19.25,19.0,15.75,15.0,16.0,11.25,8.5,Counter-attacks,18,13.75,0,1.5,0,4,4,2,H,England,10.75,22.25,24.0,21.25,9.75,10.25,10.0,12.5,9.75,(no tactic),0,12.75,-40,2.0,2,3,5,2,A,WC2,Eng,2024-03-15,4-4-2,3-5-2,CA,86,9.427237147594663
5,2024-03-08 20:00:00,Match 10 in round I of World Cup,Bosna i Hercegovina,13.077747364499189,8.511401866901142,7.781853135452474,9.240950598349812,16.5,23.0,25.75,23.0,8.75,8.0,9.5,11.5,7.0,Pressing,12,14.5,-100,0.7,0,4,5,1,H,Danmark,18.25,15.0,14.0,9.25,17.5,20.5,14.0,11.0,8.75,(no tactic),0,13.25,100,1.4,0,2,5,3,A,WC1,Dan,2024-03-08,4-5-1,2-5-3,Pr,86,13.077747364499189
6,2024-03-01 20:00:00,Match 9 in round I of World Cup,Bosna i Hercegovina,15.232164297042363,13.431281414329028,14.674918582322457,13.431281414329028,14.75,17.5,16.25,17.25,13.5,14.75,13.5,11.25,8.25,(no tactic),0,14.25,0,2.7,1,3,5,2,A,Cameroon,13.25,11.75,14.0,13.75,11.75,20.0,20.25,10.0,9.5,(no tactic),0,15.25,0,2.1,0,2,5,3,H,WC1,Cam,2024-03-01,3-5-2,2-5-3,N,86,15.232164297042363
7,2024-02-23 20:00:00,Match 8 in round I of World Cup,Bosna i Hercegovina,13.911368805024406,13.308013521352903,17.074432442490515,14.563486495065442,17.0,14.75,15.25,16.25,13.25,17.0,14.5,10.25,8.25,(no tactic),0,13.0,30,0.9,1,3,5,2,H,Costa Rica,12.0,23.0,25.75,21.5,5.5,6.5,13.75,13.0,8.0,Pressing,13,18.5,-100,0.3,1,4,5,1,A,WC1,Cos,2024-02-23,3-5-2,4-5-1,N,86,13.911368805024406
8,2024-02-16 20:00:00,Match 7 in round I of World Cup,Bosna i Hercegovina,8.630990573803537,12.612666332046429,8.87558001144008,14.481209492349604,7.25,24.5,24.5,23.5,13.5,9.5,15.5,11.25,8.0,Counter-attacks,24,11.0,-100,0.8,0,5,3,2,A,Oceania,13.25,20.0,19.0,19.5,14.25,14.5,14.25,12.25,10.25,(no tactic),0,16.5,0,2.0,4,3,5,2,H,WC1,Oce,2024-02-16,5-3-2,3-5-2,CA,86,8.630990573803537
9,2024-02-09 20:00:00,Match 6 in round I of World Cup,Bosna i Hercegovina,13.758071790992362,13.775089925590693,16.62510853088532,14.012591476031913,16.75,15.5,15.25,16.5,14.5,17.5,14.75,10.75,8.25,(no tactic),0,11.75,50,1.9,3,3,5,2,H,Nippon,9.5,21.5,27.0,24.75,17.25,5.25,6.0,12.25,9.0,Counter-attacks,19,16.25,-100,1.0,1,4,5,1,A,WC1,Nip,2024-02-09,3-5-2,4-5-1,N,86,13.758071790992362
10,2024-02-02 20:00:00,Match 5 in round I of World Cup,Bosna i Hercegovina,15.04820511568566,12.927210383815552,14.36356709312839,13.166603168701023,16.25,17.75,18.0,17.75,13.5,15.0,13.75,10.75,8.25,(no tactic),0,12.0,20,2.3,3,3,5,2,A,Danmark,14.25,13.25,14.75,15.0,16.75,15.75,14.75,11.0,8.5,(no tactic),0,12.25,50,1.8,2,3,5,2,H,WC1,Dan,2024-02-02,3-5-2,3-5-2,N,86,15.04820511568566
11,2024-01-26 20:00:00,Match 4 in round I of World Cup,Bosna i Hercegovina,13.317376179000995,13.521107150950899,14.021888897282413,10.766807546127566,14.75,17.25,19.0,18.25,13.5,14.0,10.75,11.0,8.5,(no tactic),0,13.75,50,2.6,4,2,5,3,H,Cameroon,12.75,16.5,16.75,16.75,10.5,15.25,14.0,11.25,9.25,(no tactic),0,16.25,0,1.9,0,3,5,2,A,WC1,Cam,2024-01-26,2-5-3,3-5-2,N,86,13.317376179000995
12,2024-01-19 20:00:00,Match 3 in round I of World Cup,Bosna i Hercegovina,11.278241213334919,12.984122146639644,12.734427489973497,12.734427489973497,10.0,21.5,23.5,21.25,13.0,12.75,12.75,11.75,8.5,Counter-attacks,20,14.0,-90,0.9,1,4,4,2,A,Costa Rica,14.5,17.25,16.0,17.5,15.25,15.75,15.25,11.75,8.5,(no tactic),0,17.5,10,1.4,2,3,5,2,H,WC1,Cos,2024-01-19,4-4-2,3-5-2,CA,86,11.278241213334919
13,2024-01-15 20:00:00,Match 2 in round I of World Cup,Bosna i Hercegovina,12.997595445153182,12.522986829780567,12.522986829780567,10.804145500202843,12.75,17.0,16.25,14.75,12.75,12.75,11.0,10.5,7.5,(no tactic),0,12.75,0,1.2,0,3,5,2,H,Oceania,6.75,25.5,24.25,25.5,14.0,7.25,15.5,13.0,9.25,Counter-attacks,23,15.5,-100,1.4,1,5,3,2,A,WC1,Oce,2024-01-15,3-5-2,5-3-2,N,86,12.997595445153182
14,2024-01-12 20:00:00,Match 1 in round I of World Cup,Bosna i Hercegovina,14.75772327895545,12.60943947183408,15.034331677956018,13.82188557489505,11.0,15.75,17.5,18.0,13.0,15.5,14.25,11.5,8.5,(no tactic),0,13.5,0,1.7,2,3,5,2,A,Nippon,11.75,16.5,18.0,16.5,10.25,14.25,11.75,11.0,9.5,(no tactic),0,15.5,0,1.6,3,3,5,2,H,WC1,Nip,2024-01-12,3-5-2,3-5-2,N,86,14.75772327895545
15,2024-01-05 20:00:00,Friendly match,Bosna i Hercegovina,,,,,6.0,21.75,24.75,21.25,13.25,12.25,13.0,10.25,7.0,Counter-attacks,21,10.5,-100,2.4,1,5,3,2,A,Bulgaria,3.75,17.75,17.75,17.0,12.5,10.0,12.25,9.75,8.25,Counter-attacks,17,10.75,-100,0.5,1,5,3,2,H,F,Bul,2024-01-05,5-3-2,5-3-2,CA,86,
16,2023-12-29 20:00:00,Friendly match,Bosna i Hercegovina,,,,,7.0,16.5,15.25,15.5,15.75,18.0,17.5,9.25,8.0,(no tactic),0,10.0,0,2.5,3,3,4,3,H,Slovenija,7.5,17.75,15.5,16.0,14.25,9.75,10.75,8.5,5.75,(no tactic),0,9.75,0,1.2,1,4,5,1,A,F,Slo,2023-12-29,3-4-3,4-5-1,N,86,
17,2023-12-22 20:00:00,Round 10 in Europe Cup,Bosna i Hercegovina,13.602055780335524,13.874288436931742,15.0703477849431,14.113500306534014,19.25,17.0,17.0,16.5,14.5,15.75,14.75,11.25,7.5,(no tactic),0,13.25,70,2.5,1,3,5,2,H,Liechtenstein,18.0,13.0,15.5,15.25,7.25,15.75,14.25,10.75,8.25,Play creatively,22,13.25,-50,2.1,0,3,5,2,A,CC,Lie,2023-12-22,3-5-2,3-5-2,N,86,13.602055780335524
18,2023-12-15 20:00:00,Round 9 in Europe Cup,Bosna i Hercegovina,11.303183651755786,12.867026854240457,12.633080911436087,12.165189025827342,9.75,21.75,23.5,21.5,13.75,13.5,13.0,11.5,8.25,Counter-attacks,19,12.25,-100,1.4,1,4,4,2,A,Lëtzebuerg,17.0,17.75,17.0,17.0,14.0,14.75,13.75,10.5,7.0,(no tactic),0,16.5,20,1.7,2,3,5,2,H,CC,Lët,2023-12-15,4-4-2,3-5-2,CA,86,11.303183651755786
19,2023-12-08 20:00:00,Round 8 in Europe Cup,Bosna i Hercegovina,13.707037131951932,14.081300573378257,16.986965771059488,12.963737035808556,17.25,18.0,16.5,14.5,15.75,19.0,14.5,10.5,8.0,(no tactic),0,11.75,0,1.7,2,3,5,2,H,Suomi,17.75,18.5,17.5,18.25,13.5,14.0,13.5,12.5,9.25,(no tactic),0,13.75,-70,2.0,4,3,5,2,A,CC,Suo,2023-12-08,3-5-2,3-5-2,N,86,13.707037131951932
20,2023-12-01 20:00:00,Round 7 in Europe Cup,Bosna i Hercegovina,10.666210252382854,11.530009098324925,11.299408916358427,11.530009098324925,9.25,23.0,25.5,21.5,12.5,12.25,12.5,11.25,8.0,Counter-attacks,19,14.5,-100,1.7,3,4,4,2,A,Ísland,13.75,10.5,12.75,13.75,12.25,19.5,16.75,9.75,8.25,(no tactic),0,11.5,60,1.5,0,2,5,3,H,CC,Ísl,2023-12-01,4-4-2,2-5-3,CA,86,10.666210252382854
21,2023-11-24 20:00:00,Round 6 in Europe Cup,Bosna i Hercegovina,13.618381343406606,13.814693338169482,16.711322586495342,12.254969896763251,17.25,16.75,16.0,14.75,15.5,18.75,13.75,10.5,8.0,(no tactic),0,13.25,0,1.5,1,3,5,2,H,Österreich,11.75,21.5,22.5,21.5,13.25,13.0,13.5,12.0,9.25,Counter-attacks,20,12.75,-100,1.4,2,4,4,2,A,CC,Öst,2023-11-24,3-5-2,4-4-2,N,86,13.618381343406606
22,2023-11-17 20:00:00,Round 5 in Europe Cup,Bosna i Hercegovina,15.714933954102902,12.035016375672418,12.943319498364678,11.58086481432629,17.75,19.0,19.0,19.0,13.25,14.25,12.75,11.5,7.75,(no tactic),0,12.75,0,1.6,2,3,5,2,A,Liechtenstein,16.0,20.0,20.5,19.5,7.25,9.25,9.5,11.25,7.0,Play creatively,23,13.5,-100,1.0,0,4,5,1,H,CC,Lie,2023-11-17,3-5-2,4-5-1,N,86,15.714933954102902
23,2023-11-13 20:00:00,Round 4 in Europe Cup,Bosna i Hercegovina,13.266374323473794,12.511003342863239,13.669429578313538,12.511003342863239,15.25,19.75,19.75,18.5,13.5,14.75,13.5,11.75,8.0,(no tactic),0,12.75,0,1.5,3,3,5,2,H,Lëtzebuerg,17.0,18.25,18.5,18.5,13.0,14.0,12.75,11.0,7.75,(no tactic),0,14.75,-30,1.8,1,3,5,2,A,CC,Lët,2023-11-13,3-5-2,3-5-2,N,86,13.266374323473794
24,2023-11-10 20:00:00,Round 3 in Europe Cup,Bosna i Hercegovina,14.097801516668648,8.742504709572314,7.797369065294228,9.215072531711359,12.5,23.5,26.75,23.0,9.25,8.25,9.75,12.25,7.75,Pressing,15,13.5,-100,0.9,1,3,5,2,A,Suomi,14.5,13.25,10.75,13.25,18.5,21.75,18.5,12.0,10.0,(no tactic),0,13.25,100,1.5,0,2,5,3,H,CC,Suo,2023-11-10,3-5-2,2-5-3,Pr,86,14.097801516668648
25,2023-11-06 20:00:00,Round 2 in Europe Cup,Bosna i Hercegovina,12.742740632503121,14.350061357316102,18.11401187726787,17.173024247279926,12.5,12.75,14.75,16.75,15.25,19.25,18.25,10.75,8.5,(no tactic),0,12.25,90,1.8,1,3,5,2,H,Ísland,8.0,22.5,25.25,25.25,6.5,10.75,14.25,11.25,7.5,Counter-attacks,22,10.25,-100,0.9,1,5,3,2,A,CC,Ísl,2023-11-06,3-5-2,5-3-2,N,86,12.742740632503121
26,2023-11-03 20:00:00,Round 1 in Europe Cup,Bosna i Hercegovina,15.09312608074989,10.912014927548723,10.669525706936529,10.669525706936529,11.25,20.5,21.0,20.25,11.25,11.0,11.0,11.75,8.0,(no tactic),0,13.5,-50,1.4,2,3,5,2,A,Österreich,11.25,16.0,16.0,16.5,16.25,16.75,16.25,12.0,9.5,(no tactic),0,12.25,30,1.9,0,3,5,2,H,CC,Öst,2023-11-03,3-5-2,3-5-2,N,86,15.09312608074989
27,2023-10-27 20:00:00,Friendly match,Bosna i Hercegovina,,,,,8.25,18.25,18.5,16.75,14.0,12.5,13.5,10.75,7.5,(no tactic),0,12.5,20,3.1,1,4,5,1,A,Srbija,6.25,17.25,17.0,9.0,9.0,14.75,11.5,8.5,6.75,(no tactic),0,8.5,0,0.7,2,3,4,3,H,F,Srb,2023-10-27,4-5-1,3-4-3,N,86,
28,2023-10-20 20:00:00,Friendly match,Bosna i Hercegovina,,,,,7.5,20.25,20.75,19.0,13.0,14.0,14.5,11.0,7.5,Counter-attacks,23,12.25,0,2.1,2,5,3,2,A,Iran,8.5,13.0,14.5,15.25,11.5,7.75,8.5,10.0,7.5,(no tactic),0,11.75,0,0.6,0,3,5,2,H,F,Ira,2023-10-20,5-3-2,3-5-2,CA,86,
29,2023-10-13 20:00:00,Friendly match,Bosna i Hercegovina,,,,,4.0,16.75,17.25,18.5,16.25,15.5,16.5,10.5,8.0,Counter-attacks,13,10.75,0,1.5,1,3,4,3,A,Prateh Kampuchea,7.0,16.0,18.0,15.75,9.75,9.75,9.75,9.0,6.5,Counter-attacks,13,8.0,-100,1.0,1,4,4,2,H,F,Pra,2023-10-13,3-4-3,4-4-2,CA,84,
30,2023-10-06 20:00:00,Friendly match,Bosna i Hercegovina,,,,,7.75,17.75,18.0,17.75,13.75,13.5,14.0,10.0,6.75,Counter-attacks,22,11.0,0,2.7,2,5,3,2,A,Bénin,9.75,12.75,12.5,12.75,15.75,16.0,14.0,9.5,8.25,Play creatively,19,10.5,50,2.6,3,3,4,3,H,F,Bén,2023-10-06,5-3-2,3-4-3,CA,84,
31,2023-09-29 20:00:00,Friendly match,Bosna i Hercegovina,,,,,9.25,18.0,16.25,17.25,14.0,13.5,14.25,9.75,7.25,(no tactic),0,11.25,0,3.1,4,3,4,3,H,Israel,6.75,13.5,16.25,17.25,4.75,8.5,4.25,9.25,10.0,Long shots,17,10.5,-100,0.5,1,5,4,1,A,F,Isr,2023-09-29,3-4-3,5-4-1,N,84,
32,2023-09-22 20:00:00,Friendly match,Bosna i Hercegovina,,,,,8.25,13.25,11.0,14.0,13.0,13.0,14.0,8.5,6.25,(no tactic),0,11.5,0,1.4,0,3,4,3,A,Cameroon,9.0,16.5,15.5,16.5,15.5,14.0,9.25,9.75,6.75,(no tactic),0,12.0,10,2.5,2,3,5,2,H,F,Cam,2023-09-22,3-4-3,3-5-2,N,84,
33,2023-09-15 20:00:00,Friendly match,Bosna i Hercegovina,,,,,6.25,17.0,17.0,16.5,14.25,15.0,13.25,8.25,6.0,Counter-attacks,16,10.0,0,0.7,1,4,4,2,H,Azərbaycan,9.75,18.75,22.0,20.5,7.5,9.5,9.75,11.25,8.0,(no tactic),0,11.75,-100,1.4,1,4,5,1,A,F,Azə,2023-09-15,4-4-2,4-5-1,CA,84,
34,2023-09-08 20:00:00,Friendly match,Bosna i Hercegovina,,,,,6.75,17.25,19.5,19.0,12.25,12.25,11.25,9.75,6.75,Counter-attacks,21,11.25,0,0.4,1,5,3,2,H,Barbados,10.25,20.0,25.0,21.5,8.25,6.75,8.75,11.75,7.25,Pressing,14,10.75,-100,0.4,0,4,5,1,A,F,Bar,2023-09-08,5-3-2,4-5-1,CA,84,
