,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
0,2024-06-28 12:00:00,Round 5 in Asia and Oceania Cup,Brunei,17.16867667468746,11.917777353616614,13.904073579219382,12.414351410017305,14.75,15.5,16.0,15.75,12.0,14.0,12.5,11.25,8.5,(no tactic),0,15.5,20,1.0,0,3,5,2,H,Mongol Uls,11.0,22.0,24.75,22.0,10.75,10.25,10.75,12.0,8.5,Counter-attacks,18,13.0,-100,1.1,1,4,4,2,A,CC,Mon,2024-06-28,3-5-2,4-4-2,N,88,17.16867667468746
1,2024-06-24 12:00:00,Round 4 in Asia and Oceania Cup,Brunei,19.597409337856398,11.587957941497137,14.300033204400723,13.06727172126273,13.0,13.75,14.75,15.25,11.75,14.5,13.25,10.5,7.5,(no tactic),0,13.75,0,1.4,1,3,5,2,A,Viá»‡t Nam,12.75,18.0,18.25,18.5,10.5,11.0,10.5,11.5,8.5,(no tactic),0,12.75,-100,1.6,2,3,5,2,H,CC,Viá»‡,2024-06-24,3-5-2,3-5-2,N,88,19.597409337856398
2,2024-06-21 12:00:00,Round 3 in Asia and Oceania Cup,Brunei,17.068677672230606,18.205006640648794,18.441435298319558,11.348575568196651,16.0,11.0,11.0,9.0,19.25,19.5,12.0,10.25,8.5,Play creatively,23,14.75,100,3.1,1,2,5,3,H,Bahrain,9.25,22.25,21.25,22.5,11.5,11.0,11.0,10.75,7.5,Counter-attacks,19,15.0,-100,2.0,4,4,4,2,A,CC,Bah,2024-06-21,2-5-3,4-4-2,PC,88,17.068677672230606
3,2024-06-17 12:00:00,Round 2 in Asia and Oceania Cup,Brunei,17.11730192800309,11.373877502888764,11.615874896567249,12.82586186495967,12.75,16.75,16.5,16.75,11.75,12.0,13.25,10.5,6.75,(no tactic),0,12.25,0,1.6,3,3,5,2,H,Pilipinas,7.5,24.0,20.75,20.0,16.0,9.0,19.5,12.75,9.0,Counter-attacks,19,13.75,-80,1.4,1,4,4,2,A,CC,Pil,2024-06-17,3-5-2,4-4-2,N,88,17.11730192800309
4,2024-06-14 12:00:00,Round 1 in Asia and Oceania Cup,Brunei,15.608385691103205,11.232158841468802,11.232158841468802,10.993176738458827,8.75,20.0,22.0,19.75,11.75,11.75,11.5,10.5,6.75,Counter-attacks,17,12.0,-100,1.2,2,4,4,2,A,Hayastan,11.5,18.5,18.75,17.75,11.75,12.0,11.5,12.0,9.0,(no tactic),0,18.5,20,1.4,3,3,5,2,H,CC,Hay,2024-06-14,4-4-2,3-5-2,CA,88,15.608385691103205
5,2024-06-07 20:00:00,Friendly match,Brunei,,,,,7.0,14.75,16.75,16.5,8.25,4.75,9.0,10.75,7.5,Pressing,11,11.0,-100,0.2,0,5,3,2,H,Ireland,12.25,12.75,12.5,10.0,15.25,18.0,13.75,10.0,9.0,(no tactic),0,11.0,100,2.7,3,2,5,3,A,F,Ire,2024-06-07,5-3-2,2-5-3,Pr,88,
6,2024-05-31 20:00:00,Friendly match,Brunei,,,,,7.0,14.0,18.5,21.25,10.0,8.0,10.25,9.5,7.5,(no tactic),0,11.25,0,4.3,5,4,4,2,H,Hrvatska,6.0,6.5,10.75,11.75,10.75,5.25,16.5,7.0,7.75,Counter-attacks,15,9.75,-100,1.2,1,5,3,2,A,F,Hrv,2024-05-31,4-4-2,5-3-2,N,88,
7,2024-05-24 20:00:00,Friendly match,Brunei,,,,,8.75,17.25,17.75,17.75,12.0,8.5,13.0,10.5,6.75,Play creatively,21,12.0,-30,1.1,2,4,5,1,H,Palestine,10.75,16.75,16.5,17.25,11.25,13.0,9.75,10.75,8.25,(no tactic),0,11.75,-20,1.8,0,3,5,2,A,F,Pal,2024-05-24,4-5-1,3-5-2,PC,86,
8,2024-05-17 20:00:00,Friendly match,Brunei,,,,,6.75,17.25,19.75,15.75,9.0,8.5,8.75,10.75,7.75,(no tactic),0,10.5,30,0.5,0,5,4,1,H,San Marino,10.75,16.25,15.5,17.0,10.0,10.75,10.5,9.5,7.0,Play creatively,19,11.0,0,2.1,4,3,5,2,A,F,San,2024-05-17,5-4-1,3-5-2,N,86,
9,2024-05-10 20:00:00,Friendly match,Brunei,,,,,6.5,15.75,21.5,20.5,13.25,4.0,5.75,10.25,6.5,Counter-attacks,20,10.25,-50,0.5,0,5,4,1,H,Northern Ireland,6.75,26.25,27.25,24.25,17.5,6.75,5.75,12.75,8.0,Counter-attacks,17,12.75,-70,1.0,2,4,5,1,A,F,Nor,2024-05-10,5-4-1,4-5-1,CA,86,
10,2024-05-03 20:00:00,Round 17 in Nations Cup,Brunei,11.307555640924726,13.501842173399105,9.819521580653893,7.119153145974074,12.5,21.75,19.75,19.25,13.75,10.0,7.25,10.25,7.0,Counter-attacks,18,11.5,-100,1.6,0,4,3,3,H,Äªtyoppya,15.75,10.75,14.5,11.75,13.5,15.5,12.75,9.25,8.25,(no tactic),0,12.75,0,1.8,2,2,5,3,A,NC,Äªty,2024-05-03,4-3-3,2-5-3,CA,86,11.307555640924726
11,2024-04-26 20:00:00,Round 16 in Nations Cup,Brunei,12.5940117549951,10.668229316171022,11.880528102099548,10.910689073356728,8.75,20.0,21.0,18.5,11.0,12.25,11.25,10.0,7.75,Counter-attacks,18,10.5,-100,0.7,0,4,4,2,A,Mongol Uls,9.75,21.0,24.75,21.5,5.75,11.0,8.25,11.75,8.75,Counter-attacks,20,11.75,-60,1.0,1,5,3,2,H,NC,Mon,2024-04-26,4-4-2,5-3-2,CA,86,12.5940117549951
12,2024-04-19 20:00:00,Round 15 in Nations Cup,Brunei,11.068422243458587,11.435793377278488,11.435793377278488,10.035492147407652,8.75,20.5,22.25,20.75,12.25,12.25,10.75,10.75,7.5,Counter-attacks,17,11.25,-100,1.1,0,4,4,2,H,Pakistan,14.0,16.25,18.25,16.5,10.0,13.75,13.5,11.0,8.75,(no tactic),0,12.0,0,1.5,2,3,5,2,A,NC,Pak,2024-04-19,4-4-2,3-5-2,CA,86,11.068422243458587
13,2024-04-12 20:00:00,Round 14 in Nations Cup,Brunei,18.6346848534864,11.736917933330616,11.736917933330616,7.981104194664819,15.0,16.5,18.0,15.5,12.5,12.5,8.5,10.75,8.25,(no tactic),0,11.0,60,3.2,4,3,5,2,A,Dawlat Qatar,13.25,15.5,14.75,11.0,18.75,12.25,11.25,10.5,8.25,Play creatively,24,14.25,60,2.1,3,3,5,2,H,NC,Daw,2024-04-12,3-5-2,3-5-2,N,86,18.6346848534864
14,2024-04-05 20:00:00,Round 13 in Nations Cup,Brunei,10.416652443306164,10.98703384064238,7.404305414345951,14.569762266938808,7.0,23.25,23.5,23.25,11.5,7.75,15.25,11.0,7.75,Counter-attacks,20,13.0,-100,0.9,1,5,3,2,A,Viá»‡t Nam,8.5,20.25,24.25,20.0,10.5,8.25,10.75,12.0,8.25,Counter-attacks,23,12.0,0,0.6,0,5,4,1,H,NC,Viá»‡,2024-04-05,5-3-2,5-4-1,CA,86,10.416652443306164
15,2024-03-29 20:00:00,Round 12 in Nations Cup,Brunei,12.673762629583207,11.744663450324513,11.98934393887294,13.457426870163506,12.5,14.25,14.25,15.25,12.0,12.25,13.75,10.0,7.5,(no tactic),0,10.75,100,2.0,3,3,5,2,H,San Marino,12.75,14.75,14.25,14.0,12.5,14.0,12.5,9.25,7.25,(no tactic),0,12.25,0,2.5,1,3,5,2,A,NC,San,2024-03-29,3-5-2,3-5-2,N,86,12.673762629583207
16,2024-03-22 20:00:00,Round 11 in Nations Cup,Brunei,14.687537610134761,13.330261505910066,13.083404811356175,12.836548116802286,12.5,15.5,14.25,13.25,13.5,13.25,13.0,11.0,8.5,(no tactic),0,14.5,20,1.5,1,3,5,2,H,Haiti,12.0,17.75,17.25,16.75,7.75,10.0,17.5,10.0,6.25,(no tactic),0,12.0,0,1.1,1,3,5,2,A,NC,Hai,2024-03-22,3-5-2,3-5-2,N,86,14.687537610134761
17,2024-03-15 20:00:00,Round 10 in Nations Cup,Brunei,15.00776798523951,12.369030827095887,14.551800973053988,12.611560843313455,12.5,14.75,13.5,14.0,12.75,15.0,13.0,11.75,9.75,(no tactic),0,14.5,0,1.4,1,3,5,2,H,El Salvador,14.25,17.0,17.5,17.25,9.75,7.75,10.0,10.75,7.25,(no tactic),0,10.5,-20,1.2,3,3,5,2,A,NC,El ,2024-03-15,3-5-2,3-5-2,N,86,15.00776798523951
18,2024-03-08 20:00:00,Round 9 in Nations Cup,Brunei,15.182961267048189,13.16685020622187,12.154015574974032,11.141180943726196,12.0,15.75,16.75,15.75,13.0,12.0,11.0,11.0,8.75,(no tactic),0,14.75,0,1.5,3,3,5,2,H,Singapore,12.5,16.0,15.75,17.0,14.75,16.0,15.5,11.25,9.0,(no tactic),0,13.5,50,2.5,0,3,5,2,A,NC,Sin,2024-03-08,3-5-2,3-5-2,N,86,15.182961267048189
