,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
0,2024-10-25 20:00:00,Match 1 in round II of World Cup,Danmark,6.000625618533086,16.250222308794843,18.190547360591243,15.037519151422096,12.0,16.5,16.25,16.75,16.75,18.75,15.5,11.25,9.0,(no tactic),0,16.75,10,1.9,1,3,4,3,H,Uruguay,9.0,24.75,28.0,24.75,11.25,10.75,10.75,11.25,7.25,Counter-attacks,18,14.5,-100,1.3,3,4,4,2,A,WC2,Uru,2024-10-25,3-4-3,4-4-2,N,88,6.000625618533086
1,2024-10-18 20:00:00,Match 10 in round I of World Cup,Danmark,11.4604980491902,8.49595943240837,8.49595943240837,9.873682583609726,11.75,23.5,26.25,22.5,9.25,9.25,10.75,12.25,8.25,Pressing,12,14.75,-100,0.5,1,4,5,1,A,B̩nin,8.5,26.25,26.5,27.0,15.5,4.25,3.5,12.5,8.25,Counter-attacks,22,16.0,-100,0.2,0,5,4,1,H,WC1,B̩n,2024-10-18,4-5-1,5-4-1,Pr,88,11.4604980491902
2,2024-10-11 20:00:00,Match 9 in round I of World Cup,Danmark,3.880356736657872,13.66450008314453,5.326839015463121,14.127703475793496,8.75,25.25,26.0,24.0,14.75,5.75,15.25,12.5,8.0,Counter-attacks,21,17.0,-100,1.4,1,5,4,1,H,Cabo Verde,6.25,21.75,19.5,21.25,7.5,15.25,17.75,13.25,10.25,Counter-attacks,21,22.75,0,0.7,0,5,2,3,A,WC1,Cab,2024-10-11,5-4-1,5-2-3,CA,88,3.880356736657872
3,2024-10-04 20:00:00,Match 8 in round I of World Cup,Danmark,7.821920955921005,12.301701816894177,11.35541706174847,13.247986572039881,10.5,22.25,25.25,23.5,13.0,12.0,14.0,12.25,9.0,Counter-attacks,19,16.5,-100,1.9,2,4,4,2,A,Al Urdun,16.0,16.25,14.25,15.5,13.0,15.25,13.0,11.25,8.5,(no tactic),0,17.75,0,1.2,0,3,5,2,H,WC1,Al ,2024-10-04,4-4-2,3-5-2,CA,88,7.821920955921005
4,2024-09-27 20:00:00,Match 7 in round I of World Cup,Danmark,8.0905779616896,13.323232959861999,12.622010172500842,12.388269243380453,11.75,21.75,25.0,22.0,14.25,13.5,13.25,12.0,9.25,Counter-attacks,18,17.5,-100,1.0,0,4,4,2,H,M̩xico,12.5,20.25,20.75,20.25,11.5,12.25,11.75,11.0,7.5,Pressing,12,12.75,-100,0.5,0,3,5,2,A,WC1,M̩x,2024-09-27,4-4-2,3-5-2,CA,88,8.0905779616896
5,2024-09-20 20:00:00,Match 6 in round I of World Cup,Danmark,16.09346534567134,13.356436548547007,13.356436548547007,12.895869771010902,16.5,18.75,19.75,19.0,14.5,14.5,14.0,12.75,9.75,(no tactic),0,18.0,-20,2.8,2,3,5,2,A,Italia,18.75,10.0,12.0,13.5,14.75,22.75,18.0,10.75,9.25,(no tactic),0,14.0,100,2.9,2,2,5,3,H,WC1,Ita,2024-09-20,3-5-2,2-5-3,N,88,16.09346534567134
6,2024-09-13 20:00:00,Match 5 in round I of World Cup,Danmark,6.907874015190348,13.16452153911609,14.8100867315056,14.10484450619581,14.0,18.25,19.0,18.0,14.0,15.75,15.0,12.5,9.75,(no tactic),0,17.25,30,1.9,2,3,5,2,H,B̩nin,8.0,24.0,24.75,25.0,6.75,12.75,13.5,12.25,9.0,Counter-attacks,22,14.5,-100,0.8,0,5,3,2,A,WC1,B̩n,2024-09-13,3-5-2,5-3-2,N,88,6.907874015190348
7,2024-09-06 20:00:00,Match 4 in round I of World Cup,Danmark,13.631989139965256,14.191921261098422,13.229757107803614,12.267592954508803,15.75,18.0,19.75,18.5,14.75,13.75,12.75,12.5,9.25,(no tactic),0,16.75,50,1.8,2,3,5,2,A,Cabo Verde,10.25,22.25,21.5,21.75,14.5,11.5,9.0,13.5,9.5,Counter-attacks,18,15.5,-90,0.9,0,4,4,2,H,WC1,Cab,2024-09-06,3-5-2,4-4-2,N,88,13.631989139965256
8,2024-08-30 20:00:00,Match 3 in round I of World Cup,Danmark,12.010879824511065,17.84106662574311,20.35389291105904,18.0923492542747,13.25,12.75,10.75,13.5,17.75,20.25,18.0,11.0,9.75,Play creatively,25,16.25,100,3.0,4,2,5,3,H,Al Urdun,5.0,27.0,26.75,26.25,8.0,7.75,19.0,12.0,6.75,Counter-attacks,21,13.75,-100,1.2,0,5,3,2,A,WC1,Al ,2024-08-30,2-5-3,5-3-2,PC,88,12.010879824511065
9,2024-08-26 20:00:00,Match 2 in round I of World Cup,Danmark,5.065521298613985,13.800726550491676,12.32207727722471,13.800726550491676,9.5,22.0,25.25,22.25,14.0,12.5,14.0,12.0,8.75,Counter-attacks,19,16.5,-100,1.7,0,4,4,2,A,M̩xico,12.5,18.25,18.5,18.5,13.5,14.0,13.75,11.75,8.5,(no tactic),0,11.75,0,1.0,1,3,5,2,H,WC1,M̩x,2024-08-26,4-4-2,3-5-2,CA,88,5.065521298613985
